governor_config_id,memory_changed_rank_count,no_viable_count,mean_viable_count
v410_cfg_000_b0.05_h0.75_tb0,0,84,6.867924528301887
v410_cfg_001_b0.05_h0.75_tb0.05,0,84,6.867924528301887
v410_cfg_002_b0.05_h0.72_tb0,0,84,6.867924528301887
v410_cfg_003_b0.05_h0.72_tb0.05,0,84,6.867924528301887
v410_cfg_004_b0.05_h0.7_tb0,0,84,6.867924528301887
v410_cfg_005_b0.05_h0.7_tb0.05,0,84,6.867924528301887
v410_cfg_006_b0.05_h0.68_tb0,0,84,6.867924528301887
v410_cfg_007_b0.05_h0.68_tb0.05,0,84,6.867924528301887
v410_cfg_008_b0.05_h0.65_tb0,0,84,6.867924528301887
v410_cfg_009_b0.05_h0.65_tb0.05,0,84,6.867924528301887
v410_cfg_010_b0.1_h0.75_tb0,0,84,6.867924528301887
v410_cfg_011_b0.1_h0.75_tb0.05,0,84,6.867924528301887
v410_cfg_012_b0.1_h0.72_tb0,0,84,6.867924528301887
v410_cfg_013_b0.1_h0.72_tb0.05,0,84,6.867924528301887
v410_cfg_014_b0.1_h0.7_tb0,0,84,6.867924528301887
v410_cfg_015_b0.1_h0.7_tb0.05,0,84,6.867924528301887
v410_cfg_016_b0.1_h0.68_tb0,0,84,6.867924528301887
v410_cfg_017_b0.1_h0.68_tb0.05,0,84,6.867924528301887
v410_cfg_018_b0.1_h0.65_tb0,0,84,6.867924528301887
v410_cfg_019_b0.1_h0.65_tb0.05,0,84,6.867924528301887
v410_cfg_020_b0.2_h0.75_tb0,0,84,6.867924528301887
v410_cfg_021_b0.2_h0.75_tb0.05,0,84,6.867924528301887
v410_cfg_022_b0.2_h0.72_tb0,0,84,6.867924528301887
v410_cfg_023_b0.2_h0.72_tb0.05,0,84,6.867924528301887
v410_cfg_024_b0.2_h0.7_tb0,0,84,6.867924528301887
v410_cfg_025_b0.2_h0.7_tb0.05,0,84,6.867924528301887
v410_cfg_026_b0.2_h0.68_tb0,0,84,6.867924528301887
v410_cfg_027_b0.2_h0.68_tb0.05,0,84,6.867924528301887
v410_cfg_028_b0.2_h0.65_tb0,0,84,6.867924528301887
v410_cfg_029_b0.2_h0.65_tb0.05,0,84,6.867924528301887
v410_cfg_030_b0.35_h0.75_tb0,0,84,6.867924528301887
v410_cfg_031_b0.35_h0.75_tb0.05,0,84,6.867924528301887
v410_cfg_032_b0.35_h0.72_tb0,0,84,6.867924528301887
v410_cfg_033_b0.35_h0.72_tb0.05,0,84,6.867924528301887
v410_cfg_034_b0.35_h0.7_tb0,0,84,6.867924528301887
v410_cfg_035_b0.35_h0.7_tb0.05,0,84,6.867924528301887
v410_cfg_036_b0.35_h0.68_tb0,0,84,6.867924528301887
v410_cfg_037_b0.35_h0.68_tb0.05,0,84,6.867924528301887
v410_cfg_038_b0.35_h0.65_tb0,0,84,6.867924528301887
v410_cfg_039_b0.35_h0.65_tb0.05,0,84,6.867924528301887
v410_cfg_040_b0.55_h0.75_tb0,0,84,6.867924528301887
v410_cfg_041_b0.55_h0.75_tb0.05,0,84,6.867924528301887
v410_cfg_042_b0.55_h0.72_tb0,0,84,6.867924528301887
v410_cfg_043_b0.55_h0.72_tb0.05,0,84,6.867924528301887
v410_cfg_044_b0.55_h0.7_tb0,0,84,6.867924528301887
v410_cfg_045_b0.55_h0.7_tb0.05,0,84,6.867924528301887
v410_cfg_046_b0.55_h0.68_tb0,0,84,6.867924528301887
v410_cfg_047_b0.55_h0.68_tb0.05,0,84,6.867924528301887
v410_cfg_048_b0.55_h0.65_tb0,0,84,6.867924528301887
v410_cfg_049_b0.55_h0.65_tb0.05,0,84,6.867924528301887
