surface_index,surface_name,command_level_norm,lookup_deflection_deg,lookup_std_deg,lookup_min_deg,lookup_max_deg,valid_hold_count,direction_groups,sweep_phases
1,Aileron_L,-1,24.3372020327945,0.131992327978411,24.2438693626163,24.4305347029726,2,negative_first|positive_first,outbound
1,Aileron_L,-0.8,18.0471939405306,0.708147362281501,17.2344783365207,18.9644584840874,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.6,14.2293627665405,1.67136704828552,12.149365865774,15.4199932352931,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.4,16.3259894920478,1.2244200266653,15.7034870570921,18.2712310262221,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.2,8.37937227942917,1.40998635050457,7.21573447268474,10.4990937201355,4,negative_first|positive_first,outbound|return
1,Aileron_L,0,0,2.20439098493184,-2.35624582816355,2.15230248736318,8,negative_first|positive_first,outbound|return
1,Aileron_L,0.2,-1.95375924958584,2.56247373711487,-6.13535730606585,-0.531158299978783,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.4,-9.56468802065443,2.4721994746971,-12.0637881701195,-7.40534363664957,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.6,-13.8686020420513,1.68814615640534,-15.778596159281,-12.5654406182735,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.8,-21.7050520244368,0.420769692389658,-21.8645569019931,-20.9365821484677,4,negative_first|positive_first,outbound|return
1,Aileron_L,1,-27.2686827457784,0.0281739112736887,-27.2886047094925,-27.2487607820642,2,negative_first|positive_first,outbound
2,Aileron_R,-1,-28.800305680163,0.140883327982618,-28.8999252367356,-28.7006861235904,2,negative_first|positive_first,outbound
2,Aileron_R,-0.8,-24.9726530077018,5.00869761267109,-29.3778377664966,-20.3851989158263,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.6,-14.2759175665484,1.90521364674676,-16.1572791600266,-12.306616250848,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.4,-12.6155724824071,1.69863877163763,-14.0550883319255,-10.8762424972726,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.2,-5.59638850018395,2.64925070036145,-8.66566607960448,-3.0026282328498,4,negative_first|positive_first,outbound|return
2,Aileron_R,0,-4.44089209850063e-16,2.67555950513766,-5.51948114048877,1.69695223298168,8,negative_first|positive_first,outbound|return
2,Aileron_R,0.2,5.42642649523953,1.12574510724141,4.64319099888365,7.28907369707616,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.4,8.9765849582549,3.84596389914714,3.36335653125187,11.9355717659962,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.6,12.4976999928435,0.790468284577928,11.1830482490324,13.0026666486164,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.8,16.5654554747056,3.09527099737658,14.7608402571374,20.7914644102656,3,negative_first|positive_first,outbound|return
2,Aileron_R,1,20.344612473193,0.277679467063364,20.1482634390362,20.5409615073498,2,negative_first|positive_first,outbound
3,Rudder,-1,-61.4639382383534,0,-61.4639382383534,-61.4639382383534,1,positive_first,outbound
3,Rudder,-0.8,-60.9736429965019,1.08099023334558,-62.0581437547761,-59.8961670923606,3,negative_first|positive_first,outbound|return
3,Rudder,-0.6,-41.7900858708275,26.9745256210052,-60.8639558567305,-22.7162158849244,2,negative_first|positive_first,outbound|return
3,Rudder,-0.4,-17.7156292831556,0,-17.7156292831556,-17.7156292831556,1,negative_first,outbound
3,Rudder,-0.2,-19.3238591206616,0.27116376229203,-19.5156008557904,-19.1321173855329,2,negative_first|positive_first,return
3,Rudder,0,0,18.7556563311466,-2.14452967860965,31.3603526557327,3,negative_first|positive_first,outbound|return
3,Rudder,0.2,7.10741607740404,0,7.10741607740404,7.10741607740404,1,negative_first,return
3,Rudder,0.4,6.51263275808495,0,6.51263275808495,6.51263275808495,1,negative_first,return
3,Rudder,0.6,24.7436604729764,0,24.7436604729764,24.7436604729764,1,negative_first,outbound
3,Rudder,0.8,14.2963673194036,7.15330583697446,13.1861274140277,26.093772562248,3,negative_first|positive_first,outbound|return
3,Rudder,1,16.9485461993225,7.25601607978038,11.8177680249112,22.0793243737338,2,negative_first|positive_first,outbound
4,Elevator,-1,-0.719053923318315,0.116144601225258,-0.801180558442902,-0.636927288193727,2,negative_first|positive_first,outbound
4,Elevator,-0.8,-0.555412898779816,0.0857298190612433,-0.634726695261216,-0.472847267439129,4,negative_first|positive_first,outbound|return
4,Elevator,-0.6,-0.604396432560873,0.113722060517738,-0.750397437846356,-0.48447902890898,4,negative_first|positive_first,outbound|return
4,Elevator,-0.4,-0.596186837260209,0.16377487480794,-0.773354366213457,-0.450609827051689,4,negative_first|positive_first,outbound|return
4,Elevator,-0.2,-0.272530974836689,0.133791203116731,-0.513066329636643,-0.210704590661933,4,negative_first|positive_first,outbound|return
4,Elevator,0,-6.93889390390723e-18,0.0809986460238083,-0.103725250655211,0.129399873565247,8,negative_first|positive_first,outbound|return
4,Elevator,0.2,0.279354376310016,0.0596931251827032,0.188696738710125,0.313317293690192,4,negative_first|positive_first,outbound|return
4,Elevator,0.4,0.442976020506954,0.0597771679378815,0.39354271754066,0.5352837338613,4,negative_first|positive_first,outbound|return
4,Elevator,0.6,0.744462667091087,0.241045097182709,0.419943905391704,0.912778393569144,4,negative_first|positive_first,outbound|return
4,Elevator,0.8,0.978010996913845,0.116965687683159,0.88178268626733,1.13293052464655,4,negative_first|positive_first,outbound|return
4,Elevator,1,1.03799765715322,0.00969603258882622,1.03114152675905,1.04485378754738,2,negative_first|positive_first,outbound
