coverage_axis,coverage_value,row_count,coverage_note
start_state_family,missing_column,0,missing
primitive_id,missing_column,0,missing
controller_id,missing_column,0,missing
environment_id,missing_column,0,missing
environment_instance_environment_id,missing_column,0,missing
W_layer,missing_column,0,missing
latency_case,missing_column,0,missing
boundary_use_class,missing_column,0,missing
continuation_status,missing_column,0,missing
episode_terminal_status,missing_column,0,missing
outcome_class,missing_column,0,missing
