coverage_axis,value,row_count
outcome_class,accepted,1636
outcome_class,blocked,4608
outcome_class,failed,1464
outcome_class,weak,2532
failure_label,entry_role_not_launch_capable,4608
failure_label,model_boundary_only,2020
failure_label,speed_low,64
failure_label,success,1636
failure_label,terminal_recovery_limited,1400
failure_label,xy_boundary_terminal,512
boundary_use_class,blocked,4608
boundary_use_class,continuation_valid,3656
boundary_use_class,episode_terminal_useful,512
boundary_use_class,hard_failure,1464
environment_mode,w3_randomised_four,5120
environment_mode,w3_randomised_single,5120
start_state_family,inflight_boundary_near,1024
start_state_family,inflight_lift_region,1536
start_state_family,inflight_nominal,2560
start_state_family,inflight_recovery_edge,1024
start_state_family,launch_gate,4096
timing_state_source,history_backed_fifo,5632
timing_state_source,not_evaluated_blocked_before_rollout,4608
source_evidence_label,,10240
