environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,6,,4.0,initial_launch_speed_m_s < 4.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6666666666666666,2,0.3333333333333333,2,0.3333333333333333,0,0.0,0,0.0,4,0.6666666666666666,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,3.5370344068149104,3.3135608288223706,3.748144266017681,-13.333333333333334,0.0,0.9766666666666666,0.0,1.0518537140657698,0.65185371406577,0.0,0.0,0.0,-1.1639457465322252,1.1639457465322252
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,14,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,14,1.0,14,1.0,0,0.0,14,1.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,7.507576996631258,7.033537600394101,7.98089025501754,120.0,120.0,0.7942857142857144,0.0,4.054265719262623,3.654265719262623,20.0,0.0,0.0,-0.47968681989898204,0.47968681989898204
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,9,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,9,1.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,5.432799889921136,5.006238503787513,5.718384712574212,119.22070090698273,120.0,1.0755555555555556,0.0,2.553447041650374,2.153447041650374,19.22070090698274,0.0,0.0,-0.6385962878614145,0.6385962878614145
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,11,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,3,0.2727272727272727,3,0.2727272727272727,0,0.0,3,0.2727272727272727,0,0.0,6,0.5454545454545454,5,0.45454545454545453,2,0.18181818181818182,0,0.0,0,0.0,6,0.5454545454545454,6,0.5454545454545454,3,0.2727272727272727,0,0.0,0,0.0,0,0.0,4.483381109919038,4.021900175557706,4.83138990351599,23.01404264099599,0.0,1.2654545454545454,0.0,1.2696822718475103,0.8696822718475101,3.014042640995987,0.0,0.0,-1.3988547202806794,1.3988547202806794
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,10,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,1.0,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,6.390558632095126,6.035881575804622,6.943015601892395,120.0,120.0,0.9079999999999998,0.0,3.271068409575581,2.8710684095755807,20.0,0.0,0.0,-0.4904685432155672,0.4904685432155672
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,14,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,13,0.9285714285714286,13,0.9285714285714286,0,0.0,13,0.9285714285714286,0,0.0,0,0.0,14,1.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,13,0.9285714285714286,14,1.0,0,0.0,0,0.0,7.507576996631258,7.033537600394101,7.98089025501754,116.94269441413734,130.50654370813294,0.8257142857142855,0.3742857142857144,4.327755924947768,3.927755924947768,18.571428571428573,0.1126081278780435,0.3680878243021991,-0.20619661421383717,0.31880474209188076
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,9,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,6,0.6666666666666666,7,0.7777777777777778,0,0.0,6,0.6666666666666666,3,0.3333333333333333,0,0.0,9,1.0,0,0.0,2,0.2222222222222222,0,0.0,2,0.2222222222222222,0,0.0,7,0.7777777777777778,9,1.0,0,0.0,0,0.0,5.432799889921136,5.006238503787513,5.718384712574212,60.79384907351815,127.9605489509367,1.1555555555555557,0.4933333333333333,2.6959079046864285,2.295907904686429,13.073816129662857,0.01978165180002252,0.5607866481904339,-0.49613542482535994,0.5159170766253826
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,6,,4.0,initial_launch_speed_m_s < 4.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.8333333333333334,1,0.16666666666666666,1,0.16666666666666666,0,0.0,0,0.0,5,0.8333333333333334,5,0.8333333333333334,0,0.0,6,1.0,0,0.0,0,0.0,3.5370344068149104,3.3135608288223706,3.748144266017681,-6.666666666666667,0.0,1.1833333333333333,0.6233333333333334,0.9570950140695933,0.5570950140695933,0.0,0.005615325976734666,0.7200522086940836,-1.2587044465284016,1.2643197725051365
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,11,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,2,0.18181818181818182,2,0.18181818181818182,0,0.0,2,0.18181818181818182,1,0.09090909090909091,7,0.6363636363636364,4,0.36363636363636365,1,0.09090909090909091,1,0.09090909090909091,0,0.0,8,0.7272727272727273,7,0.6363636363636364,2,0.18181818181818182,11,1.0,0,0.0,0,0.0,4.483381109919038,4.021900175557706,4.83138990351599,11.64353624926328,0.0,1.4436363636363636,0.8145454545454546,1.509230307888373,1.109230307888373,2.745502410865347,0.002540814689931809,0.8354174638765158,-1.1593066842398165,1.1618474989297483
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,10,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,8,0.8,9,0.9,0,0.0,8,0.8,2,0.2,0,0.0,10,1.0,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,9,0.9,10,1.0,0,0.0,0,0.0,6.390558632095126,6.035881575804622,6.943015601892395,87.19060810073066,124.71891832867979,0.946,0.36,3.3672899548845323,2.9672899548845324,16.0,0.015111923250388532,0.29976781014500115,-0.39424699790661605,0.4093589211570047
