iteration,stage,objective_mode,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,roll_moment_bias_coeff,pitch_moment_bias_coeff,yaw_moment_bias_coeff,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_final_phi_mae_deg,train_final_theta_mae_deg,train_final_psi_mae_deg,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s,train_final_phi_mean_deg,train_final_theta_mean_deg,train_final_psi_mean_deg
0,baseline,combined,baseline,3,5,0.31,0,0,0,0,0,0,64,24.13518304,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
1,longitudinal_coupled_grid,longitudinal,cd0_drag_efficiency_pitch_moment_bias,3,0.2,0.55,0,-0.04,0,0,0,0,64,11.16040737,0.462980104,0.5678280647,0.1559939973,0.1479223168,22.22868635,25.69117655,34.187465,-0.2929743523,-0.5202835346,-0.03023295355,-0.02731619427,-21.15224083,-24.53170188,-33.81267664
2,longitudinal,longitudinal,cd0_strip_scale,3,0.2,0.55,0,-0.04,0,0,0,0,64,11.16040737,0.462980104,0.5678280647,0.1559939973,0.1479223168,22.22868635,25.69117655,34.187465,-0.2929743523,-0.5202835346,-0.03023295355,-0.02731619427,-21.15224083,-24.53170188,-33.81267664
3,longitudinal,longitudinal,drag_area_fuse_scale,3,5,0.55,0,-0.04,0,0,0,0,64,11.16862971,0.4572805256,0.5658803967,0.1556539011,0.1476171932,22.20470281,25.72116598,34.14778886,-0.2865272009,-0.5181110523,-0.03254969859,-0.02955246621,-21.11744674,-24.57945299,-33.77289718
4,longitudinal,longitudinal,efficiency_strip_scale,3,5,0.55,0,-0.04,0,0,0,0,64,11.16862971,0.4572805256,0.5658803967,0.1556539011,0.1476171932,22.20470281,25.72116598,34.14778886,-0.2865272009,-0.5181110523,-0.03254969859,-0.02955246621,-21.11744674,-24.57945299,-33.77289718
5,longitudinal,longitudinal,pitch_moment_bias_coeff,3,5,0.55,0,0,0,0,0,0,64,12.91687819,0.2191342045,0.5287929522,0.148244924,0.1400144525,24.98612384,39.68968298,36.63318371,0.07943335047,-0.4905422983,-0.06107085736,-0.05476267026,-23.44512772,-39.68968298,-36.26787827
6,lateral_aero_bias_pair,lateral,roll_yaw_moment_bias_coeff,3,5,0.55,-0.02,0,0,0,0,0,64,4.489262475,0.2306165732,0.3673103446,0.1599756565,0.1532087014,14.85198081,46.56989639,17.38362111,0.0833730597,0.1498697396,-0.05627296636,-0.04912367524,-2.272847519,-46.56989639,-15.33586055
7,lateral_aero_bias,lateral,roll_moment_bias_coeff,3,5,0.55,-0.02,0,0,0,0,0,64,4.489262475,0.2306165732,0.3673103446,0.1599756565,0.1532087014,14.85198081,46.56989639,17.38362111,0.0833730597,0.1498697396,-0.05627296636,-0.04912367524,-2.272847519,-46.56989639,-15.33586055
8,lateral_aero_bias,lateral,yaw_moment_bias_coeff,3,5,0.55,-0.02,0,0,0,0,0,64,4.489262475,0.2306165732,0.3673103446,0.1599756565,0.1532087014,14.85198081,46.56989639,17.38362111,0.0833730597,0.1498697396,-0.05627296636,-0.04912367524,-2.272847519,-46.56989639,-15.33586055
9,refine_1_longitudinal,longitudinal,cd0_strip_scale,2,5,0.55,-0.02,0,0,0,0,0,64,13.54060009,0.2524777491,0.3766773667,0.162940366,0.1572141973,15.0328,46.48360872,17.60287192,0.01511928452,0.1677426249,-0.02136284259,-0.01585615463,-1.94578583,-46.48360872,-15.10346781
10,refine_1_longitudinal,longitudinal,drag_area_fuse_scale,2,3,0.55,-0.02,0,0,0,0,0,64,13.5144303,0.2534393012,0.3769644684,0.1632201437,0.157507971,15.03898617,46.48527393,17.60582301,0.01294119674,0.1680052741,-0.02016460788,-0.01471355206,-1.932734198,-46.48527393,-15.09029492
11,refine_1_longitudinal,longitudinal,efficiency_strip_scale,2,3,0.67,-0.02,0,0,0,0,0,64,13.41007651,0.2577701751,0.3812512188,0.1638709356,0.1583148406,15.11154931,46.37408408,17.49993957,0.004253661468,0.1753712616,-0.01676086178,-0.01141303839,-1.605788484,-46.37408408,-14.64265471
12,refine_1_longitudinal,longitudinal,pitch_moment_bias_coeff,2,3,0.67,-0.02,-0.02,0,0,0,0,64,12.89165085,0.3652413662,0.4069096174,0.1771158657,0.1713763885,15.21720755,38.63546415,16.82059344,-0.1657087081,0.2137853319,0.001944904538,0.006005878971,1.085746664,-38.63546415,-12.20859082
13,refine_1_lateral,lateral,roll_moment_bias_coeff,2,3,0.67,-0.02,-0.02,0,0,0,0,64,4.486370805,0.3652413662,0.4069096174,0.1771158657,0.1713763885,15.21720755,38.63546415,16.82059344,-0.1657087081,0.2137853319,0.001944904538,0.006005878971,1.085746664,-38.63546415,-12.20859082
14,refine_1_lateral,lateral,yaw_moment_bias_coeff,2,3,0.67,-0.02,-0.02,0,0,0,0,64,4.486370805,0.3652413662,0.4069096174,0.1771158657,0.1713763885,15.21720755,38.63546415,16.82059344,-0.1657087081,0.2137853319,0.001944904538,0.006005878971,1.085746664,-38.63546415,-12.20859082
15,refine_2_longitudinal,longitudinal,cd0_strip_scale,2.5,3,0.67,-0.02,-0.02,0,0,0,0,64,12.79297701,0.3376067545,0.3995909381,0.1716235857,0.1656004961,15.10012344,39.0052673,16.69117449,-0.1237182107,0.2031507891,-0.01541929276,-0.01050403356,0.7263801276,-39.0052673,-12.52173765
16,refine_2_longitudinal,longitudinal,drag_area_fuse_scale,2.5,1,0.67,-0.02,-0.02,0,0,0,0,64,12.78719869,0.3391920756,0.399948031,0.1719742581,0.1659699648,15.10741817,38.99338274,16.69770005,-0.1261993276,0.2034934595,-0.01426770197,-0.009407127813,0.7471969829,-38.99338274,-12.49822143
17,refine_2_longitudinal,longitudinal,efficiency_strip_scale,2.5,1,0.79,-0.02,-0.02,0,0,0,0,64,12.77614498,0.3442636294,0.4042822377,0.1732497831,0.1671659006,15.19997919,38.77883686,16.70871041,-0.1333158911,0.2099468697,-0.01267141984,-0.007795777156,1.035280817,-38.77883686,-12.08829427
18,refine_2_longitudinal,longitudinal,pitch_moment_bias_coeff,2.5,1,0.79,-0.02,-0.02,0,0,0,0,64,12.77614498,0.3442636294,0.4042822377,0.1732497831,0.1671659006,15.19997919,38.77883686,16.70871041,-0.1333158911,0.2099468697,-0.01267141984,-0.007795777156,1.035280817,-38.77883686,-12.08829427
19,refine_2_lateral,lateral,roll_moment_bias_coeff,2.5,1,0.79,-0.02,-0.02,0,0,0,0,64,4.451025098,0.3442636294,0.4042822377,0.1732497831,0.1671659006,15.19997919,38.77883686,16.70871041,-0.1333158911,0.2099468697,-0.01267141984,-0.007795777156,1.035280817,-38.77883686,-12.08829427
20,refine_2_lateral,lateral,yaw_moment_bias_coeff,2.5,1,0.79,-0.02,-0.02,0,0,0,0,64,4.451025098,0.3442636294,0.4042822377,0.1732497831,0.1671659006,15.19997919,38.77883686,16.70871041,-0.1333158911,0.2099468697,-0.01267141984,-0.007795777156,1.035280817,-38.77883686,-12.08829427
21,refine_3_longitudinal,longitudinal,cd0_strip_scale,2.5,1,0.79,-0.02,-0.02,0,0,0,0,64,12.77614498,0.3442636294,0.4042822377,0.1732497831,0.1671659006,15.19997919,38.77883686,16.70871041,-0.1333158911,0.2099468697,-0.01267141984,-0.007795777156,1.035280817,-38.77883686,-12.08829427
22,refine_3_longitudinal,longitudinal,drag_area_fuse_scale,2.5,0.2,0.79,-0.02,-0.02,0,0,0,0,64,12.77386444,0.3449067412,0.4044331376,0.1733899873,0.1673138621,15.2028448,38.77404686,16.71015715,-0.1343191438,0.2100942232,-0.0122090737,-0.007355475087,1.043761732,-38.77404686,-12.07972375
23,refine_3_longitudinal,longitudinal,efficiency_strip_scale,2.5,0.2,0.91,-0.02,-0.02,0,0,0,0,64,12.76766022,0.348752378,0.4079078974,0.1743379994,0.1682012753,15.26860974,38.61649342,16.68712375,-0.1396798314,0.2150688435,-0.01107574815,-0.006203791332,1.259006532,-38.61649342,-11.7993406
24,refine_3_longitudinal,longitudinal,pitch_moment_bias_coeff,2.5,0.2,0.91,-0.02,-0.02,0,0,0,0,64,12.76766022,0.348752378,0.4079078974,0.1743379994,0.1682012753,15.26860974,38.61649342,16.68712375,-0.1396798314,0.2150688435,-0.01107574815,-0.006203791332,1.259006532,-38.61649342,-11.7993406
