t_read_host_s,line_text
8.1020623,"RX_EVENT,31,0,3787462189,32768,32768,32768,32768"
8.1020623,"COMMIT_EVENT,31,0,3787462189,3787482249,189222,1500,1500,1500,1500,1500,1500,1500,1500"
8.1515514,"RX_EVENT,32,0,3787520702,32768,32768,32768,32768"
8.1515514,"COMMIT_EVENT,32,0,3787520702,3787522249,189224,1500,1500,1500,1500,1500,1500,1500,1500"
8.1998571,"RX_EVENT,33,0,3787570342,32768,32768,32768,32768"
8.1998571,"COMMIT_EVENT,33,0,3787570342,3787582249,189227,1500,1500,1500,1500,1500,1500,1500,1500"
8.2451993,"RX_EVENT,34,0,3787618436,32768,32768,32768,32768"
8.2451993,"COMMIT_EVENT,34,0,3787618436,3787622249,189229,1500,1500,1500,1500,1500,1500,1500,1500"
8.2928108,"RX_EVENT,35,0,3787663761,32768,32768,32768,32768"
8.2928108,"COMMIT_EVENT,35,0,3787663761,3787682249,189232,1500,1500,1500,1500,1500,1500,1500,1500"
8.332618,"RX_EVENT,36,0,3787711405,32768,32768,32768,32768"
8.332618,"COMMIT_EVENT,36,0,3787711405,3787722249,189234,1500,1500,1500,1500,1500,1500,1500,1500"
8.3731287,"RX_EVENT,37,0,3787750790,32768,32768,32768,32768"
8.3731287,"COMMIT_EVENT,37,0,3787750790,3787762249,189236,1500,1500,1500,1500,1500,1500,1500,1500"
8.4139387,"RX_EVENT,38,0,3787791057,32768,32768,32768,32768"
8.4139387,"COMMIT_EVENT,38,0,3787791057,3787802249,189238,1500,1500,1500,1500,1500,1500,1500,1500"
8.4689532,"RX_EVENT,39,0,3787832530,32768,32768,32768,32768"
8.4689532,"COMMIT_EVENT,39,0,3787832530,3787842250,189240,1500,1500,1500,1500,1500,1500,1500,1500"
8.5344402,"RX_EVENT,40,0,3787887462,32768,32768,32768,32768"
8.5344402,"COMMIT_EVENT,40,0,3787887462,3787902249,189243,1500,1500,1500,1500,1500,1500,1500,1500"
8.5873458,"RX_EVENT,41,0,3787952664,32768,32768,32768,32768"
8.5873458,"COMMIT_EVENT,41,0,3787952664,3787962249,189246,1500,1500,1500,1500,1500,1500,1500,1500"
8.6434013,"RX_EVENT,42,0,3788005793,32768,32768,32768,32768"
8.6434013,"COMMIT_EVENT,42,0,3788005793,3788022249,189249,1500,1500,1500,1500,1500,1500,1500,1500"
8.6870778,"RX_EVENT,43,0,3788061386,32768,32768,32768,32768"
8.6870778,"COMMIT_EVENT,43,0,3788061386,3788062249,189251,1500,1500,1500,1500,1500,1500,1500,1500"
8.7419338,"RX_EVENT,44,0,3788105734,32768,32768,32768,32768"
8.7419338,"COMMIT_EVENT,44,0,3788105734,3788122249,189254,1500,1500,1500,1500,1500,1500,1500,1500"
8.7981419,"RX_EVENT,45,0,3788161597,32768,32768,32768,32768"
8.7981419,"COMMIT_EVENT,45,0,3788161597,3788162249,189256,1500,1500,1500,1500,1500,1500,1500,1500"
8.846555,"RX_EVENT,46,0,3788216432,32768,32768,32768,32768"
8.846555,"COMMIT_EVENT,46,0,3788216432,3788222249,189259,1500,1500,1500,1500,1500,1500,1500,1500"
8.8919836,"RX_EVENT,47,0,3788264896,32768,32768,32768,32768"
8.8919836,"COMMIT_EVENT,47,0,3788264896,3788282249,189262,1500,1500,1500,1500,1500,1500,1500,1500"
8.9362674,"RX_EVENT,48,0,3788310344,32768,32768,32768,32768"
8.9362674,"COMMIT_EVENT,48,0,3788310344,3788322249,189264,1500,1500,1500,1500,1500,1500,1500,1500"
8.9795563,"RX_EVENT,49,0,3788354434,32768,32768,32768,32768"
