stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_lift_region,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,392,751,0,0,0,1143,0,0,0,1143,0.0,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,391,751,0,0,0,1142,0,0,0,1142,0.0,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,397,745,0,0,0,1142,0,0,0,1142,0.0,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,394,748,0,0,0,1142,0,0,0,1142,0.0,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,395,748,0,0,0,1143,0,0,0,1143,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,71,139,0,0,0,210,0,0,0,210,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,62,142,0,0,0,204,0,0,0,204,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,64,145,0,0,0,209,0,0,0,209,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,65,138,0,0,0,203,0,0,0,203,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,72,138,0,0,0,210,0,0,0,210,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,75,133,0,0,0,208,0,0,0,208,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,71,147,0,0,0,218,0,0,0,218,0.0,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,70,142,0,0,0,212,0,0,0,212,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,37,51,0,0,0,88,0,0,0,88,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,43,54,0,0,0,97,0,0,0,97,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,42,48,0,0,0,90,0,0,0,90,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,42,52,0,0,0,94,0,0,0,94,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,36,52,0,0,0,88,0,0,0,88,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,34,56,0,0,0,90,0,0,0,90,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,33,47,0,0,0,80,0,0,0,80,0.0,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,33,52,0,0,0,85,0,0,0,85,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,615,1543,0,0,0,2158,0,0,0,2158,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,611,1547,0,0,0,2158,0,0,0,2158,0.0,True,False
