case_id,alpha_deg,speed_m_s,delta_e_deg,surface_name,surface_code,fx_b_n,fy_b_n,fz_b_n,mx_b_nm,my_b_nm,mz_b_nm,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
longitudinal_000000,-8.0,4.5,-10.0,total,-1,0.04675301893704235,-1.734723475976807e-18,0.9679518213656618,-3.469446951953614e-18,-0.14478988742479354,-3.2526065174565133e-19,0.02990206877346226,-1.1094860152549427e-18,0.6190779245902767,-2.9044136524998504e-18,-0.5612364421705456,-2.7228877992186097e-19,-0.6172146644208767,0.056547930605476256,True,ok
longitudinal_000000,-8.0,4.5,-10.0,wing,0,0.05120949769082165,-1.734723475976807e-18,0.9253470786313523,-3.469446951953614e-18,-0.15568662194527338,-3.2526065174565133e-19,0.03275232180979404,-1.1094860152549427e-18,0.5918289901624803,-2.9044136524998504e-18,-0.6034745060458812,-2.7228877992186097e-19,-0.5906275933033841,0.049933097333589284,True,ok
longitudinal_000000,-8.0,4.5,-10.0,horizontal_tail,1,-0.0027485661631746327,0.0,0.042604742734309684,0.0,0.01080184310790485,0.0,-0.0017579145969233204,0.0,0.027248934427796495,0.0,0.0418702445494604,0.0,-0.02673909524540294,0.005533125395081797,True,ok
longitudinal_000000,-8.0,4.5,-10.0,vertical_tail,2,-0.0017079125906046592,0.0,0.0,0.0,9.489141257496764e-05,0.0,-0.0010923384394084515,0.0,0.0,0.0,0.00036781932587505185,0.0,0.00015202412791035273,0.001081707876805188,True,ok
longitudinal_000001,-6.0,4.5,-10.0,total,-1,0.00675990895204168,0.0,0.697955469178695,1.0408340855860843e-17,-0.12440994326586412,2.710505431213761e-19,0.004323469734831221,0.0,0.4463949690243412,8.713240957499551e-18,-0.48223943792649554,2.269073166015508e-19,-0.4444014963243156,0.042361194807274447,True,ok
longitudinal_000001,-6.0,4.5,-10.0,wing,0,0.018643230257138325,0.0,0.7152287783347419,1.0408340855860843e-17,-0.11995779231237798,2.710505431213761e-19,0.011923746658138458,0.0,0.45744254819831753,8.713240957499551e-18,-0.46498195257594827,2.269073166015508e-19,-0.4561830009708515,0.035957339470066664,True,ok
longitudinal_000001,-6.0,4.5,-10.0,horizontal_tail,1,-0.010160704073360359,0.0,-0.01727330915604643,0.0,-0.0045478593541060895,0.0,-0.0064985337609439085,0.0,-0.011047579173976025,0.0,-0.017628471496093343,0.0,0.01166634112685813,0.005308147639165203,True,ok
longitudinal_000001,-6.0,4.5,-10.0,vertical_tail,2,-0.0017226172317362774,0.0,0.0,0.0,9.570840061994318e-05,0.0,-0.0011017431623633227,0.0,0.0,0.0,0.00037098614554604653,0.0,0.00011516351967748294,0.001095707698042607,True,ok
longitudinal_000002,-4.0,4.5,-10.0,total,-1,-0.023953955927564358,8.673617379884035e-19,0.40564106089033775,4.336808689942018e-19,-0.10047741716490453,-5.421010862427522e-19,-0.015320354788362373,5.547430076274714e-19,0.25943793953534156,3.630517065624813e-19,-0.389471869417728,-4.538146332031016e-19,-0.25773726782739365,0.03338051099152328,True,ok
longitudinal_000002,-4.0,4.5,-10.0,wing,0,-0.007046853111424595,8.673617379884035e-19,0.4830102689081612,0.0,-0.08065654814729067,-5.421010862427522e-19,-0.0045069920866084474,5.547430076274714e-19,0.308921361818994,0.0,-0.31264195949772683,-4.538146332031016e-19,-0.3078544530327818,0.02604527814513219,True,ok
