audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,400,300,14,14,0,0.0012115495206443054,0.0397268956192898,3.019419745600875e-05,1.4859736249867581,14,0.02941752321537721,0.8608457086833738,1.724165917754816e-07,28,0.4277085775157631,300,0.03665165639578626,300,0.0368607816803876,300,-6.779722149198436e-06,0.15406051377507105,8.597514363648532e-05,0.03690547734722287,4.469566683526575e-05,0.0368607816803876,300,0.0011813553231882947,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8818832558720107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8543122130853001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894650837089492,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.890282949640465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894413951535878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",20,20,1,1,0,0.0019826660106631753,0.0396533202132635,4.1501508262675e-05,2.3886674167529995,1,0.04021948059982304,0.8541911330510423,1.5958834606522764e-08,2,0.5650664631832443,20,0.048510154022228635,20,0.04872835150732681,20,0.0,0.213531079171812,0.0,0.04879204014216698,6.368863484017e-05,0.04872835150732681,20,0.0019411645024005049,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03853930364430129,0.8299686904277817,0.0,0,0.5664224727051341,20,0.04932504258544203,20,0.049622426444021664,20,-5.449459624415069e-11,0.2608870535450024,4.886339371857208e-10,0.049622426444021664,0.0,0.049622426444021664,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",20,20,1,1,0,0.00198271634339967,0.0396543268679934,4.147425909998e-05,2.3902974838199027,1,0.03468564927165256,0.8645300515546961,1.3916827438225989e-08,1,0.5740230195520396,20,0.04896623392470475,20,0.04921867466155823,20,3.628599945538936e-14,0.18760934625415443,1.972422448573922e-13,0.04928231835297421,6.364369141598e-05,0.04921867466155823,20,0.001941242084299695,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",20,20,2,2,0,0.002200118700838905,0.0395070755962795,9.8170483085755e-05,2.6889305614208268,2,0.03954346734756099,0.8638753778106946,2.4680822274590712e-12,1,0.575552402683509,20,0.04903336135234293,20,0.04920704307277065,20,2.297812064357004e-12,0.17947640273515283,6.504852689499752e-11,0.04933652381795568,0.00012948074518502503,0.04920704307277065,20,0.002101948217753135,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",20,20,1,1,0,0.00198634478096449,0.0397268956192898,3.9688181298165e-05,2.502438655530048,1,0.0364537728752332,0.862772619473048,1.0429402312585796e-14,1,0.573310089108362,20,0.048563710651009145,20,0.048897259596148775,20,0.0,0.18338623826056272,0.0,0.04895795741898255,6.0697822833780006e-05,0.048897259596148775,20,0.001946656599666315,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",20,20,1,1,0,0.0019826660106631753,0.0396533202132635,4.1501508262675e-05,2.3886674167529995,1,0.03554725564042256,0.8558507797034304,0.0,0,0.5667260779099513,20,0.04861224557692918,20,0.04880198119328773,20,0.0,0.213531079171812,0.0,0.0488656698281279,6.368863484017e-05,0.04880198119328773,20,0.0019411645024005049,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.033830109273165675,0.8316427673842414,0.0,0,0.5680958261764575,20,0.04942846126981794,20,0.04970663205733479,20,0.0,0.2608870539637283,0.0,0.04970663205733479,0.0,0.04970663205733479,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
