library_size_case_id,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,expected_low_energy_dry_air_sink_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,mean_launch_score
balanced_cluster,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,128.88795359487597
heavy_cluster,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.01178115415053
light_cluster,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.6309246362481
no_cluster_no_merge,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.260227635417
super_light_cluster,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.73174031501827
