library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,floor_or_ceiling_violation_rate,physical_floor_or_ceiling_violation_rate,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_episode_flight_time_s,mean_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,exploration_changed_selection_rate
light_cluster,spatial_flow_belief_memory_h3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.04174438386990345,-0.41781129204950695,0.02452772547794365,0.32656697686292,0.44233901752745064,3.261705302111073,2.8617053021110737,20.0,0.99,6.195389125668321,129.63133953725838,129.63133953725838,-0.0683178055478319,2,2,0,294,0.0588825070898784,0.5,0.0
light_cluster,spatial_flow_belief_memory_h30,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.04174438386990345,-0.41781129204950695,0.02452772547794365,0.32656697686292,0.44233901752745064,3.261705302111073,2.8617053021110737,20.0,0.99,6.195389125668321,129.63133953725838,129.63133953725838,-0.0683178055478319,2,2,0,2203,0.021491649655548402,0.5,0.0
no_cluster_no_merge,no_memory_baseline,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.015179519440364844,-0.4228617663345011,0.03273673013708445,0.3074872033504049,0.45559849647158557,3.2566548278260794,2.8566548278260795,20.0,0.97,6.195389125668321,129.0997440670081,129.0997440670081,-0.03100473409432065,2,2,0,0,1.0,0.0,0.0
no_cluster_no_merge,spatial_flow_belief_memory_h10,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6,-0.04263444190259455,-0.40833042892757265,0.0339099335139108,0.3209526003480696,0.44224036244148346,3.271186165233008,2.8711861652330075,20.0,0.97,6.195389125668321,129.4190520069614,129.4190520069614,-0.02704546112331925,2,2,0,790,0.0359141875139808,1.0,0.0
no_cluster_no_merge,spatial_flow_belief_memory_h3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.59,-0.0479484369116598,-0.4235785660961886,0.0339099335139108,0.3076531230368595,0.4574884996100994,3.2559380280643917,2.855938028064392,20.0,0.97,6.195389125668321,129.1030624607372,129.1030624607372,-0.0363339931074557,2,2,0,296,0.058679353573909396,0.5,0.0
no_cluster_no_merge,spatial_flow_belief_memory_h30,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6,-0.04263444190259455,-0.40833042892757265,0.0339099335139108,0.3209526003480696,0.44224036244148346,3.271186165233008,2.8711861652330075,20.0,0.97,6.195389125668321,129.4190520069614,129.4190520069614,-0.02704546112331925,2,2,0,2202,0.02151193946588215,1.0,0.0
super_light_cluster,no_memory_baseline,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.0416203616451565,-0.4107011608524229,0.02563175923796665,0.33146771554089544,0.4363329200903896,3.2688154333081574,2.8688154333081575,20.0,0.99,6.195389125668321,129.7293543108179,129.7293543108179,-0.0856612304507753,2,2,0,0,1.0,0.0,0.0
super_light_cluster,spatial_flow_belief_memory_h10,10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.02549853825726745,-0.41108632350439134,0.02574594860751355,0.3316267824875865,0.4368322721119049,3.268430270656189,2.868430270656189,20.0,0.99,6.195389125668321,129.73253564975175,129.73253564975175,-0.0889731547658594,2,2,0,790,0.035878566806431,0.5,0.0
super_light_cluster,spatial_flow_belief_memory_h3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.02549853825726745,-0.41108632350439134,0.02574594860751355,0.3316267824875865,0.4368322721119049,3.268430270656189,2.868430270656189,20.0,0.99,6.195389125668321,129.73253564975175,129.73253564975175,-0.0889731547658594,2,2,0,294,0.05867465898103795,0.5,0.0
super_light_cluster,spatial_flow_belief_memory_h30,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,0.02549853825726745,-0.41108632350439134,0.02574594860751355,0.3316267824875865,0.4368322721119049,3.268430270656189,2.868430270656189,20.0,0.99,6.195389125668321,129.73253564975175,129.73253564975175,-0.0889731547658594,2,2,0,2218,0.02145302115910875,0.5,0.0
