audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,timing_duration_source_column,timing_boundary_scope,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,267,0.6675,393,0.9825,,3.970766799997364,0.10923956400438325,0.0399082345002716,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.815,48,446.4,1598,433.585,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,147,0.91875,158,0.9875,,3.970766799997364,1.4684393410047658,0.05719196687487051,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.15,5,60.0,90,56.85,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,107,0.66875,160,1.0,,0.0520972000012989,0.043283045999778495,0.017993701250225008,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.575,10,257.0,335,250.425,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,13,0.1625,75,0.9375,,0.120403000008082,0.11208161400521921,0.04916983625116695,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,44.625,48,1598.0,1598,1553.375,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,135,0.9375,144,1.0,True,0.0334967000089818,0.030955223997880192,0.010242381944307304,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,101,0.7013888888888888,144,1.0,,0.0419676000092295,0.03945649299748759,0.017148018750352344,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,6.611111111111111,10,257.0,335,250.38888888888889,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,20,0.5,35,0.875,,3.970766799997364,3.8001768999978958,0.21664220000002388,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,72,0.9,80,1.0,,0.0334967000089818,0.029105406001908658,0.01110480999977876,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.25,4,90.0,90,86.75,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,75,0.9375,78,0.975,,3.970766799997364,3.6252128999984388,0.10327912374996226,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.05,5,30.0,30,26.95,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,67,0.8375,80,1.0,,0.0251653000013902,0.025085115000110795,0.013726698750997407,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,4.5,6,179.0,179,174.5,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
