launch_role,termination_cause,row_count
final_heldout,wall_boundary_exit_retained,40
history,floor_margin_stop,75
history,no_viable_continuation_primitive,17
history,wall_boundary_exit_retained,321
history,wall_boundary_exit_uncontrolled,17
