gate_id,passed,observed,required
final_heldout_launch_count,False,20.0,1000
history_launch_count,False,215.0,10750
library_size_case_count,True,5.0,5
policy_history_condition_count,True,4.0,4
pairing_audit,True,1.0,1
primitive_count_cap_disabled_for_full_validation,False,1.0,0_or_negative_disabled
max_episode_time_budget_positive,True,20.0,>=0.1
no_glider_latency_variation_audit,True,1.0,1
launch_inflight_recovery_sequence_policy,True,235.0,235
hard_failure_rate_within_stage_profile,True,0.0,0.2
floor_or_ceiling_violation_rate_zero,True,0.0,0.0
no_viable_primitive_rate_within_stage_profile,True,0.0,0.3
safe_success_rate_within_stage_profile,True,1.0,0.2
terminal_or_lift_capture_within_stage_profile,False,0.0,0.3
selected_primitive_family_count_ge_5,False,1.0,5
selected_variant_count_ge_10,False,4.0,10
