library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,transition_entry_class_incompatible,3
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,,15
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,transition_entry_class_incompatible,3
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,,15
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,transition_entry_class_incompatible,3
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,,15
balanced_cluster,no_memory_baseline,final_heldout,transition_entry_class_incompatible,3
balanced_cluster,no_memory_baseline,final_heldout,,15
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,transition_entry_class_incompatible,3
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,,8
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,transition_entry_class_incompatible,3
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,,8
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,transition_entry_class_incompatible,3
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,,8
heavy_cluster,no_memory_baseline,final_heldout,transition_entry_class_incompatible,3
heavy_cluster,no_memory_baseline,final_heldout,,8
light_cluster,directional_3d_residual_memory_h10,final_heldout,transition_entry_class_incompatible,3
light_cluster,directional_3d_residual_memory_h10,final_heldout,,16
light_cluster,directional_3d_residual_memory_h3,final_heldout,transition_entry_class_incompatible,3
light_cluster,directional_3d_residual_memory_h3,final_heldout,,16
light_cluster,directional_3d_residual_memory_h30,final_heldout,transition_entry_class_incompatible,3
light_cluster,directional_3d_residual_memory_h30,final_heldout,,16
light_cluster,no_memory_baseline,final_heldout,transition_entry_class_incompatible,3
light_cluster,no_memory_baseline,final_heldout,,16
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,transition_entry_class_incompatible,3
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,,18
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,transition_entry_class_incompatible,3
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,,18
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,transition_entry_class_incompatible,3
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,,18
no_cluster_no_merge,no_memory_baseline,final_heldout,transition_entry_class_incompatible,3
no_cluster_no_merge,no_memory_baseline,final_heldout,,18
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,transition_entry_class_incompatible,3
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,,17
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,transition_entry_class_incompatible,3
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,,17
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,transition_entry_class_incompatible,3
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,,17
super_light_cluster,no_memory_baseline,final_heldout,transition_entry_class_incompatible,3
super_light_cluster,no_memory_baseline,final_heldout,,17
