library_size_case_id,rejection_reason,row_count
balanced_cluster,transition_entry_class_incompatible,12
balanced_cluster,,60
heavy_cluster,transition_entry_class_incompatible,12
heavy_cluster,,32
light_cluster,transition_entry_class_incompatible,12
light_cluster,,64
no_cluster_no_merge,transition_entry_class_incompatible,12
no_cluster_no_merge,,72
super_light_cluster,transition_entry_class_incompatible,12
super_light_cluster,,68
