stage_index,stage_id,fit_parameter_group,accepted,acceptance_reason,train_objective_before,train_objective_after,heldout_objective_before,heldout_objective_after,heldout_dx_mae_before_m,heldout_dx_mae_after_m,heldout_altitude_loss_mae_before_m,heldout_altitude_loss_mae_after_m,heldout_sink_mae_before_m_s,heldout_sink_mae_after_m_s,heldout_pitch_mae_before_deg,heldout_pitch_mae_after_deg,attached_sample_fraction,transition_sample_fraction,post_stall_sample_fraction,parameter_updates_json
0,stage0_baseline,none,True,baseline_active,62.05919708,62.05919708,56.28026261,56.28026261,0.944352335,0.944352335,1.180679044,1.180679044,1.073922578,1.073922578,20.50537753,20.50537753,0.218844697,0.696780303,0.084375,{}
1,stage1_attached_cm,attached_pitch_moment,True,heldout_longitudinal_improved_or_preserved,62.05919708,29.62622238,56.28026261,18.0176426,0.944352335,0.4038661699,1.180679044,0.3841844338,1.073922578,0.3436262993,20.50537753,7.777958301,0.218844697,0.696780303,0.084375,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615}"
2,stage2_transition_cm,transition_pitch_moment,True,heldout_objective_improved_with_practical_metric_tolerance,29.62622238,29.48313022,18.0176426,17.86848857,0.4038661699,0.4043236175,0.3841844338,0.3813962287,0.3436262993,0.3412404398,7.777958301,7.668310768,0.218844697,0.696780303,0.084375,"{""transition_pitch_moment_bias_coeff"": 0.003997796528526139}"
3,stage3_post_stall_cm,post_stall_pitch_moment,False,rejected_by_heldout_longitudinal_gate,29.48313022,29.68480151,17.86848857,18.12241785,0.4043236175,0.4038007145,0.3813962287,0.3867737809,0.3412404398,0.3458393817,7.668310768,7.612980894,0.218844697,0.696780303,0.084375,{}
4,stage4_post_stall_cmq,post_stall_pitch_damping,False,rejected_by_heldout_longitudinal_gate,29.48313022,30.85050809,17.86848857,20.46401082,0.4043236175,0.4007086752,0.3813962287,0.4399848963,0.3412404398,0.3920524335,7.668310768,7.527776769,0.218844697,0.696780303,0.084375,{}
5,stage5_transition_blend,transition_blend_start_full,True,heldout_objective_improved_with_practical_metric_tolerance,29.48313022,27.47651144,17.86848857,15.47817056,0.4043236175,0.4075358813,0.3813962287,0.3434580162,0.3412404398,0.3088797992,7.668310768,5.437063205,0.218844697,0.696780303,0.084375,"{""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0}"
6,stage6_post_blend_transition_cm,transition_pitch_moment,False,rejected_by_heldout_longitudinal_gate,27.47651144,28.13749137,15.47817056,16.06385092,0.4075358813,0.4062805586,0.3434580162,0.3543684044,0.3088797992,0.3180203353,5.437063205,5.361877453,0.218844697,0.696780303,0.084375,{}
7,stage7_post_blend_post_stall_cm,post_stall_pitch_moment,False,rejected_by_heldout_longitudinal_gate,27.47651144,27.75301401,15.47817056,15.79265175,0.4075358813,0.4044174836,0.3434580162,0.3488258012,0.3088797992,0.3134872454,5.437063205,5.131762712,0.218844697,0.696780303,0.084375,{}
8,stage8_post_blend_post_stall_cmq,post_stall_pitch_damping,False,rejected_by_heldout_longitudinal_gate,27.47651144,29.26585596,15.47817056,18.31400726,0.4075358813,0.3890261985,0.3434580162,0.4011202674,0.3088797992,0.3587403336,5.437063205,5.21396906,0.218844697,0.696780303,0.084375,{}
9,stage9_post_blend_post_stall_lift_drag,post_stall_lift_drag,False,rejected_by_heldout_longitudinal_gate,27.47651144,28.49213344,15.47817056,16.50984586,0.4075358813,0.4188500368,0.3434580162,0.3662062367,0.3088797992,0.3289198171,5.437063205,5.473874733,0.218844697,0.696780303,0.084375,{}
