environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,9,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,9,1.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,5.432799889921136,5.006238503787513,5.718384712574212,120.0,120.0,1.0377777777777777,0.0,2.768323087438084,2.3683230874380836,20.0,0.0,0.0,-0.46705493381264546,0.46705493381264546
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,11,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,5,0.45454545454545453,5,0.45454545454545453,0,0.0,5,0.45454545454545453,0,0.0,3,0.2727272727272727,8,0.7272727272727273,3,0.2727272727272727,0,0.0,0,0.0,3,0.2727272727272727,3,0.2727272727272727,5,0.45454545454545453,0,0.0,0,0.0,0,0.0,4.483381109919038,4.021900175557706,4.83138990351599,40.23498483464202,0.0,1.249090909090909,0.0,1.4737894328491798,1.07378943284918,5.68953028918747,0.0,0.0,-1.2466143950213606,1.2466143950213606
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,10,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,1.0,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,6.390558632095126,6.035881575804622,6.943015601892395,120.0,120.0,0.8999999999999998,0.0,3.318736110627628,2.918736110627628,20.0,0.0,0.0,-0.48799354566880504,0.48799354566880504
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,14,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,14,1.0,14,1.0,0,0.0,14,1.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,7.5075769966312595,7.033537600394101,7.98089025501754,120.0,120.0,0.7828571428571428,0.0,4.090567251227804,3.6905672512278045,20.0,0.0,0.0,-0.49257590370971516,0.49257590370971516
r11_l0_dry_air_fixed,heavy_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,6,,4.0,initial_launch_speed_m_s < 4.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3.5370344068149104,3.3135608288223706,3.748144266017681,0.0,0.0,1.0066666666666666,0.0,1.0810558413626115,0.6810558413626113,0.0,0.0,0.0,-1.1994112627429658,1.1994112627429658
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,14,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,14,1.0,14,1.0,0,0.0,14,1.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,14,1.0,0,0.0,0,0.0,7.507576996631258,7.033537600394101,7.98089025501754,129.10058647961472,130.85654221536316,0.8185714285714285,0.36714285714285716,4.373836850806479,3.9738368508064794,20.0,0.11339724408026648,0.3632436096950202,-0.20930630413104018,0.3227035482113067
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,9,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,9,1.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,9,1.0,0,0.0,0,0.0,5.432799889921136,5.006238503787513,5.718384712574212,133.55682874735646,135.78414169687977,1.1244444444444444,0.47333333333333333,2.7967839310073757,2.3967839310073753,19.997837560479972,0.02218985668090609,0.5596162260104914,-0.4385940902433537,0.46078394692425984
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,6,,4.0,initial_launch_speed_m_s < 4.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6666666666666666,2,0.3333333333333333,2,0.3333333333333333,0,0.0,0,0.0,4,0.6666666666666666,4,0.6666666666666666,0,0.0,6,1.0,0,0.0,0,0.0,3.5370344068149104,3.3135608288223706,3.748144266017681,-13.333333333333334,0.0,1.1900000000000002,0.64,0.9558821720004019,0.555882172000402,0.0,0.0,0.7271038053503501,-1.324584932105175,1.324584932105175
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,11,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,6,0.5454545454545454,6,0.5454545454545454,0,0.0,6,0.5454545454545454,0,0.0,3,0.2727272727272727,8,0.7272727272727273,2,0.18181818181818182,0,0.0,0,0.0,3,0.2727272727272727,3,0.2727272727272727,6,0.5454545454545454,11,1.0,0,0.0,0,0.0,4.483381109919038,4.021900175557706,4.83138990351599,65.29728775359935,125.40009378650072,1.4727272727272729,0.8090909090909091,1.5621914997220843,1.1621914997220841,7.0407880957470415,0.007785414028352172,0.8730781000840725,-1.158212328148456,1.1659977421768082
r11_l1_single_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,10,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,1.0,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,6.390558632095126,6.035881575804622,6.943015601892395,127.96746917796266,128.58431074099445,0.9319999999999998,0.346,3.4558241518451056,3.0558241518451057,20.0,0.02215169195723777,0.3118734588981328,-0.3509055044513274,0.3730571964085653
r11_l2_four_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,9,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,9,1.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,9,1.0,0,0.0,0,0.0,5.432799889921136,5.006238503787513,5.718384712574212,139.16901311801033,138.83707117599042,1.1466666666666667,1.0933333333333333,2.871746450635362,2.471746450635362,19.463323225792767,0.03277196228659926,0.7119511612775449,-0.36363157061536755,0.39640353290196684
r11_l2_four_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,14,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,14,1.0,14,1.0,0,0.0,14,1.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,14,1.0,0,0.0,0,0.0,7.507576996631258,7.033537600394101,7.98089025501754,135.1457072893798,134.2534042353169,0.8257142857142857,0.7914285714285715,4.526818308577886,4.126818308577886,20.0,0.11837380242003001,0.5594282216118452,-0.05632484635963414,0.17469864877966418
r11_l2_four_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,11,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,10,0.9090909090909091,10,0.9090909090909091,0,0.0,10,0.9090909090909091,0,0.0,1,0.09090909090909091,10,0.9090909090909091,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,1,0.09090909090909091,10,0.9090909090909091,11,1.0,0,0.0,0,0.0,4.483381109919038,4.021900175557706,4.83138990351599,127.06079434362404,139.53116485443337,1.4309090909090911,1.3636363636363635,1.6428642132969609,1.2428642132969607,11.674466513390497,0.0,1.033034359798892,-1.0775396145735796,1.0775396145735796
r11_l2_four_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,6,,4.0,initial_launch_speed_m_s < 4.0,5.0,initial_launch_speed_m_s,1,0.16666666666666666,1,0.16666666666666666,0,0.0,1,0.16666666666666666,0,0.0,3,0.5,3,0.5,2,0.3333333333333333,0,0.0,0,0.0,3,0.5,3,0.5,1,0.16666666666666666,6,1.0,0,0.0,0,0.0,3.5370344068149104,3.3135608288223706,3.748144266017681,10.354968640816248,0.0,1.4033333333333333,1.3099999999999998,1.0209633977220915,0.6209633977220913,0.5823549447096124,0.0,1.1717574611056911,-1.2595037063834857,1.2595037063834857
r11_l2_four_fan_fixed_nominal,heavy_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,10,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,9,0.9,10,1.0,0,0.0,9,0.9,1,0.1,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,6.390558632095126,6.035881575804622,6.943015601892395,118.34622533812589,136.12993145350165,0.9559999999999998,0.9199999999999999,3.8072704299815014,3.4072704299815015,18.0,0.12167245350207416,0.6239851957098516,0.0005407736850683291,0.12113167981700583
