surface_index,surface_name,neutral_deg,min_deflection_deg,max_deflection_deg,positive_range_deg,negative_range_deg,positive_full_commanded,negative_full_commanded,positive_full_valid,negative_full_valid,positive_full_deflection_deg,negative_full_deflection_deg,deadband_positive_norm,deadband_negative_norm,gain_positive_deg_per_norm,gain_negative_deg_per_norm,hysteresis_deg,return_hysteresis_deg,repeatability_std_deg,fit_rmse_deg,command_levels_norm,settled_deflection_deg
1,Aileron_L,-0.229009926459497,-23.3157930846031,36.498008156742,36.498008156742,23.3157930846031,1,1,1,1,-22.912955122929,32.0284511383847,NaN,NaN,NaN,NaN,0.861066749712331,1.03315932804407,0.998906865470454,14.3336004483524,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[0.132994027372908 -2.46500578080616 -6.52137625133842 -11.3179861506871 -17.1884712898402 -22.8281514977562 -19.874098165193 -11.2241902178273 -3.13822973814633 -2.32183898782259 8.47132428182627 8.03582012198649 8.9355444872532 11.5809325043031 17.7338137161516 34.973607212559 32.0284511383847 34.3101330921488 10.1971922819101 11.1509842932012 9.28437012663589 -0.272863475862524 -0.222676654446956 11.0085077772864 12.1835217552136 16.6382662640329 32.681277000941 27.642358748214 36.498008156742 8.17774389092275 10.5048916490398 10.5831321538961 -0.132994027372908 -0.20928421468522 -1.56301160385752 -5.72753823944456 -11.1191330332896 -16.8811691238991 -22.9977587481018 -23.3157930846031 -10.0859737052455 -3.13227092112702 -1.88375231545281 8.56870524183883]
2,Aileron_R,9.6527234774937,-30.4202690982261,29.3134075909969,29.3134075909969,30.4202690982261,1,1,1,1,29.3134075909969,-27.8122233189223,0.4,0.4,36.5711250992113,50.5541292961165,1.33143979141431,4.99489171566931,3.25509865820253,7.12183669290904,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[-6.33984878733243 -1.32418206696649 5.95194807865928 8.32344748599351 13.2159312081786 29.3134075909969 27.5748135742855 17.6921538588441 14.073104123016 7.28503022300778 -0.373893864132814 0.714582523388893 -5.55320710171058 -12.3179817361874 -15.7559405693243 -19.8850808606344 -27.7812314697349 -30.4202690982261 -11.544151033353 -13.2461553259946 -7.40106953350287 0.730594855429711 -0.195916806207379 2.70353685535252 -12.9753415354515 -16.6375236801713 -20.8062595266391 -27.8432151681096 -30.363623584643 -11.4555057384307 -15.2516751095592 -7.82339660058482 1.53562371297538 0.19591680620738 -0.92767710456906 6.24505719216909 6.34602548786651 9.80463057884912 38.819828468736 37.9351175906493 3.26819774261279 8.12465943441651 4.06721461110025 -0.571637412418124]
3,Rudder,-0.0074659249908721,-28.6997201950694,20.9928171442647,20.9928171442647,28.6997201950694,1,1,1,1,20.1353882755505,-24.894551282744,NaN,0.8,NaN,-14.4543232348334,1.38250589834767,4.38032182780548,4.54644801415276,16.220381384358,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[0 4.48800412656546 14.1208295908861 23.5854256237191 19.8828152661286 20.1353882755505 20.9928171442647 20.6416171961099 15.8642888735377 11.8436858757689 9.72790921341328 9.42476326907151 2.87814276368922 -10.2274400385509 -12.8549138376933 -18.2373509623451 -21.0893823704186 -23.1073369549177 -22.1459377359467 -13.2126634466415 -8.21948675516155 -6.75840553307256 -6.75577032380619 -6.07256058211074 -8.92566793247704 -10.8101301518166 -26.7845423169458 -28.6997201950694 -28.5116060630385 -22.2337730628753 -12.8163255955154 -8.26952985136827 -5.69433972111226 -6.61199045610559 3.56115932295928 14.0777512563164 26.3521618621379 19.665806343619 18.1689193199781 20.0036492099671 20.5357044666333 17.0955937784108 13.0383341455413 8.97485233744062]
4,Elevator,-0.0420213127107104,-0.456666200609957,1.46865659148499,1.46865659148499,0.456666200609957,1,1,1,1,1.33862709946179,-0.159582000324331,0.8,NaN,-0.287476187075995,NaN,0.0188539345503134,0.217974399959541,0.131110034532734,0.552475519924259,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[-0.0257350956225154 0.0393317315144205 -0.109531357571935 0.175481214032662 1.03063886336321 1.33344362987316 1.46865659148499 0.72938627386303 0.309499693779224 0.527166942803092 -0.41941174622628 -0.33421666103741 -0.26537515804534 -0.40443614071042 -0.304084194269295 -0.101940804948168 -0.158296650176896 -0.212272865466104 -0.0642171417846155 -0.304302982578421 -0.0537426075444505 0.0257350956225154 0.0638629047089699 -0.171488758851514 -0.456666200609957 -0.321715602277384 -0.1458333409561 -0.160867350471766 -0.259433058165227 -0.113470398558665 -0.272745886441808 -0.0625422577351513 0.0473690223728365 0.0621694463019698 0.0773038264230692 -0.0106389386656435 0.16699753051746 1.13903289699651 1.34381056905041 1.32255468875107 0.713378078541958 0.27087208151559 0.458308137237931 -0.369969170198282]
