event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,fitted_deflection_deg,implementation_error_deg,valid,rejection_reason
51,2,Aileron_R,0.8,positive_first,positive,return,7,11,27.5748135742855,14.6284500396845,12.946363534601,1,
52,2,Aileron_R,0.6,positive_first,positive,return,8,11,17.6921538588441,7.31422501984225,10.3779288390018,0,unstable_final_window
53,2,Aileron_R,0.4,positive_first,positive,return,9,11,14.073104123016,0,14.073104123016,1,
54,2,Aileron_R,0.2,positive_first,positive,return,10,11,7.28503022300778,0,7.28503022300778,1,
55,2,Aileron_R,0,positive_first,positive,return,11,11,-0.373893864132814,0,-0.373893864132814,1,
56,2,Aileron_R,-0,positive_first,negative,outbound,1,11,0.714582523388893,0,0.714582523388893,1,
57,2,Aileron_R,-0.2,positive_first,negative,outbound,2,11,-5.55320710171058,0,-5.55320710171058,1,
58,2,Aileron_R,-0.4,positive_first,negative,outbound,3,11,-12.3179817361874,0,-12.3179817361874,1,
59,2,Aileron_R,-0.6,positive_first,negative,outbound,4,11,-15.7559405693243,-10.1108258592233,-5.64511471010103,1,
60,2,Aileron_R,-0.8,positive_first,negative,outbound,5,11,-19.8850808606344,-20.2216517184466,0.33657085781222,1,
61,2,Aileron_R,-1,positive_first,negative,outbound,6,11,-27.7812314697349,-30.3324775776699,2.55124610793495,1,
62,2,Aileron_R,-0.8,positive_first,negative,return,7,11,-30.4202690982261,-20.2216517184466,-10.1986173797795,1,
63,2,Aileron_R,-0.6,positive_first,negative,return,8,11,-11.544151033353,-10.1108258592233,-1.43332517412972,1,
64,2,Aileron_R,-0.4,positive_first,negative,return,9,11,-13.2461553259946,0,-13.2461553259946,1,
65,2,Aileron_R,-0.2,positive_first,negative,return,10,11,-7.40106953350287,0,-7.40106953350287,0,unstable_final_window
66,2,Aileron_R,-0,positive_first,negative,return,11,11,0.730594855429711,0,0.730594855429711,1,
67,2,Aileron_R,-0,negative_first,negative,outbound,1,11,-0.195916806207379,0,-0.195916806207379,1,
68,2,Aileron_R,-0.2,negative_first,negative,outbound,2,11,2.70353685535252,0,2.70353685535252,1,
69,2,Aileron_R,-0.4,negative_first,negative,outbound,3,11,-12.9753415354515,0,-12.9753415354515,1,
70,2,Aileron_R,-0.6,negative_first,negative,outbound,4,11,-16.6375236801713,-10.1108258592233,-6.52669782094796,1,
71,2,Aileron_R,-0.8,negative_first,negative,outbound,5,11,-20.8062595266391,-20.2216517184466,-0.584607808192526,1,
72,2,Aileron_R,-1,negative_first,negative,outbound,6,11,-27.8432151681096,-30.3324775776699,2.48926240956033,1,
73,2,Aileron_R,-0.8,negative_first,negative,return,7,11,-30.363623584643,-20.2216517184466,-10.1419718661964,1,
74,2,Aileron_R,-0.6,negative_first,negative,return,8,11,-11.4555057384307,-10.1108258592233,-1.3446798792074,1,
75,2,Aileron_R,-0.4,negative_first,negative,return,9,11,-15.2516751095592,0,-15.2516751095592,1,
76,2,Aileron_R,-0.2,negative_first,negative,return,10,11,-7.82339660058482,0,-7.82339660058482,1,
77,2,Aileron_R,-0,negative_first,negative,return,11,11,1.53562371297538,0,1.53562371297538,1,
78,2,Aileron_R,0,negative_first,positive,outbound,1,11,0.19591680620738,0,0.19591680620738,1,
79,2,Aileron_R,0.2,negative_first,positive,outbound,2,11,-0.92767710456906,0,-0.92767710456906,1,
80,2,Aileron_R,0.4,negative_first,positive,outbound,3,11,6.24505719216909,0,6.24505719216909,1,
81,2,Aileron_R,0.6,negative_first,positive,outbound,4,11,6.34602548786651,7.31422501984225,-0.96819953197574,0,unstable_final_window
82,2,Aileron_R,0.8,negative_first,positive,outbound,5,11,9.80463057884912,14.6284500396845,-4.82381946083539,1,
83,2,Aileron_R,1,negative_first,positive,outbound,6,11,38.819828468736,21.9426750595268,16.8771534092092,0,unstable_final_window
84,2,Aileron_R,0.8,negative_first,positive,return,7,11,37.9351175906493,14.6284500396845,23.3066675509648,0,unstable_final_window
85,2,Aileron_R,0.6,negative_first,positive,return,8,11,3.26819774261279,7.31422501984225,-4.04602727722947,0,unstable_final_window
86,2,Aileron_R,0.4,negative_first,positive,return,9,11,8.12465943441651,0,8.12465943441651,1,
87,2,Aileron_R,0.2,negative_first,positive,return,10,11,4.06721461110025,0,4.06721461110025,1,
88,2,Aileron_R,0,negative_first,positive,return,11,11,-0.571637412418124,0,-0.571637412418124,1,
89,3,Rudder,0,positive_first,positive,outbound,1,11,0,0,0,1,
90,3,Rudder,0.2,positive_first,positive,outbound,2,11,4.48800412656546,0,4.48800412656546,1,
91,3,Rudder,0.4,positive_first,positive,outbound,3,11,14.1208295908861,0,14.1208295908861,0,unstable_final_window
92,3,Rudder,0.6,positive_first,positive,outbound,4,11,23.5854256237191,0,23.5854256237191,0,unstable_final_window
93,3,Rudder,0.8,positive_first,positive,outbound,5,11,19.8828152661286,0,19.8828152661286,1,
94,3,Rudder,1,positive_first,positive,outbound,6,11,20.1353882755505,0,20.1353882755505,1,
95,3,Rudder,0.8,positive_first,positive,return,7,11,20.9928171442647,0,20.9928171442647,1,
96,3,Rudder,0.6,positive_first,positive,return,8,11,20.6416171961099,0,20.6416171961099,1,
97,3,Rudder,0.4,positive_first,positive,return,9,11,15.8642888735377,0,15.8642888735377,1,
98,3,Rudder,0.2,positive_first,positive,return,10,11,11.8436858757689,0,11.8436858757689,1,
99,3,Rudder,0,positive_first,positive,return,11,11,9.72790921341328,0,9.72790921341328,1,
100,3,Rudder,-0,positive_first,negative,outbound,1,11,9.42476326907151,0,9.42476326907151,1,
101,3,Rudder,-0.2,positive_first,negative,outbound,2,11,2.87814276368922,0,2.87814276368922,1,
102,3,Rudder,-0.4,positive_first,negative,outbound,3,11,-10.2274400385509,0,-10.2274400385509,1,
103,3,Rudder,-0.6,positive_first,negative,outbound,4,11,-12.8549138376933,0,-12.8549138376933,1,
104,3,Rudder,-0.8,positive_first,negative,outbound,5,11,-18.2373509623451,0,-18.2373509623451,1,
105,3,Rudder,-1,positive_first,negative,outbound,6,11,-21.0893823704186,2.89086464696669,-23.9802470173852,1,
106,3,Rudder,-0.8,positive_first,negative,return,7,11,-23.1073369549177,0,-23.1073369549177,1,
107,3,Rudder,-0.6,positive_first,negative,return,8,11,-22.1459377359467,0,-22.1459377359467,1,
108,3,Rudder,-0.4,positive_first,negative,return,9,11,-13.2126634466415,0,-13.2126634466415,1,
109,3,Rudder,-0.2,positive_first,negative,return,10,11,-8.21948675516155,0,-8.21948675516155,1,
110,3,Rudder,-0,positive_first,negative,return,11,11,-6.75840553307256,0,-6.75840553307256,1,
111,3,Rudder,-0,negative_first,negative,outbound,1,11,-6.75577032380619,0,-6.75577032380619,1,
112,3,Rudder,-0.2,negative_first,negative,outbound,2,11,-6.07256058211074,0,-6.07256058211074,1,
113,3,Rudder,-0.4,negative_first,negative,outbound,3,11,-8.92566793247704,0,-8.92566793247704,1,
114,3,Rudder,-0.6,negative_first,negative,outbound,4,11,-10.8101301518166,0,-10.8101301518166,1,
115,3,Rudder,-0.8,negative_first,negative,outbound,5,11,-26.7845423169458,0,-26.7845423169458,1,
116,3,Rudder,-1,negative_first,negative,outbound,6,11,-28.6997201950694,2.89086464696669,-31.5905848420361,1,
117,3,Rudder,-0.8,negative_first,negative,return,7,11,-28.5116060630385,0,-28.5116060630385,1,
