audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,444,333,2,2,0,3.3415971184163203e-07,0.0001091486096733,2.2522522522670073e-08,0.06683194236792432,2,0.032331957497446856,0.8341047052225616,3.0821593485352637e-06,107,8.463078887288189e-08,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8826912355902912,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8102757306344238,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:light_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8815769207362244,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",23,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8584863688020702,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",22,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8709921058254552,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.04269321324476814,0.8454800124190531,3.5843569959092538e-06,7,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.05029050804747868,0.7765850806701738,2.1049983037217503e-05,10,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.043352909535880585,0.8443179735472341,5.159445728852239e-06,8,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",23,23,0,0,0,0.0,0.0,0.0,0.0,0,0.05273152996800608,0.8210251583917901,9.101345704373527e-06,8,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.048299829747184296,0.8343570749338999,1.6470730403134994e-05,7,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.03440389398742521,0.8516662880459862,9.581747317850845e-07,3,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.03485444480315468,0.7820777484731996,1.3847109873512574e-06,7,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",22,22,0,0,0,0.0,0.0,0.0,0.0,0,0.03395652980806519,0.8511934723351157,1.4490028566275197e-06,4,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l2_four_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",23,23,0,0,0,0.0,0.0,0.0,0.0,0,0.03450169008162485,0.8285311563544038,1.5485862660771628e-06,5,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
