governor_mode,selected_primitive_id,row_count
continuation,energy_retaining_bank,4
continuation,glide,16
continuation,lift_entry,57
continuation,mild_turn_left,20
continuation,mild_turn_right,21
continuation,recovery,265
continuation,safe_exit_or_recovery_handoff,3713
terminal_episode,energy_retaining_bank,53
terminal_episode,glide,174
terminal_episode,lift_dwell_arc,40
terminal_episode,lift_entry,118
terminal_episode,mild_turn_left,236
terminal_episode,mild_turn_right,72
terminal_episode,recovery,340
terminal_episode,safe_exit_or_recovery_handoff,3063
