governor_mode,rejection_reason,row_count
continuation,,1863
continuation,context_wall_margin_low,7544
continuation,predicted_boundary_terminal_not_continuation_valid,8813
continuation,predicted_continuation_margin_low,9865
continuation,predicted_rejection_or_block_high,1233
continuation,predicted_wall_margin_low,3450
terminal_episode,,5032
terminal_episode,context_wall_margin_low,7544
terminal_episode,predicted_rejection_or_block_high,1249
terminal_episode,terminal_or_continuation_utility_low,11289
terminal_episode,terminal_utility_low,7654
