case_id,case_kind,source_primitive_id,governor_decision_status,accepted,primary_rejection_reason,all_rejection_reasons,candidate_w3_status,candidate_w3_recommendation,requires_lift_belief,requires_wind_fidelity,entry_check_pass,clearance_check_pass,lift_belief_check_pass,wind_fidelity_check_pass,model_region_check_pass,recovery_check_pass,no_go_check_pass,clearance_margin_x_plus_m,clearance_margin_x_minus_m,clearance_margin_y_plus_m,clearance_margin_y_minus_m,clearance_margin_floor_m,clearance_margin_ceiling_m,clearance_min_margin_m
recovery_none_favourable_U4_four_fan_W1_dp1__unsupported_model_region_case,unsupported_model_region_case,recovery_none_favourable_U4_four_fan_W1_dp1,rejected_model_region,False,rejected_model_region,rejected_model_region,w3_supported,send_to_governor_seed,True,W1,True,True,True,True,False,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__nominal_valid_case,nominal_valid_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,accepted_governor_seed,True,none,none,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__wrong_updraft_config_case,wrong_updraft_config_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_lift_belief,False,rejected_lift_belief,rejected_lift_belief,w3_supported,send_to_governor_seed,True,W2,True,True,False,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_wind_fidelity,False,rejected_wind_fidelity,rejected_wind_fidelity,w3_supported,send_to_governor_seed,True,W2,True,True,True,False,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__low_lift_confidence_case,low_lift_confidence_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_lift_belief,False,rejected_lift_belief,rejected_lift_belief,w3_supported,send_to_governor_seed,True,W2,True,True,False,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__insufficient_clearance_case,insufficient_clearance_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_clearance,False,rejected_clearance,rejected_clearance,w3_supported,send_to_governor_seed,True,W2,True,False,True,True,True,True,True,-0.04999999999999982,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,-0.04999999999999982
mild_bank_none_favourable_U1_single_fan_W2_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_entry_envelope,False,rejected_entry_envelope,rejected_entry_envelope,w3_supported,send_to_governor_seed,True,W2,False,True,True,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__recovery_unavailable_case,recovery_unavailable_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_recovery_class,False,rejected_recovery_class,rejected_recovery_class,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,True,False,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
mild_bank_none_favourable_U1_single_fan_W2_dp1__unsupported_model_region_case,unsupported_model_region_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,rejected_model_region,False,rejected_model_region,rejected_model_region,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,False,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__nominal_valid_case,nominal_valid_case,glide_none_favourable_U1_single_fan_W2_dp1,accepted_governor_seed,True,none,none,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__wrong_updraft_config_case,wrong_updraft_config_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_lift_belief,False,rejected_lift_belief,rejected_lift_belief,w3_supported,send_to_governor_seed,True,W2,True,True,False,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_wind_fidelity,False,rejected_wind_fidelity,rejected_wind_fidelity,w3_supported,send_to_governor_seed,True,W2,True,True,True,False,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__low_lift_confidence_case,low_lift_confidence_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_lift_belief,False,rejected_lift_belief,rejected_lift_belief,w3_supported,send_to_governor_seed,True,W2,True,True,False,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__insufficient_clearance_case,insufficient_clearance_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_clearance,False,rejected_clearance,rejected_clearance,w3_supported,send_to_governor_seed,True,W2,True,False,True,True,True,True,True,-0.04999999999999982,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,-0.04999999999999982
glide_none_favourable_U1_single_fan_W2_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_entry_envelope,False,rejected_entry_envelope,rejected_entry_envelope,w3_supported,send_to_governor_seed,True,W2,False,True,True,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__recovery_unavailable_case,recovery_unavailable_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_recovery_class,False,rejected_recovery_class,rejected_recovery_class,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,True,False,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
glide_none_favourable_U1_single_fan_W2_dp1__unsupported_model_region_case,unsupported_model_region_case,glide_none_favourable_U1_single_fan_W2_dp1,rejected_model_region,False,rejected_model_region,rejected_model_region,w3_supported,send_to_governor_seed,True,W2,True,True,True,True,False,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1__target_steering_marginal_rejected_case,target_steering_marginal_rejected_case,bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1,rejected_target_steering_marginal,False,rejected_target_steering_marginal,rejected_target_steering_marginal,w3_marginal,refine_seed_before_governor,True,W1,True,True,True,True,True,True,True,0.20000000000000018,0.2,0.2,0.2,0.10000000000000009,0.10000000000000009,0.10000000000000009
