source_primitive_id,w3_plan_id,w3_role,family,target_heading_deg,updraft_config,wind_fidelity,start_condition,candidate_w3_status,candidate_w3_recommendation,trial_success_fraction,governor_seed_candidate,seed_table_status,requires_lift_belief,requires_wind_fidelity,required_clearance_x_plus_m,required_clearance_x_minus_m,required_clearance_y_plus_m,required_clearance_y_minus_m,required_floor_margin_m,required_ceiling_margin_m,source_wind_query_region,source_recovery_class,coverage_region_id,coverage_status_s004,exclusion_reason
bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1,w3_s003_01,target_steering,bank_yaw_energy_retaining,15.0,U1_single_fan,W1,favourable,w3_marginal,refine_seed_before_governor,0.48,False,excluded_marginal_target_steering,True,W1,4.224120148016817,0.0,0.2116385767130078,0.0004823519592647,1.2429512041273931,1.6552461822112137,measured,dry_recoverable,target_015|favourable|U1_single_fan|W1|dp1,w3_marginal_needs_refinement,target_steering_w3_marginal_refine_first
glide_none_favourable_U4_four_fan_W2_dp1,w3_s003_02,glide_transit,glide,,U4_four_fan,W2,favourable,w3_supported,send_to_governor_seed,1.0,True,accepted_seed_candidate,True,W2,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,measured,dry_recoverable,target_none|favourable|U4_four_fan|W2|dp1,w3_supported_pending_governor,none
recovery_none_favourable_U4_four_fan_W1_dp1,w3_s003_03,recovery_fallback,recovery,,U4_four_fan,W1,favourable,w3_supported,send_to_governor_seed,1.0,True,accepted_seed_candidate,True,W1,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,measured,dry_recoverable,target_none|favourable|U4_four_fan|W1|dp1,w3_supported_pending_governor,none
mild_bank_none_favourable_U1_single_fan_W2_dp1,w3_s003_04,mild_bank_updraft_encounter,mild_bank,,U1_single_fan,W2,favourable,w3_supported,send_to_governor_seed,1.0,True,accepted_seed_candidate,True,W2,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,measured,dry_recoverable,target_none|favourable|U1_single_fan|W2|dp1,w3_supported_pending_governor,none
glide_none_favourable_U1_single_fan_W2_dp1,w3_s003_05,environment_comparison,glide,,U1_single_fan,W2,favourable,w3_supported,send_to_governor_seed,1.0,True,accepted_seed_candidate,True,W2,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,measured,dry_recoverable,target_none|favourable|U1_single_fan|W2|dp1,w3_supported_pending_governor,none
