case_id,case_kind,source_primitive_id,w3_role,family,updraft_config_requested,wind_fidelity_requested,start_condition_label,x_w,y_w,z_w,speed_m_s,available_clearance_x_plus_m,available_clearance_x_minus_m,available_clearance_y_plus_m,available_clearance_y_minus_m,available_floor_margin_m,available_ceiling_margin_m,required_clearance_x_plus_m,required_clearance_x_minus_m,required_clearance_y_plus_m,required_clearance_y_minus_m,required_floor_margin_m,required_ceiling_margin_m,lift_belief_available,lift_confidence,wind_query_region,recovery_fallback_available,no_go_flag,expected_governor_decision_status
glide_none_favourable_U4_four_fan_W2_dp1__nominal_valid_case,nominal_valid_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,True,False,accepted_governor_seed
glide_none_favourable_U4_four_fan_W2_dp1__wrong_updraft_config_case,wrong_updraft_config_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,True,False,rejected_lift_belief
glide_none_favourable_U4_four_fan_W2_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,True,False,rejected_wind_fidelity
glide_none_favourable_U4_four_fan_W2_dp1__low_lift_confidence_case,low_lift_confidence_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.2,measured,True,False,rejected_lift_belief
glide_none_favourable_U4_four_fan_W2_dp1__insufficient_clearance_case,insufficient_clearance_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.1453337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,True,False,rejected_clearance
glide_none_favourable_U4_four_fan_W2_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,1.0999999999999999,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,True,False,rejected_entry_envelope
glide_none_favourable_U4_four_fan_W2_dp1__recovery_unavailable_case,recovery_unavailable_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,measured,False,False,rejected_recovery_class
glide_none_favourable_U4_four_fan_W2_dp1__unsupported_model_region_case,unsupported_model_region_case,glide_none_favourable_U4_four_fan_W2_dp1,glide_transit,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.3953337178336396,0.2,0.22923409297462022,0.2,1.4716270563641554,1.6805034481793433,3.1953337178336394,0.0,0.0292340929746202,0.0,1.3716270563641553,1.5805034481793432,True,0.9,extrapolated,True,False,rejected_model_region
recovery_none_favourable_U4_four_fan_W1_dp1__nominal_valid_case,nominal_valid_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,True,False,accepted_governor_seed
recovery_none_favourable_U4_four_fan_W1_dp1__wrong_updraft_config_case,wrong_updraft_config_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U1_single_fan,W1,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,True,False,rejected_lift_belief
