boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,36159
continuation_valid,True,False,weak,59956
episode_terminal_useful,False,True,weak,6282
hard_failure,False,False,failed,3
