value,row_count,coverage_axis
energy_retaining_bank,12800,primitive_id
glide,12800,primitive_id
lift_dwell_arc,12800,primitive_id
lift_entry,12800,primitive_id
mild_turn_left,12800,primitive_id
mild_turn_right,12800,primitive_id
recovery,12800,primitive_id
safe_exit_or_recovery_handoff,12800,primitive_id
transition_object,102400,entry_role
0,3200,candidate_index
1,3200,candidate_index
10,3200,candidate_index
11,3200,candidate_index
12,3200,candidate_index
13,3200,candidate_index
14,3200,candidate_index
15,3200,candidate_index
16,3200,candidate_index
17,3200,candidate_index
18,3200,candidate_index
19,3200,candidate_index
2,3200,candidate_index
20,3200,candidate_index
21,3200,candidate_index
22,3200,candidate_index
23,3200,candidate_index
24,3200,candidate_index
25,3200,candidate_index
26,3200,candidate_index
27,3200,candidate_index
28,3200,candidate_index
29,3200,candidate_index
3,3200,candidate_index
30,3200,candidate_index
31,3200,candidate_index
4,3200,candidate_index
5,3200,candidate_index
6,3200,candidate_index
7,3200,candidate_index
8,3200,candidate_index
9,3200,candidate_index
inflight_boundary_near,10240,start_state_family
inflight_lift_region,15360,start_state_family
inflight_nominal,25600,start_state_family
inflight_recovery_edge,10240,start_state_family
launch_gate,40960,start_state_family
W0,12800,W_layer
W1,89600,W_layer
dry_air,12800,environment_mode
w1_annular_gp_randomised_four,64000,environment_mode
w1_annular_gp_randomised_single,25600,environment_mode
solved,102400,lqr_synthesis_status
active_timing_aware_w01,102400,controller_design_role
history_backed_fifo,102400,timing_state_source
True,102400,active_timing_aware_controller_used
False,102400,baseline_controller_active
accepted,36159,outcome_class
failed,3,outcome_class
weak,66238,outcome_class
continuation_valid,96115,boundary_use_class
episode_terminal_useful,6282,boundary_use_class
hard_failure,3,boundary_use_class
