chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
109,complete,87200,88000,800,w01_primitive_rows/c00109.csv.gz,chunk_manifests/w01_primitive_rows/c00109.json,2174559,11a408b0e034061faf296dad8b602636f8fee31047b35433435621b52db3c5d3,93.36066699028015
110,complete,88000,88800,800,w01_primitive_rows/c00110.csv.gz,chunk_manifests/w01_primitive_rows/c00110.json,2019534,52034e852f7817088034996fe795dc23f4c37fea9a451034f4ffa6c9c15e0c88,98.65142798423767
111,complete,88800,89600,800,w01_primitive_rows/c00111.csv.gz,chunk_manifests/w01_primitive_rows/c00111.json,2173344,33e73dad10d0b635f81a05380a090b672598ba0c125ff513e83d12524b9ae639,101.70985007286072
112,complete,89600,90400,800,w01_primitive_rows/c00112.csv.gz,chunk_manifests/w01_primitive_rows/c00112.json,2090125,753e3ac9f1fd9741be42753e31c44508ff9f05f6740a30390e70034b7b5370ef,103.62611126899719
113,complete,90400,91200,800,w01_primitive_rows/c00113.csv.gz,chunk_manifests/w01_primitive_rows/c00113.json,2108294,c7970c69e448dfc8fbfbc78a3f066d2534118f3f0ecfd6adb926c9031dd7057e,108.85911250114441
114,complete,91200,92000,800,w01_primitive_rows/c00114.csv.gz,chunk_manifests/w01_primitive_rows/c00114.json,2154670,713f4b2118fedd494cef91c1f73fd415af297a46b1b600ab49a1a04c0ca5457f,104.74044799804688
115,complete,92000,92800,800,w01_primitive_rows/c00115.csv.gz,chunk_manifests/w01_primitive_rows/c00115.json,2018756,710a26b5b888201bcc07cb557caf0bea1bee16a74ab08477712b5e64ef666d43,84.88710713386536
116,complete,92800,93600,800,w01_primitive_rows/c00116.csv.gz,chunk_manifests/w01_primitive_rows/c00116.json,2128340,e877588ba1236085966e80e0ff5be1b16a6283bdaadb1dcb3f3d884ecc13fdb7,78.0437240600586
117,complete,93600,94400,800,w01_primitive_rows/c00117.csv.gz,chunk_manifests/w01_primitive_rows/c00117.json,2092605,45c6a4a98fa3560ee56079ec07018709ecd103d3a6d8d00e13f9ece114dcc634,79.74937319755554
118,complete,94400,95200,800,w01_primitive_rows/c00118.csv.gz,chunk_manifests/w01_primitive_rows/c00118.json,2074946,0aba7d77a0307c367fe1968478d79b3f0978e027ed0b524194011d37232bd3f0,84.75067257881165
119,complete,95200,96000,800,w01_primitive_rows/c00119.csv.gz,chunk_manifests/w01_primitive_rows/c00119.json,2165951,a98582862b2c48353274baae56a115ab836166f635e13f0857e019b1d56aa700,85.91198706626892
120,complete,96000,96800,800,w01_primitive_rows/c00120.csv.gz,chunk_manifests/w01_primitive_rows/c00120.json,2031099,70e911191f1648549499214ab2bf6645e43bb230ebad908598937106f5ba17ca,91.57595586776733
121,complete,96800,97600,800,w01_primitive_rows/c00121.csv.gz,chunk_manifests/w01_primitive_rows/c00121.json,2164470,7dfffa23743f70fba68895ad0d3abc578754fbb6a7cad687e29cf5c37a62f8fb,92.24190616607666
122,complete,97600,98400,800,w01_primitive_rows/c00122.csv.gz,chunk_manifests/w01_primitive_rows/c00122.json,2132000,662b2836cc0ef5463e6f495fbf6f75ba74b4ff44be55e035bd39a8e19a39fc10,90.22177624702454
123,complete,98400,99200,800,w01_primitive_rows/c00123.csv.gz,chunk_manifests/w01_primitive_rows/c00123.json,2058823,185caece7eefda8865c4c67d717b5d8b8bd7b22ee3e2ce3135dd3cd1ed86b077,96.11147403717041
124,complete,99200,100000,800,w01_primitive_rows/c00124.csv.gz,chunk_manifests/w01_primitive_rows/c00124.json,2154833,9060c17787aa151f298db29c966570c45607dfa835db0c86575630c5b8b7c9c1,91.06413650512695
125,complete,100000,100800,800,w01_primitive_rows/c00125.csv.gz,chunk_manifests/w01_primitive_rows/c00125.json,2057408,3792446590045672c1563fa5faa2b113dfa615a32f05b71b299ee0f4b4d885b4,87.41248106956482
126,complete,100800,101600,800,w01_primitive_rows/c00126.csv.gz,chunk_manifests/w01_primitive_rows/c00126.json,2141306,e5dac5ee18e33fe5a180004618952cc7d4d5eed11dbef384468ed0e8a3467326,78.90594053268433
127,complete,101600,102400,800,w01_primitive_rows/c00127.csv.gz,chunk_manifests/w01_primitive_rows/c00127.json,2180223,704e9339aaa7d6fecbcf378989fa5f680a1a774a136cb3d0d62077c516daceaa,76.60757064819336
