iteration,stage,objective_mode,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,roll_moment_bias_coeff,yaw_moment_bias_coeff,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_final_phi_mae_deg,train_final_theta_mae_deg,train_final_psi_mae_deg,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s,train_final_phi_mean_deg,train_final_theta_mean_deg,train_final_psi_mean_deg
0,baseline,combined,baseline,3,5,0.31,0,0,0,0,0,64,24.13518304,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
1,longitudinal,longitudinal,cd0_strip_scale,3,5,0.31,0,0,0,0,0,64,13.77131841,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
2,longitudinal,longitudinal,drag_area_fuse_scale,3,5,0.31,0,0,0,0,0,64,13.77131841,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
3,longitudinal,longitudinal,efficiency_strip_scale,3,5,1,0,0,0,0,0,64,12.45577406,0.2264052829,0.5371313304,0.1467876388,0.1389701777,25.36860218,39.18191671,37.28983053,0.05640153646,-0.4985390877,-0.04898316769,-0.04341184092,-23.9214381,-39.11880175,-36.92482714
4,longitudinal,longitudinal,delta_e_trim_rad,3,5,1,0,0,0,-0.06,0,64,11.04003296,0.3643876766,0.5698627388,0.1521816675,0.1438128802,23.34798677,30.06276242,35.81639942,-0.173395298,-0.525445953,-0.02646899071,-0.02254987008,-22.24816501,-28.72677284,-35.45551498
5,lateral_aero_bias_pair,lateral,roll_yaw_moment_bias_coeff,3,5,1,-0.02,0,0,-0.06,0,64,4.51948461,0.3597503024,0.4115733117,0.1747848162,0.1677185094,15.46132093,35.8531862,16.31364155,-0.151676757,0.2145711319,-0.0334434536,-0.02734495006,2.197863823,-35.8531862,-11.05028505
6,lateral_aero_bias,lateral,roll_moment_bias_coeff,3,5,1,-0.02,0,0,-0.06,0,64,4.51948461,0.3597503024,0.4115733117,0.1747848162,0.1677185094,15.46132093,35.8531862,16.31364155,-0.151676757,0.2145711319,-0.0334434536,-0.02734495006,2.197863823,-35.8531862,-11.05028505
7,lateral_aero_bias,lateral,yaw_moment_bias_coeff,3,5,1,-0.02,0,0,-0.06,0,64,4.51948461,0.3597503024,0.4115733117,0.1747848162,0.1677185094,15.46132093,35.8531862,16.31364155,-0.151676757,0.2145711319,-0.0334434536,-0.02734495006,2.197863823,-35.8531862,-11.05028505
8,lateral_surface_trim_diagnostic_pair,lateral,delta_a_delta_r_lateral_trim_rad,3,5,1,-0.02,0,0.12,-0.06,0.18,64,2.903523787,0.2880113411,0.3579531783,0.1516616038,0.1461620374,15.74768971,37.36730733,8.061121271,-0.05570228703,0.03832457982,-0.009826768222,-0.007720394124,2.497567208,-37.36730733,0.5453159949
9,lateral_surface_trim_diagnostic,lateral,delta_a_trim_rad,3,5,1,-0.02,0,0.12,-0.06,0.18,64,2.903523787,0.2880113411,0.3579531783,0.1516616038,0.1461620374,15.74768971,37.36730733,8.061121271,-0.05570228703,0.03832457982,-0.009826768222,-0.007720394124,2.497567208,-37.36730733,0.5453159949
