surface_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg
0,False,23.78862754,0.3211123282,0.969530952,0.1654763083,0.1392068741,24.49958944,18.9796916,29.66472455
0.25,True,20.62037163,0.3164341013,0.5871895494,0.1208681274,0.09947170973,17.15081228,25.27795944,43.14906163
0.5,False,23.54940742,0.3581794942,0.4086354803,0.1950212134,0.1638487864,13.62707084,13.80820387,78.71636534
0.75,False,53.30301251,0.5036932109,0.4653452111,0.9133484486,0.7770791889,17.0546295,37.53828583,55.08678574
1,False,40.70293551,0.3974503879,0.4111660638,0.7556621162,0.6471713384,18.93462874,41.91413447,49.16981594
