start_state_family,environment_mode,pair_count,mean_dy_left,mean_dy_right,mean_dpsi_left,mean_dpsi_right,mean_dphi_left,mean_dphi_right,mean_aileron_left,mean_aileron_right,mean_rudder_left,mean_rudder_right,median_turn_separation
inflight_boundary_near,dry_air,320,0.0006692642820814823,0.0006560154596458282,0.04302918245137252,0.041761223469304484,0.05380603983051698,0.05588951342652519,-0.2089334341999857,0.29975231498078087,0.01879007079175459,0.08170348611907163,0.00248379826042243
inflight_boundary_near,w1_annular_gp_randomised_four,320,0.010520130491432135,0.010551879311952183,-0.15468498261660243,-0.14429150941367258,-1.030948515363973,-0.9841663442359646,-0.2228006325781576,0.31290040890256526,-0.003656407438412868,0.05730950214376109,0.006917852937288051
inflight_boundary_near,w1_annular_gp_randomised_single,320,0.003704019341211534,0.003857587446255014,0.06778567362115191,0.07029425845450946,0.0260183705730238,0.03498405309437769,-0.2653703735627299,0.25771026992395074,-0.02770349505760142,0.05099758440669303,0.002631213835229987
inflight_lift_region,dry_air,480,0.0014998078646824612,0.001500651648310194,0.007949788660046904,0.01211187508582402,-0.02284752013389011,0.006361052406309094,-0.1560317101039002,0.2335272672586282,-0.013152814221375965,0.06617216820098447,0.0064577743592318815
inflight_lift_region,w1_annular_gp_randomised_four,480,0.0004132011824941511,0.00041962638694935085,-0.07065330911554989,-0.02732155982471485,0.23794188855440776,0.23003692512526613,-0.16710751684337807,0.21673876487018984,-0.021304517483422474,0.05407093117324784,0.032870257962852915
inflight_lift_region,w1_annular_gp_randomised_single,480,-0.004558393806582928,-0.004500122907903818,0.019737397079204026,0.025353897838847183,-0.5989941915089838,-0.4874543473488101,-0.15736307934559812,0.22499083702368444,-0.024142749703441546,0.07056651921315844,0.02536135467035087
inflight_nominal,dry_air,800,0.0009041087718342172,0.000903238174097657,-0.007909073043621446,-0.004463373115115549,0.02913132598567706,0.06195967112129388,-0.16298441633510927,0.23321293963743886,-0.024584410667270015,0.08121517167436634,0.0066103581780675835
inflight_nominal,w1_annular_gp_randomised_four,800,-0.0009510289580619903,-0.000954600803543039,0.07377759737949291,0.07802978079435961,-0.299226718524144,-0.1846160636717456,-0.1656824860264717,0.2324531825138822,-0.025250478643973343,0.07134551921842479,0.03767171822061274
inflight_nominal,w1_annular_gp_randomised_single,800,-0.005222938383604025,-0.005235409428650515,0.009400919464035384,0.004027579453871441,0.31682013473993914,0.2729666223541479,-0.16387462598664526,0.23287881894352552,-0.0013463265181126438,0.11254429928724363,0.01302819393763394
inflight_recovery_edge,dry_air,320,-0.002327952268107507,-0.002329876732240236,-0.04768399304568751,-0.05519595561407988,-0.09377318401374604,-0.10151187014628671,-0.16483240686813408,0.2558973180342771,-0.022132766181417345,0.14272097456163924,0.005782872282600369
inflight_recovery_edge,w1_annular_gp_randomised_four,320,0.0029954304029644026,0.0021793425909029866,0.133910358583827,0.08758456915159933,-0.16198629355365737,-0.05271344557024904,-0.20726349486869133,0.22611643086775302,-0.08003860206398497,0.11997054895173087,0.02573221628351406
inflight_recovery_edge,w1_annular_gp_randomised_single,320,0.001049204220137361,0.0008432716923922947,-0.02860677439786079,-0.06483458879553888,-0.15859380244210425,-0.12036600942538014,-0.14877062350095735,0.26536847098933514,-0.03829785128578346,0.1305573182986989,0.01098079112163428
launch_gate,dry_air,1280,0.0017851787209201028,0.0017878896983659046,-0.012010309988825626,-0.01437856873058917,0.01025132299278469,0.021259214347472133,-0.14057085227162736,0.2007335708196198,-0.022191244994770393,0.062258790474491586,0.006067216977528568
launch_gate,w1_annular_gp_randomised_four,1280,-2.548173094705196e-06,4.985319076093037e-06,-0.020580567799597715,-0.02567311443253991,0.040142137799385816,0.059451710887566823,-0.13926896838583888,0.20094573621977202,-0.016567861994269427,0.08371936961919041,0.007726981369490929
launch_gate,w1_annular_gp_randomised_single,1280,-0.005337475058797258,-0.00532650977283912,-0.024278477502415668,-0.021255257830044748,0.029437383851489158,0.034103322693106744,-0.12430234226191697,0.20989108496335787,0.02231933080922875,0.08557095907314224,0.006264736208626864
