paired_start_key,start_state_family,environment_mode,W_layer,candidate_index,local_lqr_speed_bin_id,rollout_id_left,rollout_id_right,outcome_class_left,outcome_class_right,transition_entry_class_left,transition_exit_class_left,transition_exit_class_right,transition_chain_compatible_left,transition_chain_compatible_right,dx_left,dy_left,dz_left,dphi_deg_left,dtheta_deg_left,dpsi_deg_left,mean_aileron_cmd_left,mean_rudder_cmd_left,saturation_fraction_left,dx_right,dy_right,dz_right,dphi_deg_right,dtheta_deg_right,dpsi_deg_right,mean_aileron_cmd_right,mean_rudder_cmd_right,saturation_fraction_right,turn_separation_score
paired_role_start_0008656_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,28,speed_bin_6p0_m_s,w01_037_0043700,w01_037_0043701,weak,weak,inflight_stable,boundary_near,boundary_near,True,True,0.6089638538312743,0.09654256395721927,-0.035325228498581884,10.892227794943599,-0.6091015306394365,0.38834377355967686,0.13469183025718168,-0.13120306148550073,0.2,0.5919815855895179,0.09850681842804865,-0.09939225448212885,-3.456153975412358,3.943912137074545,-1.393722375526838,0.19476889657740684,-0.008696436466838644,1.0,0.3245732128596788
paired_role_start_0006476_inflight_lift_region,inflight_lift_region,w1_annular_gp_randomised_single,W1,21,speed_bin_7p0_m_s,w01_037_0058884,w01_037_0058885,accepted,accepted,inflight_stable,boundary_near,boundary_near,True,True,0.5635561568167651,-0.36297861826829125,0.1399812613089535,-2.5439506593231713,4.460214017370327,2.785208185429093,-0.08497409225505492,0.3348321007798152,0.4,0.5589914441128636,-0.3751272352588466,0.10367848539895408,-14.195543051280271,-3.732250297442925,-0.7198853570554518,0.3480373462363659,0.5873321131003427,0.6,0.3152823356793883
paired_role_start_0001454_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,4,speed_bin_7p0_m_s,w01_037_0041588,w01_037_0041589,weak,accepted,inflight_stable,boundary_near,boundary_near,True,True,0.6831385836367336,0.18051590185288102,-0.05966848483232212,-1.158286070408402,-1.8443995266787603,0.9387987418875826,-0.015395506021049924,-0.2374466646518206,0.0,0.6937344164474188,0.18369742688415536,0.02789970035298217,12.392661815102766,1.004202044192583,1.7317918599981437,-0.038954404169106616,-0.17531479613305553,0.0,0.29006034510370887
paired_role_start_0005940_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,19,speed_bin_7p0_m_s,w01_037_0031196,w01_037_0031197,weak,accepted,inflight_stable,boundary_near,boundary_near,True,True,0.6419156018110845,0.23925574491975832,0.015825486183044024,-0.7252923794439643,3.735140107975213,-0.5053380320859264,-0.0918932653692398,-0.2740064413814059,0.4,0.6468483333197268,0.2261092434187888,0.054637524209447674,-10.482208644864166,7.163604683323722,-3.6103843035856578,0.27929162317758877,0.041206045813771665,0.4,0.27038575223936817
paired_role_start_0004791_inflight_recovery_edge,inflight_recovery_edge,w1_annular_gp_randomised_four,W1,15,speed_bin_4p0_m_s,w01_037_0070268,w01_037_0070269,accepted,accepted,recoverable_degraded,inflight_stable,inflight_stable,True,True,0.39024396182269916,0.052903393965924916,0.04650395912633942,-0.560316463502456,2.279688517651489,0.5415537930986967,-0.8333333333333334,-0.8333333333333334,1.2,0.3918785330647032,0.04910209823517331,0.03957421418075224,2.398577322389044,-0.8360303851596446,-1.4626339781830542,-0.8333333333333334,0.34982594342744705,1.2,0.10306292687421663
paired_role_start_0009585_inflight_boundary_near,inflight_boundary_near,w1_annular_gp_randomised_four,W1,31,speed_bin_6p0_m_s,w01_037_0066044,w01_037_0066045,weak,weak,boundary_near,safe_terminal,safe_terminal,True,True,0.430520523200685,-0.16203328175723125,-0.0019581547715524783,-4.297673204076521,1.1392922288168728,-0.8422170935887716,-0.29886256452820326,0.7628641996516626,1.0,0.4285554975448891,-0.16305133044847386,-0.012622770005595862,-0.5002803090369666,3.184979687131985,-0.10445999942726998,0.5107657534356388,0.8,1.0,0.09172104847526372
paired_role_start_0004250_inflight_nominal,inflight_nominal,dry_air,W0,14,speed_bin_6p5_m_s,w01_037_0038740,w01_037_0038741,weak,weak,inflight_stable,boundary_near,boundary_near,True,True,0.6436640927966322,-0.08672624960311337,-0.11566168448803915,3.3940824309400845,-1.8672084212812514,-0.9289575753916512,-0.1619643943161098,-0.11956001913949336,0.4,0.6432737423805508,-0.08652589272305145,-0.11624943279335165,5.104949532994732,-2.0612787285209127,-1.1855309267609775,0.024599147621559684,0.08872687756473867,0.0,0.0395491659485414
paired_role_start_0005230_launch_gate,launch_gate,w1_annular_gp_randomised_single,W1,17,speed_bin_6p5_m_s,w01_037_0023460,w01_037_0023461,accepted,accepted,launch_gate,post_launch_degraded,post_launch_degraded,True,True,0.4524129030334778,0.0965712433139867,0.3716745768457419,0.3258289804854054,0.24689435440075358,0.48192427474305616,-0.6824558428374478,-0.21998110455792616,1.0,0.45304481102757177,0.09636411668710165,0.3711290059767314,-0.7068249199347935,-0.5892001343852732,-0.13833216484841357,-0.14323472369107088,-0.03403034122269689,0.6,0.03326533342711842
paired_role_start_0001157_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,3,speed_bin_6p0_m_s,w01_037_0043868,w01_037_0043869,weak,weak,inflight_stable,boundary_near,boundary_near,True,True,0.6082513141802419,0.10369605398301651,-0.11750830154445069,-2.9871294540017836,-2.936504853429632,0.03878192032249668,0.06999798582338489,-0.17178118389860733,0.8,0.6199785960429862,0.10834156431095066,-0.06495360669476002,8.799102555902616,1.1347945957052958,1.0198691011744359,0.09136419175641684,-0.07408412374124741,0.4,0.2599918941430609
paired_role_start_0003549_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,11,speed_bin_6p0_m_s,w01_037_0037916,w01_037_0037917,weak,weak,inflight_stable,boundary_near,boundary_near,True,True,0.5791971079253355,-0.01784050728594644,-0.043343998950891915,-3.989155613656483,2.1697017787625925,-1.4933093525922048,-0.008199011175048605,0.16196422041466607,0.0,0.5809365079865989,-0.024167561879084642,0.0003168929255978892,-15.466700591836842,4.566884750655871,-2.333413110861438,0.7012671915404666,-0.2414125261262833,0.8,0.25268002932213
paired_role_start_0005374_inflight_lift_region,inflight_lift_region,w1_annular_gp_randomised_four,W1,17,speed_bin_7p0_m_s,w01_037_0057260,w01_037_0057261,accepted,weak,inflight_stable,boundary_near,boundary_near,True,True,0.6686520971010022,0.11326035246636246,0.039759965863281455,9.215305393990658,-4.998711096475925,1.0458691006282381,-0.19388891022919452,-0.16744206205850934,0.0,0.6680187119898666,0.11099432113403673,0.012123517817509644,-2.4001209200192894,-4.5291210766600996,0.6135109208629218,-0.02954895280705096,-0.08367397331370718,0.2,0.243221721207831
paired_role_start_0001156_inflight_nominal,inflight_nominal,w1_annular_gp_randomised_four,W1,3,speed_bin_5p0_m_s,w01_037_0043100,w01_037_0043101,accepted,weak,inflight_stable,boundary_near,boundary_near,True,True,0.498347774071485,0.0838549177610517,0.03778562024138743,13.284963584004636,-2.515330883959889,0.8457830563230208,-0.12860409251524754,-0.29039376045321996,0.8,0.4967340445579782,0.08813966489679048,-0.021038854986471178,2.528306490588728,-3.2704128048053724,1.6958626384210684,0.053582579466772175,-0.14004838954738574,0.8,0.23641948064601792
