time_s,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.0,1.25,2.2,1.8,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0
0.02,1.37947510752592,2.2,1.7883263540797163,-3.6327681549495966e-19,-0.01710368393417665,-3.390610163426799e-21,6.482794440528865,-1.396981454905409e-20,0.4731902558085031,-5.344114650432531e-17,0.008616089836055302,-3.654945956704261e-19,0.0,-0.008495932435417096,0.0
0.04,1.5089502685935345,2.2,1.7766381836129654,-1.2378087941894463e-18,-0.016763096566069613,2.2008188651999566e-20,6.482661014177687,-4.470602676787739e-20,0.4761704941449035,-2.4416337620488665e-17,0.02636276198239229,2.3757417223370016e-18,0.0,-0.0060878775115926,0.0
0.06,1.6384261411720005,2.2,1.7649410528272542,-1.1907615665294742e-18,-0.01603856744198338,8.262269774957415e-20,6.482370330882075,-7.901251904241758e-19,0.4808422124114671,-1.0458544520144818e-17,0.046156765654438894,2.7116840995969785e-18,0.0,-0.004362352558461158,0.0
0.08,1.7679034658248407,2.2,1.7532589049600074,-1.2927436311752004e-18,-0.014926337112919151,1.4226565768026387e-19,6.481892032761789,-1.4255728176567755e-18,0.48648319194022627,1.10521474962114e-17,0.06476146173794554,3.1970495373844893e-18,0.0,-0.003125903865193618,0.0
0.1,1.8973799508688447,2.1999977791996916,1.741537437002874,0.00022445465635074845,-0.012078347422126332,3.45085123656332e-05,6.480280212132435,-0.0004084462868877115,0.513269225420978,0.03338549846837249,0.28292378846553395,0.005009261096872286,0.01088316933779592,0.07611890972378971,0.013851306429922081
0.12,2.0268448519792366,2.19998398971707,1.7295649631437982,0.0014666753116176089,-0.0023309923760515255,0.0002488144953139169,6.474232999831551,-0.0018765943753964853,0.5890863471668097,0.09318461660788312,0.7130312907533443,0.016340989484624212,0.018681654362255648,0.13290287337062806,0.023776651006507186
0.14,2.156295076174801,2.1999514520932584,1.7175092609253786,0.003926813593932173,0.016671196335710847,0.0007633713750263859,6.46135207485488,-0.004276982521165651,0.704261538094626,0.1515195895232406,1.1882973170188347,0.030180720534238578,0.024269766316511003,0.17359220534596032,0.030888793493741275
0.16,2.285730741253566,2.199902901166415,1.7059609554041744,0.007484086598561046,0.044937091623707626,0.0016679477982344034,6.439859959719832,-0.007122262552653793,0.8416266014830599,0.199558775612692,1.630438527061452,0.04391052341318927,0.028274004975090066,0.2027487071163501,0.03598509724102372
0.18,2.415124318638184,2.1998540817745953,1.695758590124028,0.011941623144164542,0.08140406418837928,0.0030265243077577404,6.4084973978883575,-0.009816114361919256,0.9857759013021937,0.23562192504383558,2.0050752726940626,0.05582076774389047,0.031143297388362,0.22364120041169627,0.039636923948824364
0.2,2.5443840697314966,2.1998346022950512,1.6878142734374233,0.017109601488319307,0.12455713032951214,0.004877116545597981,6.3663913702087065,-0.011817312746578393,1.1263274054693488,0.2602296897047698,2.2985850936800087,0.06503749160248494,0.03319932842318083,0.23861200450656112,0.04225369072041196
0.22,2.673328136268904,2.199885700834944,1.682954495403412,0.02281972453335967,0.17271486182245488,0.00723438092936525,6.312627293093229,-0.012735392551039813,1.2588896664765366,0.27393898112133075,2.5066013651898764,0.07140197427095889,0.03467260580564103,0.249339540568365,0.04412877102536131
0.24,2.8016750958366794,2.200034716431884,1.6817795523530186,0.02906793520885361,0.22363073295047417,0.010222842091627304,6.24546194616621,-0.01599898555752227,1.381967601192788,0.29142931142663275,2.5605195006055754,0.094941416006297,0.06293622636914678,0.22002372867484488,0.12858022424727772
0.26,2.9290459510418034,2.2002357945277176,1.6844342194009516,0.03574057120572896,0.2745060818673418,0.014299890292738433,6.159977770460927,-0.026396188526108505,1.5044897409409173,0.2655554042696996,2.539153847586876,0.13617213014557406,0.08318891332643256,0.19901707951451897,0.18909507730187117
0.28,3.055022909829693,2.200443885607668,1.6905447630474684,0.0420048345684671,0.32528714155910055,0.019664146787310564,6.050519708896192,-0.04404737480786271,1.639495093355813,0.19784135058081184,2.562120609286723,0.17689608624087202,0.09770125536938477,0.18396447546084924,0.23245782951640237
0.3,3.1791983546468585,2.200641846640793,1.6996154078338064,0.047496225093067695,0.37658260576007396,0.02623864364481708,5.915522255257524,-0.06721480737409219,1.7842538496339369,0.12984478489058265,2.5817646227264994,0.20819608442957274,0.108100274127529,0.17317832451086884,0.26353000741498356
0.32,3.301175991646934,2.2008374780943187,1.7113009698923425,0.0528694075889024,0.4275702869454859,0.033833245167692524,5.758901702561521,-0.09267485127525021,1.9221189127847413,0.1252813094159199,2.5330852399341532,0.2341050134023215,0.11555183437963545,0.1654493593496946,0.2857952048495122
0.34,3.4205728558386475,2.2010567649905175,1.7253830664117247,0.059923015691247465,0.4768171550948008,0.04245575214447714,5.586212931500787,-0.11630367361387911,2.039942399114113,0.2167020459549122,2.4188847302778638,0.2647247491590289,0.1208913526055533,0.15991106281187786,0.3017496390194188
0.36,3.5370370786005663,2.2013359219919955,1.741678251547728,0.07038836121382493,0.5232942996759211,0.052344100013117956,5.40318173444087,-0.13489785400150298,2.1307212142122296,0.357430434623687,2.2731455560200877,0.30012115458008526,0.12471745800097693,0.15594252007670364,0.3131820087718261
0.38,3.6502622985470734,2.2017200295043513,1.7600260147858007,0.08478863053119687,0.5666599856871775,0.06371211333616954,5.214604675490955,-0.14713039547101336,2.193251659655917,0.4881621059153114,2.127043997759893,0.33340650734070915,0.1274591065687882,0.15309880606945173,0.3213740309246571
0.4,3.760000838540532,2.2022650877478767,1.7802546167519848,0.10276691763421018,0.6070108323405662,0.07664475517380259,5.023246237393871,-0.15285704599947283,2.231456293813885,0.5873055327988707,1.9934891896742362,0.360836302425395,0.1294236726464431,0.15106110359409067,0.32724413733355295
