time_s,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.0,1.25,2.2,1.8,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0
0.02,1.37947510752592,2.2,1.7883263540797163,-3.6327681549495966e-19,-0.01710368393417665,-3.390610163426799e-21,6.482794440528865,-1.396981454905409e-20,0.4731902558085031,-5.344114650432531e-17,0.008616089836055302,-3.654945956704261e-19,0.0,-0.008495932435417096,0.0
0.04,1.5089502685935345,2.2,1.7766381836129654,-1.2378087941894463e-18,-0.016763096566069613,2.2008188651999566e-20,6.482661014177687,-4.470602676787739e-20,0.4761704941449035,-2.4416337620488665e-17,0.02636276198239229,2.3757417223370016e-18,0.0,-0.0060878775115926,0.0
0.06,1.6384261411720005,2.2,1.7649410528272542,-1.1907615665294742e-18,-0.01603856744198338,8.262269774957415e-20,6.482370330882075,-7.901251904241758e-19,0.4808422124114671,-1.0458544520144818e-17,0.046156765654438894,2.7116840995969785e-18,0.0,-0.004362352558461158,0.0
0.08,1.7679034658248407,2.2,1.7532589049600074,-1.2927436311752004e-18,-0.014926337112919151,1.4226565768026387e-19,6.481892032761789,-1.4255728176567755e-18,0.48648319194022627,1.10521474962114e-17,0.06476146173794554,3.1970495373844893e-18,0.0,-0.003125903865193618,0.0
0.1,1.8973824052590984,2.2,1.741627153862974,-1.2638444551433492e-18,-0.013465245553618017,2.0852189926567888e-19,6.481195760890306,-2.063543259657675e-18,0.492437727533001,1.7607234951850503e-17,0.08091556024412475,3.1017352457531607e-18,0.0,-0.0022399095083408998,0.0
0.12,2.0268602171983265,2.1999981168939664,1.730010239076344,0.00019075676704172144,-0.010530502687745157,2.9303691062857987e-05,6.479490829908924,-0.0003463577271861018,0.5159208968505165,0.028367545728931267,0.2658920671864994,0.004256212757556478,0.009250693937126526,0.0649999583096984,0.011773610465433761
0.14,2.1563281571619957,2.199986419723512,1.718235166525392,0.0012467801357947286,-0.0017457813979900021,0.00021069324925831285,6.474091200471733,-0.0015981885494067134,0.5807134429417811,0.07922401698010267,0.6305558096458416,0.013893241269235957,0.015879406207917304,0.11318161256408567,0.020210153355531113
0.16,2.2857839344452624,2.1999588253377684,1.7064487015928105,0.0033390854962782653,0.014884211989918081,0.0006432166891676256,6.4631250461061365,-0.0036807889002140517,0.6786737129588533,0.12895324079699808,1.0333470532238787,0.025733964399573397,0.020629301369034347,0.14770684115274893,0.02625547446968008
0.18,2.4152263485152528,2.199917454262544,1.6951557308938636,0.006365920969517011,0.03936616789648801,0.001397426115432072,6.445238857004649,-0.006233278716969265,0.7952624980262911,0.17016153315055293,1.408231696293683,0.03765799147012294,0.024032904228826552,0.17244636966304108,0.03058733265487016
0.2,2.544630876611919,2.19987489150539,1.6850735192976753,0.010161628328299753,0.0708144365988915,0.0025217062628441356,6.419464391169822,-0.00880031114567781,0.917365629346123,0.201636021796935,1.727400664414797,0.048300338645351416,0.026471802780107696,0.19017381987643459,0.03369138535650071
0.22,2.6739220437687554,2.1998548278496854,1.6769913065192557,0.014570372778534787,0.10800020396920673,0.004044052965768619,6.385137677743151,-0.01095034679240419,1.035871767672575,0.2242205983983587,1.9820459698069124,0.05694683845853705,0.028219429159703702,0.20287666871761623,0.03591563711235017
0.24,2.8029536760336375,2.1998908228255556,1.6716525341771722,0.01946527684805359,0.14962495855096905,0.005976141191520956,6.341679764248878,-0.012336789145121993,1.14612616667982,0.23921374666873016,2.1728768968756365,0.06342495578330186,0.029471714934794873,0.21197907017634363,0.037509455371557116
0.26,2.931503450906075,2.2000232417607695,1.6696617707228831,0.024746511676066146,0.19445755669621892,0.008319217220215813,6.288311382880424,-0.012723195205195043,1.2475647020925682,0.24767506406306736,2.305254203653617,0.06795691847540776,0.030369057570958452,0.21850152142737617,0.03865152781758349
0.28,3.0592778992607474,2.200278016948164,1.6714160660515625,0.03048514566774572,0.2410402256636962,0.011184182673236674,6.2233347384885676,-0.015026391726505956,1.341225069855618,0.26558109480076225,2.3407643448284645,0.08801639594278649,0.054138795650490776,0.19172291440363995,0.11011155836600647
0.3,3.1859205020143415,2.200618632872523,1.6769646862480165,0.036784842994100404,0.28775013317050824,0.015010023341493327,6.1425789707509635,-0.02324774938840707,1.436548121188708,0.2560467017438745,2.344377452644039,0.12531214395608264,0.07117132916118442,0.172534334370685,0.1613172284040481
0.32,3.31106374058349,2.201007196036927,1.6859551466203586,0.04294358644310951,0.3348872548958132,0.020036560586198647,6.0410794276583255,-0.03790487849153083,1.5470557819032869,0.19843968320773908,2.3905481001574542,0.16372531317099492,0.08337622585891914,0.1587844928141488,0.19800935719159554
0.34,3.4343584733648753,2.201423256302567,1.6978934576033968,0.048274615142606905,0.38296391060663204,0.026233168049495693,5.916414581639897,-0.058321291667288826,1.6733427802325531,0.11648369497578247,2.4301577657466193,0.19446901293976918,0.09212181284448728,0.14893185429138395,0.2243016079123021
0.36,3.55546693987139,2.2018620304551804,1.7123619405467212,0.05283756957113149,0.4311009477213664,0.033397128057055095,5.770832095250248,-0.08257165067642552,1.8011667108823384,0.06703209862182946,2.397113769925823,0.21852565366076243,0.09838858376573029,0.14187181032934104,0.24314168263140917
0.38,3.6740585959458527,2.2023328274841036,1.729061782263443,0.05793196966103897,0.4777619683886115,0.0414288634231087,5.609189050631513,-0.10742870418588414,1.9152149108807146,0.10516944163038183,2.2919478775519893,0.24524685532119203,0.10287912486310247,0.136812838498515,0.25664179790081054
0.4,3.789824433516054,2.2028552617702815,1.7477576829426047,0.0654260049262284,0.5217771565455532,0.05048832568781055,5.436739820412672,-0.1296037046185924,2.006546693726269,0.21697139177839725,2.1465298592670283,0.2789144967798142,0.10609688399306103,0.1331877624901093,0.2663154916098003
