primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_inflight_only_0106c4725127,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2947071036729287,0.02197746255447444,0.1
primvar_energy_retaining_bank_inflight_only_0106c4725127,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2930481241953027,-0.0012932800262131833,0.04
primvar_energy_retaining_bank_inflight_only_256086e191e6,energy_retaining_bank,w3_randomised_four,20,19,0,1,0.2961175635007871,0.018032050364621716,0.1
primvar_energy_retaining_bank_inflight_only_256086e191e6,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2939050241684038,-0.003692383416234295,0.04
primvar_energy_retaining_bank_inflight_only_392e92424db6,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2964624318418929,0.023280235400761275,0.1
primvar_energy_retaining_bank_inflight_only_392e92424db6,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2932813477453626,-0.0015718511733534752,0.05
primvar_energy_retaining_bank_inflight_only_429b2f7b1a4a,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2955484964299018,0.01795124089397207,0.1
primvar_energy_retaining_bank_inflight_only_429b2f7b1a4a,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2938237069344946,-0.002884943285536644,0.04
primvar_energy_retaining_bank_inflight_only_46fcbaa8f289,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2960911433186037,0.02226868445237635,0.1
primvar_energy_retaining_bank_inflight_only_46fcbaa8f289,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2932268619578799,-0.0034715413335499948,0.045
primvar_energy_retaining_bank_inflight_only_543ee25b1e4b,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2958034968061387,0.020168594177409536,0.1
primvar_energy_retaining_bank_inflight_only_543ee25b1e4b,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2943099527413215,-0.002514879434046046,0.04
primvar_energy_retaining_bank_inflight_only_54f97a747281,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2954382182395498,0.022860850376670985,0.1
primvar_energy_retaining_bank_inflight_only_54f97a747281,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2936731984248153,-0.006027950100821901,0.05
primvar_energy_retaining_bank_inflight_only_5b0f943fb937,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2959144058496532,0.023993265898321386,0.1
primvar_energy_retaining_bank_inflight_only_5b0f943fb937,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2932129840590853,-0.0034966721378800296,0.035
primvar_energy_retaining_bank_inflight_only_6688a08cb224,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2954173018875909,0.0214233649427441,0.1
primvar_energy_retaining_bank_inflight_only_6688a08cb224,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2937038000399923,-0.0049067359545843904,0.05500000000000001
primvar_energy_retaining_bank_inflight_only_680341b01248,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2955148563839351,0.022399244264684155,0.1
primvar_energy_retaining_bank_inflight_only_680341b01248,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2938160467011217,-0.00391151627575007,0.045
primvar_energy_retaining_bank_inflight_only_69d714e386c8,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2962170512512587,0.020892294544103872,0.1
primvar_energy_retaining_bank_inflight_only_69d714e386c8,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2934328983143679,-0.0014007780506121088,0.05
primvar_energy_retaining_bank_inflight_only_6b5cf7321404,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2948383260572402,0.021567915736522034,0.1
primvar_energy_retaining_bank_inflight_only_6b5cf7321404,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2923975517664079,-0.0032845359268207953,0.05500000000000001
primvar_energy_retaining_bank_inflight_only_707a66ab85c6,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2966278131012334,0.02376215004632333,0.1
primvar_energy_retaining_bank_inflight_only_707a66ab85c6,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2931859585507501,-0.006435252984384135,0.05
primvar_energy_retaining_bank_inflight_only_87c95c06fe83,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2955899626978837,0.02269105333811503,0.1
primvar_energy_retaining_bank_inflight_only_87c95c06fe83,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2939179447970677,-0.003261424718900196,0.035
primvar_energy_retaining_bank_inflight_only_8ab3d2dc425e,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2958532143411787,0.021131786299947664,0.095
primvar_energy_retaining_bank_inflight_only_8ab3d2dc425e,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2937622347245021,-0.0013109275399391144,0.035
primvar_energy_retaining_bank_inflight_only_91e2abf4a922,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2950565576197288,0.022449093571591937,0.1
primvar_energy_retaining_bank_inflight_only_91e2abf4a922,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2928416687609445,-0.004169091242754761,0.04
primvar_energy_retaining_bank_inflight_only_95a7eb02bb8d,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2958041254499557,0.02301139827360344,0.1
primvar_energy_retaining_bank_inflight_only_95a7eb02bb8d,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2938353254988799,-0.0022806691031060297,0.045
primvar_energy_retaining_bank_inflight_only_9ea2ec285e42,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.295965063033857,0.022644650578109056,0.1
primvar_energy_retaining_bank_inflight_only_9ea2ec285e42,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2933046405228721,-0.002596101503057384,0.05500000000000001
primvar_energy_retaining_bank_inflight_only_a65ec3ccdd7e,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2958748145404826,0.0195216486192626,0.1
primvar_energy_retaining_bank_inflight_only_a65ec3ccdd7e,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2927520585846865,-0.004152098433995646,0.05
primvar_energy_retaining_bank_inflight_only_a9d369164679,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2961576182616072,0.02114534887259443,0.1
primvar_energy_retaining_bank_inflight_only_a9d369164679,energy_retaining_bank,w3_randomised_single,20,17,0,3,0.2937164509897805,-0.002907609868957171,0.045
