coverage_axis,value,row_count
outcome_class,accepted,4521
outcome_class,failed,6641
outcome_class,weak,6758
failure_label,model_boundary_only,5606
failure_label,speed_low,633
failure_label,success,4521
failure_label,terminal_recovery_limited,5880
failure_label,xy_boundary_terminal,1280
boundary_use_class,continuation_valid,10127
boundary_use_class,episode_terminal_useful,1152
boundary_use_class,hard_failure,6641
environment_mode,w3_randomised_four,8960
environment_mode,w3_randomised_single,8960
start_state_family,inflight_boundary_near,1280
start_state_family,inflight_lift_region,2304
start_state_family,inflight_nominal,5376
start_state_family,inflight_recovery_edge,1280
start_state_family,launch_gate,7680
timing_state_source,history_backed_fifo,17920
source_evidence_label,,17920
scheduled_active_fan_count,1,11200
scheduled_active_fan_count,2,2240
scheduled_active_fan_count,3,2240
scheduled_active_fan_count,4,2240
