requested_target_deg,request_status,reason,source_evidence,recommended_families,recommended_start_conditions,recommended_wind_fidelities,recommended_updraft_configs,hard_stop_rule,current_coverage_status,current_failure_mode,mission_critical_region_present,safe_15_or_30_alternative_present,plausible_shorter_footprint_entry_envelope,coverage_decision_source
45.0,defer_boundary_only,30_deg_uncovered_region_is_boundary_or_entry_envelope_limited_not_library_growth,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,do_not_escalate_boundary_or_governor_reject_without_mission_critical_growth_row,"uncovered_boundary,uncovered_governor_reject","boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
60.0,defer_boundary_only,30_deg_uncovered_region_is_boundary_or_entry_envelope_limited_not_library_growth,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,do_not_escalate_boundary_or_governor_reject_without_mission_critical_growth_row,"uncovered_boundary,uncovered_governor_reject","boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
90.0,not_requested_boundary_only,targets_above_60_deg_are_not_next_step_without_specific_coverage_evidence,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,not_part_of_run_003_execution,not_evaluated_in_run_002,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
120.0,not_requested_boundary_only,targets_above_60_deg_are_not_next_step_without_specific_coverage_evidence,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,not_part_of_run_003_execution,not_evaluated_in_run_002,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
150.0,not_requested_boundary_only,targets_above_60_deg_are_not_next_step_without_specific_coverage_evidence,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,not_part_of_run_003_execution,not_evaluated_in_run_002,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
180.0,not_requested_boundary_only,targets_above_60_deg_are_not_next_step_without_specific_coverage_evidence,"run_002_coverage_decisions:{'entry_envelope_reject': 15, 'covered_send_to_w3': 5, 'boundary_keep_for_discussion': 5, 'generator_refinement_needed': 4, 'covered_keep': 1}",none,none,none,none,not_part_of_run_003_execution,not_evaluated_in_run_002,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",False,True,False,run_002_coverage_summary
