coverage_region_id,row_count,best_primitive_id,best_family,best_candidate_class,best_selection_status,coverage_status_s002,coverage_decision_s003,library_growth_trigger_s003,reason,needs_refinement,needs_governor_reject,needs_w3,needs_higher_target_screen,best_heading_error_deg,best_path_length_xy_m,best_footprint_m2,best_terminal_speed_m_s,best_energy_residual_m,best_min_true_margin_m,target_heading_deg,source_run_id
target_015|favourable|U1_single_fan|W1|dp1,3,bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1,bank_yaw_energy_retaining,updraft_assisted_commandable,selected_for_w3_stress,covered_by_existing_envelope,covered_send_to_w3,False,covered_in_w1_w2_but_requires_selected_w3_stress_before_claim,False,False,True,False,1.5805691083809617,4.236075307805741,0.8960242886205844,6.814125277312276,0.2545471362195846,0.1,15.0,s002
target_015|favourable|U1_single_fan|W2|dp1,3,bank_yaw_energy_retaining_015_favourable_U1_single_fan_W2_dp1,bank_yaw_energy_retaining,boundary_evidence,needs_seed_refinement,uncovered_needs_refinement,generator_refinement_needed,False,refine_existing_seed_before_higher_target_request,True,False,False,False,3.543935293042008,4.070571915912673,0.7520259301622355,6.114064592242019,-0.0066125200566355,0.1,15.0,s002
target_015|favourable|U4_four_fan|W1|dp1,3,bank_yaw_energy_retaining_015_favourable_U4_four_fan_W1_dp1,bank_yaw_energy_retaining,boundary_evidence,needs_seed_refinement,uncovered_needs_refinement,generator_refinement_needed,False,refine_existing_seed_before_higher_target_request,True,False,False,False,4.027008046097155,4.15394102158602,0.5291036073088761,6.659123048095338,-0.1454482163390977,0.1,15.0,s002
target_015|favourable|U4_four_fan|W2|dp1,3,bank_yaw_energy_retaining_015_favourable_U4_four_fan_W2_dp1,bank_yaw_energy_retaining,boundary_evidence,needs_seed_refinement,uncovered_needs_refinement,generator_refinement_needed,False,refine_existing_seed_before_higher_target_request,True,False,False,False,2.036466196373121,4.093914453382071,0.7532392036515776,6.352293534788379,-0.1094502804729571,0.1,15.0,s002
target_015|favourable|none|W0|dp1,3,bank_yaw_energy_retaining_015_favourable_none_W0_dp1,bank_yaw_energy_retaining,boundary_evidence,needs_seed_refinement,uncovered_needs_refinement,generator_refinement_needed,False,refine_existing_seed_before_higher_target_request,True,False,False,False,4.057954021130437,4.13894628902489,0.525571744550255,6.711391790655523,-0.3572522863779035,0.1,15.0,s002
target_015|mid_arena|U1_single_fan|W1|dp1,3,bank_yaw_energy_retaining_015_mid_arena_U1_single_fan_W1_dp1,bank_yaw_energy_retaining,boundary_evidence,governor_reject_entry_envelope,uncovered_governor_reject,entry_envelope_reject,False,entry_clearance_or_footprint_limited_not_library_growth,False,True,False,False,4.964157623161215,4.127668942333395,0.3745740973932557,6.555773374627851,-0.0248974694416466,-1.4241267883569169,15.0,s002
target_015|mid_arena|U1_single_fan|W2|dp1,3,bank_yaw_energy_retaining_015_mid_arena_U1_single_fan_W2_dp1,bank_yaw_energy_retaining,boundary_evidence,governor_reject_entry_envelope,uncovered_governor_reject,entry_envelope_reject,False,entry_clearance_or_footprint_limited_not_library_growth,False,True,False,False,5.853156176963697,4.093659962206573,0.2046298394721599,7.285330420746288,-0.1224095096931976,-1.392596789443199,15.0,s002
target_015|mid_arena|U4_four_fan|W1|dp1,3,bank_yaw_energy_retaining_015_mid_arena_U4_four_fan_W1_dp1,bank_yaw_energy_retaining,boundary_evidence,governor_reject_entry_envelope,uncovered_governor_reject,entry_envelope_reject,False,entry_clearance_or_footprint_limited_not_library_growth,False,True,False,False,4.472894119464984,4.142528659783665,0.4425496687525593,6.633310079090246,-0.1775248823262192,-1.4387327732471658,15.0,s002
target_015|mid_arena|U4_four_fan|W2|dp1,3,bank_yaw_energy_retaining_015_mid_arena_U4_four_fan_W2_dp1,bank_yaw_energy_retaining,boundary_evidence,governor_reject_entry_envelope,uncovered_governor_reject,entry_envelope_reject,False,entry_clearance_or_footprint_limited_not_library_growth,False,True,False,False,4.620926802168549,4.119796402356048,0.4659144916960831,6.546921194320972,-0.1463086744680026,-1.4161794695872167,15.0,s002
target_015|mid_arena|none|W0|dp1,3,bank_yaw_energy_retaining_015_mid_arena_none_W0_dp1,bank_yaw_energy_retaining,boundary_evidence,governor_reject_entry_envelope,uncovered_governor_reject,entry_envelope_reject,False,entry_clearance_or_footprint_limited_not_library_growth,False,True,False,False,4.057954021130437,4.138946289024889,0.5255717445502549,6.711391790655523,-0.3572522863779035,-1.4336202939299143,15.0,s002
