candidate_id,selection_class,joint_pareto_profile,accepted,acceptance_reason,pareto_member,alignment_window_s,reference_candidate_id,global_reference_candidate_id,longitudinal_source_id,lateral_source_id,split,score,longitudinal_score,reference_longitudinal_score,delta_longitudinal_score,lateral_score,reference_lateral_score,delta_lateral_score,global_reference_longitudinal_score,global_delta_longitudinal_score,global_reference_lateral_score,global_delta_lateral_score,parameter_count,lateral_parameter_count,dx_mae_m,reference_dx_mae_m,delta_dx_mae_m,global_reference_dx_mae_m,global_delta_dx_mae_m,dy_mae_m,reference_dy_mae_m,delta_dy_mae_m,global_reference_dy_mae_m,global_delta_dy_mae_m,altitude_loss_mae_m,reference_altitude_loss_mae_m,delta_altitude_loss_mae_m,global_reference_altitude_loss_mae_m,global_delta_altitude_loss_mae_m,sink_mae_m_s,reference_sink_mae_m_s,delta_sink_mae_m_s,global_reference_sink_mae_m_s,global_delta_sink_mae_m_s,roll_mae_deg,reference_roll_mae_deg,delta_roll_mae_deg,global_reference_roll_mae_deg,global_delta_roll_mae_deg,pitch_mae_deg,reference_pitch_mae_deg,delta_pitch_mae_deg,global_reference_pitch_mae_deg,global_delta_pitch_mae_deg,yaw_mae_deg,reference_yaw_mae_deg,delta_yaw_mae_deg,global_reference_yaw_mae_deg,global_delta_yaw_mae_deg,parameter_updates_json
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p9+local_post_stall_Cl_r_s0p75,heldout,9.035769482,6.922616234,6.898168128,0.02444810545,2.113153248,2.889249518,-0.77609627,6.898168128,0.02444810545,2.889249518,-0.77609627,4,2,0.3033274133,0.2855181765,0.01780923679,0.2855181765,0.01780923679,0.5845237934,0.6124369379,-0.02791314451,0.6124369379,-0.02791314451,0.3256043135,0.3265137476,-0.0009094340998,0.3265137476,-0.0009094340998,0.2810875838,0.2818881716,-0.0008005877958,0.2818881716,-0.0008005877958,7.088396965,15.53625683,-8.447859866,15.53625683,-8.447859866,3.872797386,4.066112604,-0.1933152171,4.066112604,-0.1933152171,4.023211287,4.204628567,-0.1814172801,4.204628567,-0.1814172801,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.03869107722999504}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p95+local_post_stall_Cl_r_s0p75,heldout,9.03677848,6.924921157,6.898168128,0.026753029,2.111857322,2.889249518,-0.7773921959,6.898168128,0.026753029,2.889249518,-0.7773921959,4,2,0.3044851206,0.2855181765,0.01896694409,0.2855181765,0.01896694409,0.5853870835,0.6124369379,-0.02704985447,0.6124369379,-0.02704985447,0.3255606612,0.3265137476,-0.0009530864403,0.3265137476,-0.0009530864403,0.2810479975,0.2818881716,-0.0008401741226,0.2818881716,-0.0008401741226,7.096391118,15.53625683,-8.439865713,15.53625683,-8.439865713,3.864852706,4.066112604,-0.2012598972,4.066112604,-0.2012598972,3.95336179,4.204628567,-0.2512667773,4.204628567,-0.2512667773,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.04014613707610588}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s1+local_post_stall_Cl_r_s0p75,heldout,9.038930128,6.927400778,6.898168128,0.02923264968,2.11152935,2.889249518,-0.7777201685,6.898168128,0.02923264968,2.889249518,-0.7777201685,4,2,0.3056862262,0.2855181765,0.0201680497,0.2855181765,0.0201680497,0.5862734557,0.6124369379,-0.02616348223,0.6124369379,-0.02616348223,0.3255193048,0.3265137476,-0.0009944428273,0.3265137476,-0.0009944428273,0.281010355,0.2818881716,-0.0008778165475,0.2818881716,-0.0008778165475,7.105448034,15.53625683,-8.430808797,15.53625683,-8.430808797,3.856822667,4.066112604,-0.2092899362,4.066112604,-0.2092899362,3.898418017,4.204628567,-0.3062105494,4.204628567,-0.3062105494,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p85+local_post_stall_Cl_r_s0p75,heldout,9.043268849,6.920490129,6.898168128,0.02232200119,2.12277872,2.889249518,-0.7664707987,6.898168128,0.02232200119,2.889249518,-0.7664707987,4,2,0.3022098909,0.2855181765,0.01669171431,0.2855181765,0.01669171431,0.5854957707,0.6124369379,-0.02694116726,0.6124369379,-0.02694116726,0.3256514617,0.3265137476,-0.0008622858669,0.3265137476,-0.0008622858669,0.2811300445,0.2818881716,-0.000758127114,0.2818881716,-0.000758127114,7.081451133,15.53625683,-8.454805698,15.53625683,-8.454805698,3.880612006,4.066112604,-0.185500598,4.066112604,-0.185500598,4.168009428,4.204628567,-0.0366191388,4.204628567,-0.0366191388,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.037236017383884205}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p7,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p95+local_post_stall_Cl_r_s0p7,heldout,9.052603084,6.925085711,6.898168128,0.02691758278,2.127517373,2.889249518,-0.7617321453,6.898168128,0.02691758278,2.889249518,-0.7617321453,4,2,0.3040038692,0.2855181765,0.0184856927,0.2855181765,0.0184856927,0.5857302309,0.6124369379,-0.02670670707,0.6124369379,-0.02670670707,0.3256651861,0.3265137476,-0.0008485614973,0.3265137476,-0.0008485614973,0.2811357174,0.2818881716,-0.0007524541697,0.2818881716,-0.0007524541697,7.397956586,15.53625683,-8.138300245,15.53625683,-8.138300245,3.86505755,4.066112604,-0.2010550538,4.066112604,-0.2010550538,3.769168602,4.204628567,-0.435459965,4.204628567,-0.435459965,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5367061386415017, ""yaw_moment_beta_coeff"": -0.04014613707610588}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p7,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p9+local_post_stall_Cl_r_s0p7,heldout,9.053562341,6.922799379,6.898168128,0.02463125129,2.130762961,2.889249518,-0.7584865571,6.898168128,0.02463125129,2.889249518,-0.7584865571,4,2,0.3028419131,0.2855181765,0.01732373654,0.2855181765,0.01732373654,0.5848907551,0.6124369379,-0.02754618284,0.6124369379,-0.02754618284,0.3257092762,0.3265137476,-0.0008044714076,0.3265137476,-0.0008044714076,0.2811757815,0.2818881716,-0.0007123900933,0.2818881716,-0.0007123900933,7.398414849,15.53625683,-8.137841981,15.53625683,-8.137841981,3.873245525,4.066112604,-0.1928670786,4.066112604,-0.1928670786,3.860480825,4.204628567,-0.3441477421,4.204628567,-0.3441477421,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5367061386415017, ""yaw_moment_beta_coeff"": -0.03869107722999504}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p7,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s1+local_post_stall_Cl_r_s0p7,heldout,9.05380174,6.927537166,6.898168128,0.02936903773,2.126264574,2.889249518,-0.7629849445,6.898168128,0.02936903773,2.889249518,-0.7629849445,4,2,0.3052074549,0.2855181765,0.01968927831,0.2855181765,0.01968927831,0.5865900156,0.6124369379,-0.02584692233,0.6124369379,-0.02584692233,0.3256231253,0.3265137476,-0.0008906222776,0.3265137476,-0.0008906222776,0.2810973743,0.2818881716,-0.0007907973132,0.2818881716,-0.0007907973132,7.39818863,15.53625683,-8.138068201,15.53625683,-8.138068201,3.856791958,4.066112604,-0.2093206451,4.066112604,-0.2093206451,3.71187876,4.204628567,-0.4927498068,4.204628567,-0.4927498068,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5367061386415017, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p7,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p85+local_post_stall_Cl_r_s0p7,heldout,9.060060985,6.920687533,6.898168128,0.02251940535,2.139373451,2.889249518,-0.7498760672,6.898168128,0.02251940535,2.889249518,-0.7498760672,4,2,0.3017186494,0.2855181765,0.01620047282,0.2855181765,0.01620047282,0.5851672682,0.6124369379,-0.02726966973,0.6124369379,-0.02726966973,0.3257566458,0.3265137476,-0.0007571017757,0.3265137476,-0.0007571017757,0.2812185389,0.2818881716,-0.0006696326487,0.2818881716,-0.0006696326487,7.39955667,15.53625683,-8.136700161,15.53625683,-8.136700161,3.881345976,4.066112604,-0.1847666275,4.066112604,-0.1847666275,4.002696388,4.204628567,-0.2019321793,4.204628567,-0.2019321793,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5367061386415017, ""yaw_moment_beta_coeff"": -0.037236017383884205}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p65,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s0p95+local_post_stall_Cl_r_s0p65,heldout,9.067813815,6.925058915,6.898168128,0.02689078741,2.142754899,2.889249518,-0.746494619,6.898168128,0.02689078741,2.889249518,-0.746494619,4,2,0.3035905551,0.2855181765,0.01807237852,0.2855181765,0.01807237852,0.5860712461,0.6124369379,-0.02636569179,0.6124369379,-0.02636569179,0.3257491727,0.3265137476,-0.0007645748661,0.3265137476,-0.0007645748661,0.2812059898,0.2818881716,-0.0006821818046,0.2818881716,-0.0006821818046,7.691427005,15.53625683,-7.844829826,15.53625683,-7.844829826,3.864540613,4.066112604,-0.2015719906,4.066112604,-0.2015719906,3.589597835,4.204628567,-0.6150307323,4.204628567,-0.6150307323,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.4983699858813946, ""yaw_moment_beta_coeff"": -0.04014613707610588}"
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p65,,local_audit_only,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,jp040local_L00_proposal_stage_5_stage5_tran_no_lateral_update,proposal_stage_5_stage5_transition_blend,local_yaw_beta_s1+local_post_stall_Cl_r_s0p65,heldout,9.068069585,6.927486116,6.898168128,0.02931798822,2.140583469,2.889249518,-0.7486660496,6.898168128,0.02931798822,2.889249518,-0.7486660496,4,2,0.304796025,0.2855181765,0.01927784842,0.2855181765,0.01927784842,0.586905718,0.6124369379,-0.02553121991,0.6124369379,-0.02553121991,0.3257065418,0.3265137476,-0.0008072057535,0.3265137476,-0.0008072057535,0.2811670675,0.2818881716,-0.0007211040903,0.2818881716,-0.0007211040903,7.682714801,15.53625683,-7.853542029,15.53625683,-7.853542029,3.856075094,4.066112604,-0.21003751,4.066112604,-0.21003751,3.530201515,4.204628567,-0.6744270517,4.204628567,-0.6744270517,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.4983699858813946, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
