model_id,model_role,matched_candidate_id,split,regime,report_regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1457288198,0.233314491,0.1491973568,0.2435037293,4.511667538,3.942389235,2.005236122
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1608483442,0.2560962711,0.2723012541,0.4242788153,4.466023129,6.760298225,2.990027433
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.3119008933,0.2854913928,0.3347527228,0.4974180119,8.375098642,5.758604879,8.067008826
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p95_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1456011743,0.2335955787,0.149389217,0.2436934354,4.510740029,3.943314513,2.050535011
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1604263312,0.2556184402,0.2722964541,0.4242942948,4.489781189,6.760880469,3.014803152
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.3108031686,0.2827514912,0.3344999453,0.4970662772,8.38623816,5.740836672,7.844183967
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p9_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.14548646,0.2340421625,0.1495799084,0.2438820112,4.51015235,3.944284861,2.096756705
