split,session_label,case_id,throw_id,residual_status,sample_index,t_since_alignment_s,regime,stage_fit_group,post_stall_seen_before_sample,speed_m_s,q_bar_pa,alpha_deg,beta_deg,q_rad_s,q_hat,p_rad_s,p_hat,r_rad_s,r_hat,post_stall_activation,theta_deg,z_m,cx_required,cx_model,cx_residual,cz_required,cz_model,cz_residual,cl_required,cl_model,cl_residual,cd_required,cd_model,cd_residual,cy_required,cy_model,cy_residual,cm_required,cm_model,cm_residual,cl_roll_required,cl_roll_model,cl_roll_residual,cn_yaw_required,cn_yaw_model,cn_yaw_residual,pitch_moment_required_n_m,pitch_moment_model_n_m,pitch_moment_residual_n_m,force_residual_norm_n,angular_accel_q_rad_s2
train,20260604_185934,C0_neutral,v001,ok,8,0,attached,attached,False,4.819141426,14.224776,10.5143614,3.77869022,0.8391077066,0.01436487948,0.5438911735,0.04311274767,-0.1292226603,-0.01024312255,0,18.37831368,1.570777885,-0.07339174488,-0.09346603263,0.02007428775,-0.8974459527,-0.8178861353,-0.0795598174,0.8689844453,0.7870973053,0.08188714002,0.2359271497,0.2411461414,-0.00521899166,-0.2766254118,-0.02303171855,-0.2535936932,-0.01556845796,-0.06056217636,0.04499371839,0.0002898161195,-0.0177362951,0.01802611122,-0.01271712398,0.007884992871,-0.02060211685,-0.00460630066,-0.01791876842,0.01331246776,0.4779493393,-1.607952547
train,20260604_185934,C0_neutral,v001,ok,9,0.006075800004,attached,attached,False,4.79795235,14.09996239,10.69829848,3.689898206,0.843795282,0.01450892083,0.5161563395,0.04109497288,-0.1075195251,-0.008560414027,0,18.62252193,1.573944681,-0.07279676551,-0.09319681984,0.02040005434,-0.9117095792,-0.8247460589,-0.08696352035,0.8823487211,0.7931097599,0.08923896113,0.240778862,0.2446806441,-0.003901782106,-0.2732091251,-0.02157191077,-0.2516372144,-0.01415895735,-0.06021615187,0.04605719452,0.0001104355402,-0.01510203816,0.0152124737,-0.01206891926,0.007449184791,-0.01951810405,-0.004152507971,-0.017660061,0.01350755303,0.4746137738,-1.441877976
train,20260604_185934,C0_neutral,v001,ok,10,0.01198359999,attached,attached,False,4.776379557,13.97345353,10.87210819,3.703534086,0.8449680929,0.01459470857,0.5214155805,0.04170119844,-0.1036292227,-0.008287943328,0,18.86651663,1.5771087,-0.06643614441,-0.09273429377,0.02629814936,-0.925650128,-0.8278638467,-0.09778628128,0.8965042959,0.7955129264,0.1009913695,0.2398373785,0.2472192991,-0.007381920581,-0.2764901089,-0.02113893642,-0.2553511725,-0.01305985797,-0.06132469463,0.04826483666,8.57151058e-05,-0.01348654733,0.01357226243,-0.01106804909,0.007340021769,-0.01840807086,-0.003795801173,-0.01782380393,0.01402800276,0.4838754838,-1.321011471
train,20260604_185934,C0_neutral,v001,ok,11,0.0179986,attached,attached,False,4.753250587,13.83845207,11.014206,3.66916243,0.8330044499,0.01445807787,0.5071650085,0.04075885117,-0.09292416794,-0.007467948829,0,19.08619851,1.580311566,-0.0680844742,-0.09248360397,0.02439912976,-0.9270901513,-0.8316545962,-0.09543555509,0.8970053054,0.7986661764,0.09833912896,0.2439531233,0.2496696278,-0.005716504475,-0.2729028284,-0.02030831216,-0.2525945162,-0.0124650814,-0.06114426051,0.04867917912,0.0003314810938,-0.01162435447,0.01195583556,-0.01132517269,0.007102329291,-0.01842750198,-0.003587929325,-0.0175996673,0.01401173797,0.4729659887,-1.244818676
train,20260604_185934,C0_neutral,v001,ok,12,0.02404790001,attached,attached,False,4.73189483,13.71438257,11.20391489,3.612418853,0.839175178,0.01463091524,0.5145011129,0.04153503664,-0.10293514,-0.00830982617,0,19.33922854,1.583520286,-0.06519633361,-0.09193341606,0.02673708246,-0.9333847086,-0.8345948327,-0.09878987587,0.9029284148,0.8008262361,0.1021021786,0.2453117485,0.2523442635,-0.007032515038,-0.2769904852,-0.01982593046,-0.2571645547,-0.01060813882,-0.06318603459,0.05257789577,0.0004144961972,-0.01010594313,0.01052043933,-0.0119366638,0.006978413878,-0.01891507767,-0.003026054193,-0.01802430833,0.01499825414,0.478509315,-1.062374611
train,20260604_185934,C0_neutral,v001,ok,13,0.02993429999,attached,attached,False,4.708151198,13.57709622,11.36683435,3.56708792,0.8252269418,0.01446028809,0.5184808302,0.04206739945,-0.1197724151,-0.009717840534,0,19.5628669,1.586728315,-0.07044399054,-0.09149710686,0.02105311632,-0.9354155145,-0.8367668571,-0.09864865732,0.9031839386,0.8023208767,0.1008630619,0.2534231907,0.2546207073,-0.00119751659,-0.2852459718,-0.01955896457,-0.2656870072,-0.01256071198,-0.06403714381,0.05147643183,0.0001557229464,-0.008812714851,0.008968437797,-0.01162327032,0.006941015522,-0.01856428584,-0.003547173245,-0.01808423309,0.01453705984,0.4864006229,-1.245681836
train,20260604_185934,C0_neutral,v001,ok,14,0.035992,attached,attached,False,4.663574929,13.32122031,11.79832484,3.602744996,0.8279751219,0.01464712127,0.5407346567,0.04429233839,-0.1752466034,-0.01435469645,0,20.06627236,1.593043531,-0.06142285684,-0.09004112878,0.02861827194,-0.9522771513,-0.8397951084,-0.1124820429,0.9195997678,0.8036425871,0.1159571807,0.2548348629,0.2598496126,-0.005014749707,-0.3213933679,-0.01987544953,-0.3015179184,-0.01547068061,-0.07011590632,0.0546452257,-0.000271024796,-0.006239379979,0.005968355183,-0.01054820861,0.007208113543,-0.01775632215,-0.004286616963,-0.01942771885,0.01514110189,0.5425488459,-1.524874117
train,20260604_185934,C0_neutral,v001,ok,15,0.0420337,attached,attached,False,4.641763663,13.19690657,11.96360392,3.576787944,0.8072789027,0.01434810436,0.5539753089,0.0455901212,-0.2139989326,-0.01761132151,0,20.28724928,1.596250012,-0.06596786752,-0.0894524413,0.02348457379,-0.9551928728,-0.8399185612,-0.1152743116,0.9207710836,0.8031324662,0.1176386174,0.2625372268,0.2616164568,0.0009207699657,-0.3425521722,-0.02022465108,-0.3223275211,-0.02062496358,-0.07153068185,0.05090571827,-0.0005009730083,-0.005595143185,0.005094170177,-0.009840041709,0.007390516618,-0.01723055833,-0.005661435701,-0.01963476708,0.01397333138,0.5708233472,-2.008173612
train,20260604_185934,C0_neutral,v001,ok,16,0.0484458,transition,transition_before_post_stall,False,4.617285351,13.05808596,12.1115956,3.565830209,0.7862153081,0.01404781338,0.5545558292,0.04587984294,-0.2356553726,-0.01949638055,0.0005783326684,20.49827152,1.599465124,-0.06841047486,-0.08893601848,0.02052554361,-0.961779166,-0.8401911832,-0.1215879828,0.9260170827,0.8028289554,0.1231881274,0.2686847962,0.2632422994,0.005442496835,-0.3593633652,-0.02030192054,-0.3390614446,-0.02581795393,-0.07258391505,0.04676596111,-0.001007673251,-0.004753403446,0.003745730194,-0.008135718137,0.007469200334,-0.01560491847,-0.007012333972,-0.01971429086,0.01270195689,0.5938930905,-2.472205999
train,20260604_185934,C0_neutral,v001,ok,17,0.0541185,transition,transition_before_post_stall,False,4.594272105,12.92824341,12.36695472,3.610517948,0.8037532394,0.01443311165,0.548848812,0.04563513901,-0.2592865422,-0.02155890136,0.006118971333,20.77042456,1.602595376,-0.06193707962,-0.08799641996,0.02605934033,-0.9859651679,-0.841482136,-0.144483032,0.9498216089,0.8031099854,0.1467116235,0.2716660183,0.2661764573,0.005489560998,-0.3728496226,-0.02048021708,-0.3523694055,-0.03039808064,-0.07798787826,0.04758979762,-0.001473639446,-0.003481060045,0.002007420599,-0.006578856742,0.00761582168,-0.01419467842,-0.008174231442,-0.02097142165,0.01279719021,0.6221202936,-2.87255089
train,20260604_185934,C0_neutral,v001,ok,18,0.0601403,transition,transition_before_post_stall,False,4.569834417,12.79107429,12.54763783,3.62438732,0.797726599,0.01440149432,0.5395563189,0.04510240307,-0.2722913851,-0.02276128621,0.01341658494,21.00560166,1.605785202,-0.05171327645,-0.08730602854,0.03559275209,-1.00619988,-0.8416780776,-0.1645218028,0.9709327396,0.8026078521,0.1683248875,0.2690763412,0.2680764156,0.0009999255903,-0.3850250298,-0.02048268979,-0.36454234,-0.03738371732,-0.0808994192,0.04351570187,-0.001952495185,-0.00256027464,0.0006077794552,-0.003752849798,0.007664142841,-0.01141699264,-0.00994605262,-0.02152353853,0.01157748591,0.6474422489,-3.470220255
train,20260604_185934,C0_neutral,v001,ok,19,0.06594669999,transition,transition_before_post_stall,False,4.525206132,12.54246295,12.79439111,3.605777378,0.7483049789,0.01364250798,0.5064597195,0.04275332597,-0.2433469343,-0.02054238552,0.02762258024,21.38006676,1.612242228,-0.04180741486,-0.08625001187,0.04444259701,-1.015333385,-0.8402718331,-0.1750615516,0.9808653315,0.8003084286,0.1805569029,0.2656180404,0.2701892618,-0.004571221429,-0.3806692613,-0.01935114599,-0.3613181153,-0.04333660704,-0.08237494054,0.03903833351,-0.001847876153,-0.0003995923109,-0.001448283842,-0.002145396429,0.007265277269,-0.009410673698,-0.01130573964,-0.02149013719,0.01018439755,0.6386803811,-3.902478766
train,20260604_185934,C0_neutral,v001,ok,20,0.07200640001,transition,transition_before_post_stall,False,4.50412127,12.42585391,12.92837922,3.498132424,0.7074544905,0.01295813145,0.5045944505,0.04279526871,-0.2038493379,-0.01728871014,0.03727537786,21.5212736,1.615425754,-0.03461061819,-0.08547712303,0.05086650484,-1.018700389,-0.8379317105,-0.1807686785,0.985133306,0.7975665132,0.1875667928,0.2616500467,0.2707832106,-0.009133163837,-0.3729814237,-0.01790457307,-0.3550768506,-0.04753249044,-0.08270261899,0.03517012855,-0.002228735998,0.001123234632,-0.00335197063,0.0005357475051,0.006647559668,-0.006111812163,-0.012285082,-0.02137503099,0.009089948985,0.6291878697,-4.210348854
train,20260604_185934,C0_neutral,v001,ok,21,0.0780603,transition,transition_before_post_stall,False,4.480409498,12.29536743,13.04844817,3.459248249,0.6837270063,0.01258980414,0.4955910648,0.04225412585,-0.192211993,-0.0163880068,0.04702508927,21.68763499,1.618641083,-0.03741311033,-0.08486095492,0.04744784459,-1.02255651,-0.8364225407,-0.1861339693,0.9877066515,0.7956662224,0.1920404291,0.2673146603,0.271513003,-0.004198342713,-0.3753149688,-0.01737853365,-0.3579364351,-0.05105023575,-0.08379304248,0.03274280673,-0.002404757782,0.001830486779,-0.00423524456,0.002635097595,0.006429533515,-0.00379443592,-0.01305571047,-0.02142943487,0.0083737244,0.6296241444,-4.460936964
train,20260604_185934,C0_neutral,v001,ok,22,0.08372349999,transition,transition_before_post_stall,False,4.454321076,12.15259795,13.17017644,3.423979902,0.6561639081,0.01215303556,0.4937825709,0.04234650778,-0.1862378271,-0.01597164837,0.05792741094,21.84233594,1.621828751,-0.04038962022,-0.08418683314,0.04379721293,-1.036526216,-0.8344005499,-0.2021256663,1.000060587,0.7932723686,0.206788218,0.275493632,0.2720857396,0.003407892473,-0.3744516517,-0.01703408318,-0.3574175686,-0.0636016896,-0.08481381842,0.02121212882,-0.0002230131558,0.002312810939,-0.002535824095,0.0008994031246,0.006264539485,-0.00536513636,-0.01607677858,-0.02143862824,0.005361849667,0.6326077033,-5.46893299
train,20260604_185934,C0_neutral,v001,ok,23,0.0895184,transition,transition_before_post_stall,False,4.430212749,12.02140581,13.2842991,3.453543294,0.6362790442,0.0118488714,0.4904007662,0.0422853491,-0.2118410711,-0.01826623093,0.06904193794,22.01384003,1.625037952,-0.0507117168,-0.08360669323,0.03289497644,-1.050663921,-0.8325923268,-0.218071594,1.010897434,0.7911023185,0.2197951154,0.2907795225,0.272685136,0.01809438648,-0.3895754446,-0.01767590644,-0.3718995381,-0.07652313875,-0.08614095578,0.009617817028,0.001264335504,0.001969687633,-0.0007053521293,0.0006653800408,0.006518252469,-0.005852872428,-0.01913415467,-0.02153903249,0.002404877814,0.6552262786,-6.503985668
