surface_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg
0,False,84.88732543,0.7289275405,1.391728009,1.661470872,1.481876631,26.02619376,14.35946689,10.21904451
0.25,False,84.85454692,0.728184683,1.389760886,1.660703663,1.481155563,26.05410209,14.39489374,10.23222269
0.5,False,84.83384806,0.7276268511,1.388428192,1.660211971,1.480693441,26.0747234,14.420398,10.24300706
0.75,False,84.81969218,0.7271811877,1.387451264,1.659869611,1.480371672,26.09103192,14.44024662,10.25219692
1,True,84.80950184,0.7268107274,1.386697114,1.659617997,1.480135191,26.10450116,14.45647335,10.26022858
