summary_axis,value,row_count
failure_label,model_boundary_only,26524
failure_label,speed_low,1281
failure_label,success,28703
failure_label,terminal_recovery_limited,26692
failure_label,xy_boundary_terminal,6400
outcome_class,accepted,28703
outcome_class,failed,29703
outcome_class,weak,31194
