time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,phase
0.0,1.3,2.2,1.8,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0,entry
0.02,1.42947510752592,2.2,1.7883263540797163,-3.6327681549495966e-19,-0.01710368393417665,-3.390610163426799e-21,6.482794440528865,-1.396981454905409e-20,0.4731902558085031,-5.344114650432531e-17,0.008616089836055302,-3.654945956704261e-19,0.0,-0.008495932435417096,0.0,entry
0.04,1.5589502685935346,2.2,1.7766381836129654,-1.2378087941894463e-18,-0.016763096566069613,2.2008188651999566e-20,6.482661014177687,-4.470602676787739e-20,0.4761704941449035,-2.4416337620488665e-17,0.02636276198239229,2.3757417223370016e-18,0.0,-0.0060878775115926,0.0,entry
0.06,1.6884261411720005,2.2,1.7649410528272542,-1.1907615665294742e-18,-0.01603856744198338,8.262269774957415e-20,6.482370330882075,-7.901251904241758e-19,0.4808422124114671,-1.0458544520144818e-17,0.046156765654438894,2.7116840995969785e-18,0.0,-0.004362352558461158,0.0,entry
0.08,1.8179034658248407,2.2,1.7532589049600074,-1.2927436311752004e-18,-0.014926337112919151,1.4226565768026387e-19,6.481892032761789,-1.4255728176567755e-18,0.48648319194022627,1.10521474962114e-17,0.06476146173794554,3.1970495373844893e-18,0.0,-0.003125903865193618,0.0,entry
0.1,1.9473824052590984,2.2,1.741627153862974,-1.2638444551433492e-18,-0.013465245553618017,2.0852189926567888e-19,6.481195760890306,-2.063543259657675e-18,0.492437727533001,1.7607234951850503e-17,0.08091556024412475,3.1017352457531607e-18,0.0,-0.0022399095083408998,0.0,entry
0.12,2.0768620685537242,2.2,1.7300864300928638,-1.3819112467125331e-18,-0.011708347317550685,2.945486679409089e-19,6.480247754287803,-2.3461335548310452e-18,0.49823143463828345,-5.2872952231634236e-17,0.09433234526317649,5.077280871600073e-18,0.0,-0.0016050380376125893,0.0,bank_yaw_redirect
0.14,2.2063390420668916,2.199995176912833,1.7186745894794935,0.0011478576469804913,-0.009666304165113087,0.00012215713393883958,6.478766664466511,-0.0008174303624420235,0.5043453387708307,0.17035569143416804,0.11134502308465678,0.017830725617242683,0.05506883684924738,0.0013530168147741655,0.0477870071832312,bank_yaw_redirect
0.16,2.335798008715472,2.199965125538838,1.7074173814792373,0.007482224946454685,-0.007232814870496906,0.0008529283541328174,6.475951301571001,-0.004186502806987119,0.5117559662786668,0.4746094931051119,0.13254494440240955,0.056759999475945164,0.09452917107301359,0.0034726517990204325,0.08202944597244981,bank_yaw_redirect
0.18,2.4652142415781784,2.1998945130318637,1.6963457240035726,0.019986633999004876,-0.0043937670832981165,0.002492758920240496,6.471650248466783,-0.010157180677889989,0.5201825467636252,0.7723706112785151,0.15333370169785857,0.10431586612393162,0.12280501756154565,0.004991505468287434,0.10656633755340739,bank_yaw_redirect
0.2,2.5945643225737083,2.1997991071878453,1.6855001733947905,0.038008199442872925,-0.0012138321454996082,0.005170147384030246,6.46603852078471,-0.018040338535255586,0.5291005953699192,1.0223076176467956,0.17187615882840862,0.15431583550324166,0.14306646517395574,0.006079861003929891,0.12414858548153183,bank_yaw_redirect
0.22,2.723828302618719,2.1997279847012656,1.6749259884213137,0.060513255202571385,0.002203935774575268,0.008924586146520086,6.459308530927393,-0.02692729499052566,0.5380236801864983,1.220033159848012,0.18753843653832,0.20367905658697608,0.1575850847851117,0.006859737167072864,0.13674738762344404,bank_yaw_redirect
0.24,2.8529885477312154,2.1997592494864207,1.6646675589487814,0.08652665188314008,0.005741295822594972,0.0137470641510841,6.451604455871275,-0.03591284535097553,0.5465463843223648,1.3727799165813044,0.20027935196143345,0.25093415646470796,0.167988601821295,0.007418568183152165,0.14577523298542125,bank_yaw_redirect
0.26,2.9820282382905434,2.1999942321453205,1.654763858545075,0.1152483389420472,0.009279307170887364,0.019601498446660454,6.443032008446131,-0.04418489686816705,0.5543396845921965,1.4898087635689836,0.21038569636731136,0.2954711909677984,0.1754433853765436,0.007819006251772776,0.1522442600374965,bank_yaw_redirect
0.28,3.1109302500393072,2.2005519305549166,1.6452450839786743,0.14605437079437283,0.012706942342969464,0.026437100306515155,6.433677287777988,-0.051055449295544036,0.5611473668645216,1.5792798437405482,0.21830420698354266,0.3371536425577875,0.18078521330476444,0.008105945670285384,0.1568797305537212,bank_yaw_redirect
0.3,3.239676426695903,2.201564163008799,1.636130256891313,0.17846516972821946,0.015925204575637446,0.03419618328200527,6.423619891974626,-0.05596717722635162,0.5667827434512481,1.6475975869609523,0.22452156413604005,0.3761156471144085,0.18461297374921487,0.008311556066369779,0.1602013408567567,bank_yaw_redirect
0.32,3.3682471315123266,2.2031714454459648,1.6274255861945528,0.2121110061358214,0.018848051494837908,0.042819441550831776,6.412940381374806,-0.05849065186328395,0.5711214633539162,1.6995726774936093,0.22948972093690084,0.4126527795095567,0.1873558082652228,0.008458889030230664,0.16258148651114376,bank_yaw_redirect
0.34,3.4966209878264163,2.205519484893819,1.6191234547125526,0.24670343443951215,0.021401354902924493,0.052249593266065604,6.4017243247841344,-0.0583182047604752,0.5740908782281583,1.7387710891435637,0.23359061606519838,0.44715839168766686,0.1893212241504075,0.008564462496618633,0.1642870126925024,bank_yaw_redirect
0.36,3.6247747523099525,2.2087561792641663,1.6112019261010804,0.28201379852210756,0.023520866139420105,0.06243380947837615,6.390064524682608,-0.05525652578448193,0.5756586209057419,1.767841482773394,0.2371277126912889,0.4800820773780051,0.19072956999817617,0.00864011261939561,0.16550913099015288,bank_yaw_redirect
0.38,3.7526832861022785,2.21302903852645,1.6036246797402183,0.3178576539894527,0.025149835101639248,0.07332517144997805,6.378062311775236,-0.049218586199904574,0.575822508744632,1.7887715521997218,0.2403321330688891,0.511899632447137,0.19173873963086227,0.008694320757784669,0.16638485670446726,bank_yaw_redirect
0.4,3.88031960068821,2.218482966417944,1.5963412909675363,0.35408362249202524,0.02623666869726104,0.08488333708028187,6.365828384710435,-0.040214999376981815,0.5746026782230389,1.80307609577178,0.24337471969683014,0.5430898784881057,0.19246187404358436,0.00873316434666119,0.16701237003782113,bank_yaw_redirect
0.42,4.007654961646432,2.2252583595448203,1.5892877851933727,0.39056542502495806,0.026732834868237514,0.09707457196699137,6.353483449172217,-0.028344846896449165,0.572035958089247,1.8119318041442234,0.24637893552380494,0.5741163183532628,0.19298004597615734,0.008760998255768697,0.16746202336773983,bank_yaw_redirect
0.44,4.1346590369379115,2.2334894927110764,1.5823874059593257,0.4271961616992006,0.0265911084863347,0.10987128476906208,6.341158781382278,-0.013786039852330357,0.5681720311151849,1.8162733912221225,0.2494321736874871,0.6054126559006727,0.193351349217965,0.008780943027058181,0.16778422866021758,bank_yaw_redirect
0.46,4.261300078571077,2.243303167164096,1.5755515472246755,0.463884177589991,0.025764193629598964,0.12325119270118608,6.3289967553092215,0.0032146487846705114,0.5630708113098949,1.8168623520270906,0.25259468343185126,0.637371629479655,0.19361741167467186,0.008795234727884443,0.16801510930446734,bank_yaw_redirect
0.48,4.387545127941872,2.254817603338503,1.5686808082514214,0.5005500552989657,0.02420372388929869,0.1371962300498843,6.317151312815809,0.022351690928559848,0.5568005257681758,1.8143363497297758,0.2559061791173796,0.6703367696164555,0.19380806239596438,0.008805475643137006,0.16818055001302695,bank_yaw_redirect
0.5,4.51336023625668,2.2681415623744225,1.561666135396677,0.5371244155540678,0.0218596251203991,0.15169130054999191,6.305788316341257,0.043270827847223955,0.5494361273383799,1.8092447333686703,0.2593905643814741,0.7045967538187563,0.19394467579861893,0.00881281391214257,0.16829909883351232,bank_yaw_redirect
0.52,4.638710692405034,2.28337368172474,1.5543900193789602,0.5735463038067979,0.01867981540917143,0.16672296306541262,6.295085702545378,0.06557878246736898,0.5410578108125065,1.8020739553285612,0.2630592899610318,0.7403820542519775,0.19404256801564454,0.008818072249963947,0.1683840466251461,bank_yaw_redirect
0.54,4.763561251569987,2.300602010011409,1.5467277197834057,0.6097620071566897,0.014610210771816757,0.18227812875794686,6.2852333504976095,0.08885244217887295,0.5317495296912157,1.7932655098582977,0.26691381276809195,0.7778635768979424,0.19411271403329716,0.008821840184421342,0.16844491713633225,heading_capture
0.56,4.887894595938014,2.319926042981767,1.53856013427154,0.6439523199748941,0.009600796869826664,0.19810254248189044,6.279612497113199,0.11398491603326444,0.5184547956179275,1.5218077476037124,0.2481942276294422,0.7886352729237588,0.10359522165820347,-0.0005053041097816697,0.08486127216962946,heading_capture
