time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,phase
0.0,1.3,2.2,1.8,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0,entry
0.02,1.42947510752592,2.2,1.7883263540797163,-3.6327681549495966e-19,-0.01710368393417665,-3.390610163426799e-21,6.482794440528865,-1.396981454905409e-20,0.4731902558085031,-5.344114650432531e-17,0.008616089836055302,-3.654945956704261e-19,0.0,-0.008495932435417096,0.0,entry
0.04,1.5589502685935346,2.2,1.7766381836129654,-1.2378087941894463e-18,-0.016763096566069613,2.2008188651999566e-20,6.482661014177687,-4.470602676787739e-20,0.4761704941449035,-2.4416337620488665e-17,0.02636276198239229,2.3757417223370016e-18,0.0,-0.0060878775115926,0.0,entry
0.06,1.6884261411720005,2.2,1.7649410528272542,-1.1907615665294742e-18,-0.01603856744198338,8.262269774957415e-20,6.482370330882075,-7.901251904241758e-19,0.4808422124114671,-1.0458544520144818e-17,0.046156765654438894,2.7116840995969785e-18,0.0,-0.004362352558461158,0.0,entry
0.08,1.8179034658248407,2.2,1.7532589049600074,-1.2927436311752004e-18,-0.014926337112919151,1.4226565768026387e-19,6.481892032761789,-1.4255728176567755e-18,0.48648319194022627,1.10521474962114e-17,0.06476146173794554,3.1970495373844893e-18,0.0,-0.003125903865193618,0.0,entry
0.1,1.9473824052590984,2.2,1.741627153862974,-1.2638444551433492e-18,-0.013465245553618017,2.0852189926567888e-19,6.481195760890306,-2.063543259657675e-18,0.492437727533001,1.7607234951850503e-17,0.08091556024412475,3.1017352457531607e-18,0.0,-0.0022399095083408998,0.0,entry
0.12,2.0768620685537242,2.2,1.7300864300928638,-1.3819112467125331e-18,-0.011708347317550685,2.945486679409089e-19,6.480247754287803,-2.3461335548310452e-18,0.49823143463828345,-5.2872952231634236e-17,0.09433234526317649,5.077280871600073e-18,0.0,-0.0016050380376125893,0.0,roll_in
0.14,2.2063382854132043,2.200007752318356,1.718668393367767,0.0015420809757003564,-0.009579727595318865,4.555550663137707e-05,6.4785905508740305,0.0017500397283125807,0.5057744395577057,0.2282994847336798,0.12374861471830093,0.006606259474191971,0.07259073948309883,0.006359274710160288,0.012743201915528322,roll_in
0.16,2.335788891850909,2.20005667784806,1.7073759938585682,0.010008660660105638,-0.006664603639637095,0.0002824434455936724,6.474887684328996,0.007260080538372397,0.5180959131569626,0.6318239220118022,0.16881439678157972,0.01533797328485816,0.12460663459624519,0.012066212805658028,0.021874518925986616,roll_in
0.18,2.4651784170552706,2.200174615305522,1.6962302837231606,0.026598880882106365,-0.002847485526496709,0.000709901894108393,6.468932575094316,0.017918055032991893,0.5342308626269988,1.020231539562991,0.21254551902726376,0.019781876792502096,0.16187934133112836,0.01615559797388249,0.02841769001424197,roll_in
0.2,2.594474520877563,2.2004088009712253,1.685277524628604,0.05031757291371114,0.0017516495343109077,0.0012853695333607733,6.461053152621966,0.03525834073786352,0.5521547610403783,1.3400588565148717,0.24737867260519195,0.019530650528334973,0.18858761318385073,0.019085903292471316,0.03310628946174182,roll_in
0.22,2.723649982376415,2.2008344655602508,1.6745725536869684,0.07971479997908655,0.006919409509445326,0.001984570843087767,6.451572347001882,0.060415979300678005,0.5698662260404033,1.5887439028335562,0.27085477651979495,0.01655058552545909,0.20772579358037452,0.021185653965719378,0.03646597003291841,roll_in
0.24,2.8526801696418334,2.201552851564591,1.6641631018987861,0.11347905460249304,0.012425814169025542,0.002817006462368635,6.440712366046876,0.09395521978335893,0.5856989420505436,1.778396027292815,0.2835389632013066,0.013524998283639077,0.2214395205826161,0.02269025925781534,0.038873395462779,roll_in
0.26,2.981541119220122,2.202685673428912,1.6540799017355505,0.15056400180328483,0.01806719435873642,0.003826625794074242,6.428627264595484,0.13587708574284058,0.598394317214339,1.92192393256267,0.2877844960495114,0.013005461970358633,0.23126628072362562,0.023768404922367644,0.0405984693433324,roll_in
0.28,3.1102089013655445,2.204368959910671,1.6443317875660872,0.19015501027129278,0.023685465435246324,0.005088093502756295,6.415436588120292,0.18570689980754032,0.6071405030127492,2.029235367508344,0.28666668327999384,0.01705132806770356,0.2383077811744622,0.0245409650616276,0.04183459481432566,roll_in
0.3,3.238659661608094,2.206747300244805,1.634903610976106,0.23160744304405487,0.029168316681070935,0.006702211665022418,6.40124235907766,0.24260853403621177,0.6115766001342976,2.107390674722506,0.28312729425202365,0.027171642843322,0.24335346539669228,0.02509455367993476,0.042720357561801786,roll_in
0.32,3.366869810769445,2.2099687042835416,1.6257556515848044,0.27440045182291267,0.03443688045385498,0.008790923240907435,6.386141143389579,0.30549768353561496,0.6117378235520737,2.1616682190939596,0.27947830224338205,0.044394218202076535,0.24696901998597548,0.025491235236160006,0.043355063069638336,roll_in
0.34,3.494816153689059,2.214180109443705,1.6168241216085342,0.31811019206032487,0.03942862444866128,0.011491274631847941,6.370239010174907,0.37314217294476143,0.6079534700183808,2.196374625751177,0.27725750506841823,0.06934668887727878,0.2495597954709917,0.025775482873928404,0.04380987005133397,roll_in
0.36,3.6224759352813534,2.219523610163024,1.6080226815296135,0.36239445050055025,0.0440815937143345,0.014947964409934233,6.353668582413239,0.44424624671508534,0.6007305575547149,2.215222754783231,0.27730919286671685,0.1023076975166062,0.2514162513612322,0.025979164437411623,0.044135768264040774,roll_in
0.38,3.749826833125085,2.226133502794862,1.5992448058094484,0.40698148179950766,0.048323254302084395,0.019304757817315752,6.336603721105849,0.5175197363456094,0.59065126701898,2.221446825818292,0.279954192198713,0.14323260637257107,0.25274652042250023,0.026125115269681233,0.044369295121191275,roll_in
0.4,3.876846917199124,2.2341341774248438,1.5903666995441443,0.4516596578004873,0.052064744421844035,0.024695536848902844,6.3192682813613965,0.5917335752710831,0.5782972175358915,2.2178282860756036,0.2851633526474463,0.19177316157816493,0.2536997430574521,0.026229698350623398,0.04453663201008564,roll_in
0.42,4.003514583654182,2.2436387909867013,1.581250429052243,0.49626720019973963,0.05519990174855597,0.03123594649309792,6.30193782170831,0.6657620139386219,0.5642013740984012,2.2067171231436737,0.2926986621920534,0.24730891839001046,0.2543827878776619,0.026304638799055723,0.044656539564730625,roll_in
0.44,4.129808466378153,2.2547485729731482,1.571746990239528,0.5406822987462171,0.05760780269605879,0.03901655934499078,6.284935209609853,0.7386105564985849,0.548822580031241,2.1900676095915657,0.30221542176063587,0.3090013800085015,0.25487223306004475,0.02635833841050954,0.044742460976058024,roll_in
0.46,4.255707334596523,2.267552572740743,1.5616991432843343,0.5848140432618141,0.059157371727904695,0.04809828509627307,6.268622205048283,0.8094282294151387,0.5325364689246505,2.16948279074897,0.31333081562802023,0.3758730564267402,0.2552229517529765,0.02639681760740006,0.04480402914785796,roll_in
0.48,4.38118999046953,2.2821276626234135,1.5509439432448116,0.628594468678143,0.05971269464611735,0.058510427369242946,6.25338938489941,0.8775038247513055,0.5156372948849924,2.1462611898492643,0.3256672512828903,0.4469039536044774,0.25547426406740753,0.026424390406406487,0.04484814667014052,turn_hold
0.5,4.506248333790293,2.298541841090195,1.5393294955685846,0.6711328085079702,0.05925822506003191,0.07032840413922566,6.241606294933644,0.94090916466188,0.4983249735069527,1.9971887928045524,0.35807312837963773,0.5194933021857013,0.2105980243124316,0.0314504059710395,0.04806556016781869,turn_hold
0.52,4.630911310865048,2.316860445023469,1.5267474377074013,0.7091598332024142,0.05805655261115416,0.08379831791882747,6.2337751087425435,0.9973684965325259,0.48618825180800707,1.713736510189439,0.40739172623898484,0.5938825760878471,0.178441336051793,0.03505186671256923,0.05037104216486894,turn_hold
0.54,4.755182863515138,2.337150791503547,1.5130991163964638,0.7413314256066654,0.0561209430741787,0.09903379820769992,6.228695565127855,1.0460871370552063,0.4814138499298944,1.41963892061276,0.45703917595374965,0.6730727712997068,0.1553990177662634,0.037632543056679776,0.05202306707324909,turn_hold
0.56,4.879042826158412,2.35949003118019,1.4983113494574878,0.7680818401341508,0.05329236133204435,0.1160408092959582,6.226191619915341,1.08630828856167,0.4827773381988692,1.171169592905646,0.4998651538691539,0.758167045133282,0.1388877269371776,0.03948176226827751,0.05320684829617787,turn_hold
0.58,5.002459788793238,2.3839622776197125,1.4823394066071085,0.790463844740493,0.04936495115845094,0.13476399755274357,6.226554456131949,1.1172759590802417,0.4879099970498301,0.979947412439721,0.5342723941093881,0.8484204482038601,0.127056333868805,0.04080684578769913,0.054055103051085164,turn_hold
0.6,5.1253966361442345,2.410655217308896,1.4651616316746845,0.8095361211685943,0.04415444387748495,0.155123700800851,6.230155836951033,1.138342089467277,0.49463840536452763,0.8395802199854422,0.5612255417928801,0.942481860189197,0.11857838605798032,0.041756352651153,0.054662931689761024,turn_hold
