time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entry
0.12,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.14,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.16,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.18,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.2,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.22,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.24,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.26,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.28,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.3,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.32,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.34,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.36,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.38,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.4,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.42,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.44,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.46,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.48,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.5,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.52,0.506,0.023,0.345,0.506,0.023,0.345,0.19429005233200877,0.008831366015091307,0.16859880574265224,bank_yaw_redirect
0.54,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.56,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.58,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.6,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.62,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.64,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.66,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.68,-0.27599999999999997,-0.046,-0.207,-0.27599999999999997,-0.046,-0.207,-0.12524482712311308,-0.024085543677521744,-0.12644910430698916,heading_capture
0.7000000000000001,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
