target_heading_deg,selected_candidate_id,selected_family,selected_horizon_s,commandable_target_found,best_commandable_candidate_id,best_safe_partial_candidate_id,best_accurate_boundary_candidate_id,best_any_heading_candidate_id,best_any_heading_failure_label,terminal_heading_band,shortest_successful_horizon_s,escalation_allowed,escalation_reason,selection_reason
15.0,canyon_steep_bank_t015_h076_a100_q090,canyon_steep_bank,0.76,True,canyon_steep_bank_t015_h076_a100_q090,canyon_steep_bank_t015_h036_a115_q110,bank_yaw_energy_retaining_t015_h090_a115_q110,canyon_steep_bank_t015_h090_a115_q110,true_safety_violation,13.0 to 17.0 deg,0.76,False,30deg_not_commandable_safe_partial_or_boundary_only,shortest_commandable_target_candidate
30.0,,,,False,,canyon_steep_bank_t030_h046_a115_q090,canyon_steep_bank_t030_h100_a115_q100,canyon_steep_bank_t030_h120_a100_q110,true_safety_violation,27.0 to 33.0 deg,,False,30deg_not_commandable_safe_partial_or_boundary_only,no_commandable_target_candidate
