run_id,family_name,target_heading_deg,horizon_s,success,failure_label,notes,candidate_class,strict_family_success,useful_recoverable_candidate,boundary_evidence,actual_heading_change_deg,heading_ratio,terminal_speed_m_s,min_speed_m_s,initial_speed_m_s,height_change_m,specific_energy_initial_m,specific_energy_terminal_m,specific_energy_lost_m,energy_lost_per_deg_m_per_deg,max_alpha_deg,max_beta_deg,max_bank_deg,max_pitch_deg,max_rate_rad_s,min_true_wall_margin_m,min_floor_margin_m,min_ceiling_margin_m,min_true_margin_m,saturation_fraction,saturation_time_s,recoverable,terminal_glide_entry_proxy,terminal_recovery_entry_proxy,recovery_extension_compatible,unload_speed_gain_m_s,unload_exit_duration_s,horizon_limited,turn_authority_limited,energy_limited,safety_limited,exposure_limited,selected_method,family_status,finite_state_success,true_safe_trajectory,candidate_id,phase_search_scale,timing_scale,best_by_heading,best_by_terminal_speed,best_by_recoverable_heading,best_by_energy_lost_per_deg,selected_candidate,selection_reason
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,3.169025997787349,0.21126839985248994,6.337375986298472,6.337375986298472,6.500000000000001,-0.2178453787887069,3.953414882772681,3.629164529045775,0.32425035372690614,0.10231861586282394,5.365989832320795,4.298091165036672,16.429682125177536,4.453507454991981,1.3260967310127438,0.10000000000000009,1.5821546212112931,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.0419773162224546,0.06,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a070_q095,0.7,0.95,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,3.0962791458120167,0.20641860972080112,6.340648047641654,6.340648047641654,6.500000000000001,-0.2204979844146191,3.953414882772681,3.6286262594213605,0.32478862335132064,0.10489642827928648,5.29233372719333,4.587302617711377,17.281741545422662,4.324337248343146,1.3379321930376395,0.10000000000000009,1.579502015585381,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.026820011629981266,0.03999999999999998,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a070_q100,0.7,1.0,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,3.2277472772491005,0.2151831518166067,6.342388555495441,6.342388555495441,6.500000000000001,-0.22262755293913195,3.953414882772681,3.627621814485922,0.32579306828675936,0.1009351229518879,5.272490878176267,4.943024333125997,18.738172849784736,4.474229366650708,1.3416292657143156,0.10000000000000009,1.577372447060868,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.01319078039500976,0.020000000000000018,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a070_q105,0.7,1.05,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,3.9244484333239913,0.26162989555493277,6.332583473548702,6.332583473548702,6.500000000000001,-0.22232496546035918,3.953414882772681,3.621590093125887,0.3318247896467943,0.08455322965366119,5.431440364289825,5.2174528688767285,20.016545498795292,4.628520483264487,1.606651951404916,0.10000000000000009,1.5776750345396409,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.03976986626018064,0.06,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a085_q095,0.85,0.95,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,3.834426774161448,0.2556284516107632,6.337078439631211,6.337078439631211,6.500000000000001,-0.22616295537263698,3.953414882772681,3.6206547383092564,0.3327601444634247,0.08678223997019636,5.332869364588155,5.556792380529269,21.062723904758407,4.444686965693774,1.6230256817612834,0.10000000000000009,1.573837044627363,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.02459575848134854,0.03999999999999998,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a085_q100,0.85,1.0,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,4.008667265499973,0.26724448436666487,6.33982790256925,6.33982790256925,6.500000000000001,-0.2293600675962757,3.953414882772681,3.6192341135553865,0.33418076921729467,0.08336455661794984,5.29136091302095,5.976004853003076,22.848175123344323,4.516512401729946,1.6292395241264022,0.10000000000000009,1.5706399324037243,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.011668805484699618,0.020000000000000018,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a085_q105,0.85,1.05,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,4.7060144770031656,0.3137342984668777,6.3338644501409105,6.3338644501409105,6.500000000000001,-0.2317411293460987,3.953414882772681,3.6130009130982854,0.34041396967439574,0.07233593762575388,5.461983794599703,6.0946881641511395,23.67805222224813,4.623413859535651,1.8930796541423622,0.10000000000000009,1.5682588706539013,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.03484147230664281,0.06,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a100_q095,1.0,0.95,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,4.597893209059442,0.3065262139372961,6.339943105855103,6.339943105855103,6.500000000000001,-0.23711989709846892,3.953414882772681,3.6115487362083427,0.34186614656433845,0.07435278094122408,5.33694871205907,6.472401939654483,24.93276488013199,4.347363107690953,1.9170812015775833,0.10000000000000009,1.5628801029015311,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.020358466331261482,0.03999999999999998,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a100_q100,1.0,1.0,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,4.816598080258772,0.32110653868391814,6.344028146896011,6.344028146896011,6.500000000000001,-0.24169058992560766,3.953414882772681,3.6096189477201026,0.34379593505257855,0.07137733506593685,5.33694871205907,6.942900869974044,27.064979588018385,4.346345265648344,1.9286694794300046,0.10000000000000009,1.5583094100743924,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.009012892087325142,0.020000000000000018,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a100_q105,1.0,1.05,False,False,False,False,False,
s001,canyon_steep_bank,15.0,0.5,False,under_turning,horizon_limited,boundary_evidence,False,False,True,5.506858995934542,0.3671239330623028,6.34255226731859,6.34255226731859,6.500000000000001,-0.24705572827988798,3.953414882772681,3.603299483935616,0.35011539883706533,0.06357805767235719,5.453690928091667,6.893621239614273,27.422188240838363,4.373264237674669,2.1841665478202117,0.10000000000000009,1.552944271720112,1.2,0.10000000000000009,0.0,0.0,True,False,False,True,-0.02682194209230282,0.06,True,False,False,False,False,family_replay_grid,retained_as_thesis_discussion_evidence,True,True,canyon_steep_bank_t015_h050_a115_q095,1.15,0.95,False,False,False,False,False,
