coverage_axis,value,row_count
outcome_class,accepted,5
outcome_class,blocked,32
outcome_class,failed,56
outcome_class,weak,67
failure_label,entry_role_not_launch_capable,32
failure_label,floor_violation,16
failure_label,model_boundary_only,1
failure_label,speed_low,4
failure_label,success,5
failure_label,terminal_recovery_limited,22
failure_label,xy_boundary_terminal,80
boundary_use_class,blocked,32
boundary_use_class,continuation_valid,6
boundary_use_class,episode_terminal_useful,66
boundary_use_class,hard_failure,56
environment_mode,w3_randomised_four,80
environment_mode,w3_randomised_single,80
start_state_family,inflight_boundary_near,16
start_state_family,inflight_lift_region,24
start_state_family,inflight_nominal,40
start_state_family,inflight_recovery_edge,16
start_state_family,launch_gate,64
timing_state_source,history_backed_fifo,128
timing_state_source,not_evaluated_blocked_before_rollout,32
source_evidence_label,,160
