launch_role,termination_cause,row_count
final_heldout,wall_boundary_exit_retained,40
history,floor_margin_stop,53
history,no_viable_continuation_primitive,16
history,wall_boundary_exit_retained,358
history,wall_boundary_exit_uncontrolled,3
