split,session_label,case_id,throw_id,replay_status,alignment_window_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_final_phi_deg,sim_final_phi_deg,final_phi_residual_actual_minus_sim_deg,actual_final_theta_deg,sim_final_theta_deg,final_theta_residual_actual_minus_sim_deg,actual_final_psi_deg,sim_final_psi_deg,final_psi_residual_actual_minus_sim_deg
train,20260603_215603,C0_neutral,v001,ok,0.1,1.0430116,1.421162604,2.117099758,1.619127582,1.241574029,0.309908252,0.2212548969,0.01360836416,0.3587826628,-0.01841783817,2.597822155,0.8289334445,1.768888711,0.4569572101,0.1137604073,0.3431968028,1.227717319,2.175291712,-0.9475743921,1.177088845,2.085587266,-0.9084984214,-17.38435074,-7.568760799,-9.815589945,-18.93111905,22.68067412,-41.61179318,-2.652094672,-4.639229643,1.987134971
train,20260603_215603,C0_neutral,v002,ok,0.1,1.0287708,1.451626484,2.143588143,1.719459386,0.7031543527,0.14946867,0.1120846501,0.103749851,0.1689444322,-0.05615978108,2.506247447,0.57797974,1.928267706,-0.2329090578,0.3334519578,-0.5663610156,1.329187071,2.237224385,-0.9080373137,1.292014773,2.174657742,-0.8826429694,-27.14637335,-5.661594793,-21.48477856,-17.97487321,20.02610991,-38.00098312,4.123410982,-3.020617206,7.144028188
train,20260603_215603,C0_neutral,v003,ok,0.1,1.0481863,1.764800746,2.204873637,1.482480722,4.528932011,1.081098166,0.7829388932,0.1842815554,0.910115081,-0.3138090676,3.278176679,3.408888349,-0.13071167,0.03285305824,0.255974626,-0.2231215677,1.085967806,0.9651669578,0.120800848,1.036044648,0.9207971501,0.1152474975,-25.42298147,-3.282990571,-22.1399909,-8.692920924,30.45182723,-39.14474816,-3.435906629,15.99631742,-19.43222405
train,20260603_215603,C0_neutral,v004,ok,0.1,1.0174754,2.045213254,2.162187584,1.354646122,4.936262964,0.7375324496,1.105482571,0.1804750889,0.9395445196,-0.2894456713,3.316378,3.750152711,-0.4337747107,0.02152850562,0.03765104141,-0.01612253578,0.9637491936,0.8111615612,0.1525876324,0.947196555,0.7972296541,0.1499669008,-30.20872738,-17.78756298,-12.4211644,-5.325744412,25.81451197,-31.14025638,-10.85496933,-1.485752522,-9.369216812
train,20260603_215603,C0_neutral,v005,ok,0.1,1.1834831,1.773638175,2.009165377,1.614263446,4.33992175,1.110106702,0.8374588464,-0.1172454789,0.9174382582,-0.4390485275,3.19274718,2.92847067,0.26427651,0.4938093977,-0.3935215784,0.8873309761,1.238647521,1.378869804,-0.1402222832,1.046611921,1.16509463,-0.1184827086,25.24304424,-10.41134068,35.65438492,-20.40537221,36.02644414,-56.43181635,-6.040792155,-4.328306993,-1.712485161
train,20260603_215603,C0_neutral,v006,ok,0.1,1.0610266,1.66402089,2.058735457,1.585016076,3.596832714,1.030655701,0.8196190752,-0.1548175505,1.102089528,-0.1507233775,2.565254764,2.236351455,0.3289033084,0.2995980395,0.2968553014,0.002742738094,1.188744213,1.41462933,-0.225885117,1.120371735,1.333264717,-0.2128929821,10.65437318,-3.533836632,14.18820982,-13.89936584,35.37504223,-49.27440807,-2.757714309,9.061845092,-11.8195594
train,20260603_215603,C0_neutral,v007,ok,0.1,0.9432016,1.910834054,2.104419799,1.326028529,4.725515757,0.7523505947,1.189766574,0.1422813685,1.176958644,-0.2732739438,3.159773298,3.27394671,-0.1141734126,-0.1956989933,0.3104235318,-0.5061225251,0.9264025998,0.7035944065,0.2228081932,0.9821893853,0.7459639663,0.2362254191,-26.28787437,-1.321374121,-24.96650025,-20.55387692,28.00416818,-48.55804509,-1.724079001,17.50791011,-19.23198911
train,20260603_215603,C0_neutral,v009,ok,0.1,1.1230807,1.809774204,2.100533015,1.349487015,4.959247946,1.070490278,1.084053187,-0.05950613767,1.144223325,-0.1367077064,3.508976498,3.854136838,-0.34516034,0.173594702,-0.3741490081,0.5477437101,0.9598796818,0.9964847202,-0.03660503838,0.8546845136,0.8872779313,-0.03259341771,-9.745533533,-17.11967124,7.374137709,-9.82600496,28.69142729,-38.51743225,-5.82248848,-6.887793662,1.065305182
train,20260603_220741,C0_neutral,v001,ok,0.1,0.9041508,1.697053553,2.128724727,1.285226262,4.343967202,1.365320143,0.8535124051,0.0002564684299,0.7427722858,-0.4079169064,3.192648815,3.380367336,-0.1877185215,0.4740366379,-0.2434544578,0.7174910957,0.8893321755,1.024063835,-0.1347316592,0.9836104503,1.132625039,-0.1490145882,-28.50628818,-21.46718149,-7.039106699,-0.07888617517,19.15390651,-19.23279268,-15.03866181,-7.699944715,-7.338717098
train,20260603_220741,C0_neutral,v003,ok,0.1,0.9354747,1.726891046,2.140303896,1.463862201,3.706383489,1.275650924,0.8743252415,0.1874026643,0.9004442532,-0.3827598243,2.544878657,2.411075713,0.1338029443,0.3568533012,0.3071239056,0.0497293956,1.072179034,1.076733764,-0.004554730517,1.146133651,1.151002549,-0.004868897595,-13.99841591,-4.931900263,-9.066515644,-14.83580914,33.01121215,-47.84702129,-9.521471286,7.712126918,-17.2335982
