audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,400,300,13,13,0,0.000215303157044077,0.0134921687554765,4.67594330946015e-05,0.16130349687669537,13,0.028030464610043337,0.8612441935194749,5.642848150000288e-07,77,0.4277123822403411,300,0.03651672042552714,300,0.03665899929603948,300,-4.008696861267364e-05,0.1730971296997149,0.0006381269889408773,0.036705758729134084,4.67594330946015e-05,0.03665899929603948,300,0.00016854372394947502,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8818832558720107,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8543122130853001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894650837089492,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.890282949640465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",20,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8894413951535878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.037323892070538,0.8568117189911482,2.4296715562392867e-08,5,0.5663943836812086,20,0.04945533254350127,20,0.04970727036276197,20,1.2109627439571926e-07,0.24211861742013752,6.6136876067421305e-06,0.04970727036276197,0.0,0.04970727036276197,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",20,20,1,1,0,0.00020485559343208997,0.0040971118686418,6.9457707620165e-05,0.1474678624238152,1,0.03875525443341614,0.8291865809707076,7.633036003112839e-07,6,0.566467502393455,20,0.0491601811551128,20,0.04936652266664595,20,5.255011207589345e-06,0.2884648768262087,2.730870077070978e-05,0.04943598037426612,6.9457707620165e-05,0.04936652266664595,20,0.000135397885811925,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03302558796390576,0.865498679276547,1.561987760725741e-08,4,0.5745997691330468,20,0.04927469632423695,20,0.049567966920201066,20,5.753639413422336e-08,0.22060010138520175,3.2138910695678254e-06,0.049567966920201066,0.0,0.049567966920201066,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.037439352209854525,0.8634223353845755,1.5788489474573464e-06,6,0.5755434275344151,20,0.04797353323020318,20,0.048193474955223824,20,-0.0001422365573080984,0.18684128585434828,0.0013347129993406686,0.048193474955223824,0.0,0.048193474955223824,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
