library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,108,108
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,108,108
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,108,108
balanced_cluster,no_memory_baseline,final_heldout,108,108
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,138,138
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,138,138
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,138,138
heavy_cluster,no_memory_baseline,final_heldout,138,138
light_cluster,directional_3d_residual_memory_h10,final_heldout,218,218
light_cluster,directional_3d_residual_memory_h3,final_heldout,218,218
light_cluster,directional_3d_residual_memory_h30,final_heldout,218,218
light_cluster,no_memory_baseline,final_heldout,218,218
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,741,741
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,743,743
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,739,739
no_cluster_no_merge,no_memory_baseline,final_heldout,736,736
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,435,435
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,435,435
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,435,435
super_light_cluster,no_memory_baseline,final_heldout,435,435
