outer_case_index,environment_block_id,variation_audit_passed,glider_model_fixed,latency_model_fixed,actuator_model_fixed,mass_cg_inertia_surface_calibration_not_varied,full_w3_randomisation_exception,variation_policy,row_count
39,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
40,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
41,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
42,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
43,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
44,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
45,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
46,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
47,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
48,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
49,r10_l7_full_domain_randomisation_arena_wide_training,True,False,False,False,False,True,explicit_full_w3_randomisation_case_7,20
