audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,10313,7735,1679,75,1604,0.0001323312561496887,0.0099049206798178,3.1835573020779057e-05,43574.140282835804,1228,0.528114623008598,0.47188537699140204,0.0003970993071658496,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:balanced_cluster",517,517,89,1,88,0.00014924502364116942,0.0052632210920713,3.981558446773968e-05,63939.30179122817,60,0.7241216406819705,0.2758783593180295,0.0003851800335733353,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:heavy_cluster",516,516,99,1,98,0.00011131847734800927,0.0054994434907356,1.0850363126470226e-05,46979.17961179998,79,0.7085765679709628,0.2914234320290372,0.00041939433617968773,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:light_cluster",516,516,91,0,91,0.0001209217106259933,0.0056593559841577,3.548569454773827e-05,49095.42230394536,63,0.7473809493290142,0.2526190506709858,0.0003593055273325147,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:no_cluster_no_merge",513,513,195,10,185,0.0003368192631229473,0.0098925905924592,8.187751534723649e-05,127273.49430260243,143,0.6892123232170453,0.3107876767829548,0.000851434585373443,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:super_light_cluster",516,516,144,0,144,0.00022357836086195397,0.0099049206798178,4.061403923549172e-05,72161.86944396285,107,0.7348774285102808,0.2651225714897191,0.0005707929061103446,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:balanced_cluster",517,517,88,3,85,7.619696911374433e-05,0.0064972677759598,6.616289779862972e-05,39869.151980783434,50,0.5848638615477281,0.41513613845227193,0.0005642773290867358,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:heavy_cluster",516,516,101,6,95,0.00011916903982516889,0.0069472650856059,1.9344323549624707e-05,10011.436965325227,70,0.5727464161581562,0.42725358384184375,0.0007475237588151663,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:light_cluster",516,516,87,5,82,0.00010024336722956519,0.0069777675430584,9.342542042783096e-05,26511.07073549787,48,0.5818772418038402,0.41812275819615985,0.0005692868252338121,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:no_cluster_no_merge",514,514,178,28,150,0.0003454901245863008,0.0081258669560155,9.721787515844379e-05,80371.31049705241,121,0.5382330584801361,0.46176694151986386,0.0012443968711656084,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:super_light_cluster",516,516,137,8,129,0.00024402525848057007,0.0079069435525278,5.018999883722161e-05,27579.15638732006,95,0.5728572718212638,0.42714272817873616,0.0009967207677964132,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:balanced_cluster",517,517,68,0,68,4.5285182299642556e-05,0.002443650485612,1.5543029086946237e-05,16512.523172449808,49,0.8250977438413777,0.1749022561586222,0.00012915495908640085,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:heavy_cluster",516,516,84,0,84,0.00015122376699990854,0.0060166658811455,1.143882261762062e-05,64066.38114233978,71,0.8059343402775725,0.1940656597224275,0.0002515091637803033,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:light_cluster",516,516,74,1,73,0.0001396667494024785,0.0067373969511472,2.4910733946724038e-05,62635.81517106173,63,0.8366653328935301,0.16333466710646993,0.00019560005290848931,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:no_cluster_no_merge",513,513,139,11,128,0.0002686291052692831,0.0076473738270905,3.438523927388579e-05,109527.92480412118,115,0.8097903037176438,0.19020969628235618,0.00039201118920503445,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:super_light_cluster",516,516,105,1,104,0.0002173520253231764,0.0063276602464596,1.5835297977856094e-05,75812.73424526856,94,0.8295591202133614,0.17044087978663855,0.0002699730771932663,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",517,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",516,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",516,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
