library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,,108
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,,108
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,,108
balanced_cluster,no_memory_baseline,final_heldout,,108
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,,138
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,,138
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,,138
heavy_cluster,no_memory_baseline,final_heldout,,138
light_cluster,directional_3d_residual_memory_h10,final_heldout,,218
light_cluster,directional_3d_residual_memory_h3,final_heldout,,218
light_cluster,directional_3d_residual_memory_h30,final_heldout,,218
light_cluster,no_memory_baseline,final_heldout,,218
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,,741
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,,743
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,,739
no_cluster_no_merge,no_memory_baseline,final_heldout,,736
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,,435
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,,435
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,,435
super_light_cluster,no_memory_baseline,final_heldout,,435
