boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,25806
continuation_valid,True,False,weak,46226
episode_terminal_useful,False,True,weak,3313
hard_failure,False,False,failed,1455
