layout_branch_id,fan_layout,test_environment_mode,candidate_rows
four_fan_branch,four_fan,W0_four_fan_branch,2500
four_fan_branch,four_fan,W1_four_fan,2500
single_fan_branch,single_fan,W0_single_fan_branch,2500
single_fan_branch,single_fan,W1_single_fan,2500
