candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
attached_CY_beta,primary_longitudinal,CY_beta,attached,train,2311,2310,0.6600500013,positive,"[""side_force_beta_coeff""]",0.6245401592,2.046508172,1.421968013,22.86430368,34.15586854,11.29156486,9.593865735,38.58703999,28.99317425,0.2814994433,0.3609668815,0.07946743822,0.2991704347,0.3073567296,0.008186294942,0.2200674675,0.2105606027,-0.009506864746,6.318194604,12.22247101,5.904276401,,
attached_CY_beta,primary_longitudinal,CY_beta,attached,heldout,2311,2310,0.6600500013,positive,"[""side_force_beta_coeff""]",0.5327974126,2.320249657,1.787452244,18.8763792,30.95090558,12.07452639,6.717079833,44.20752109,37.49044125,0.3708335836,0.5127272518,0.1418936682,0.1445171091,0.166964418,0.02244730891,0.1317766404,0.1473713187,0.01559467828,4.043871944,9.201693656,5.157821712,False,rejected_lateral_metrics_not_all_improved
transition_CY_beta,primary_longitudinal,CY_beta,transition,train,7358,7318,2.064757409,positive,"[""transition_side_force_beta_coeff""]",0.6245401592,0.686281214,0.06174105479,22.86430368,23.53945784,0.6751541568,9.593865735,10.51411499,0.9202492498,0.2814994433,0.2725615952,-0.008937848109,0.2991704347,0.2973228622,-0.001847572481,0.2200674675,0.2172115287,-0.002855938805,6.318194604,6.261876271,-0.05631833257,,
transition_CY_beta,primary_longitudinal,CY_beta,transition,heldout,7358,7318,2.064757409,positive,"[""transition_side_force_beta_coeff""]",0.5327974126,0.6030371418,0.07023972921,18.8763792,19.67288124,0.7965020463,6.717079833,7.504841612,0.7877617788,0.3708335836,0.3651864406,-0.005647143009,0.1445171091,0.1381405794,-0.006376529674,0.1317766404,0.1265280079,-0.005248632476,4.043871944,4.044261034,0.0003890896955,False,rejected_lateral_metrics_not_all_improved
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,train,891,891,2,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",0.6245401592,0.8339833083,0.2094431491,22.86430368,23.85442023,0.9901165544,9.593865735,14.21855908,4.624693345,0.2814994433,0.269205746,-0.01229369728,0.2991704347,0.2844231274,-0.01474730724,0.2200674675,0.205627544,-0.01443992344,6.318194604,6.151772207,-0.1664223965,,
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,heldout,891,891,2,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",0.5327974126,0.791098724,0.2583013114,18.8763792,19.49018936,0.6138101629,6.717079833,11.96032977,5.243249934,0.3708335836,0.3709135846,8.000098458e-05,0.1445171091,0.12991441,-0.01460269908,0.1317766404,0.1196462491,-0.0121303913,4.043871944,4.091799784,0.0479278396,False,rejected_lateral_metrics_not_all_improved
attached_CY_p,primary_longitudinal,CY_p,attached,train,2311,2283,-2.40968793,negative,"[""side_force_p_hat_coeff""]",0.6245401592,0.6319737962,0.007433637024,22.86430368,22.9780052,0.1137015222,9.593865735,9.675941273,0.08207553794,0.2814994433,0.2925640774,0.01106463414,0.2991704347,0.2913546981,-0.007815736541,0.2200674675,0.2192981883,-0.0007692792024,6.318194604,6.371591205,0.05339660148,,
attached_CY_p,primary_longitudinal,CY_p,attached,heldout,2311,2283,-2.40968793,negative,"[""side_force_p_hat_coeff""]",0.5327974126,0.5451265392,0.01232912656,18.8763792,19.24523257,0.3688533738,6.717079833,6.306801753,-0.4102780797,0.3708335836,0.3662051523,-0.004628431308,0.1445171091,0.1476844885,0.003167379373,0.1317766404,0.1344588827,0.00268224236,4.043871944,4.058275754,0.01440380998,False,rejected_lateral_metrics_not_all_improved
transition_CY_p,primary_longitudinal,CY_p,transition,train,7358,7358,3,positive,"[""transition_side_force_p_hat_coeff""]",0.6245401592,0.6299540155,0.005413856299,22.86430368,22.87452128,0.01021760474,9.593865735,9.777195658,0.1833299224,0.2814994433,0.2790410613,-0.002458381953,0.2991704347,0.2986683566,-0.0005020780792,0.2200674675,0.2191673565,-0.0009001109742,6.318194604,6.303976521,-0.01421808284,,
transition_CY_p,primary_longitudinal,CY_p,transition,heldout,7358,7358,3,positive,"[""transition_side_force_p_hat_coeff""]",0.5327974126,0.5327093618,-8.805083065e-05,18.8763792,18.77174087,-0.1046383208,6.717079833,6.863447606,0.1463677727,0.3708335836,0.3721170868,0.00128350321,0.1445171091,0.1442390575,-0.0002780515718,0.1317766404,0.1315528014,-0.0002238390109,4.043871944,4.051734537,0.007862592769,False,rejected_lateral_metrics_not_all_improved
