candidate_id,selection_class,sweep_stage,split,score,longitudinal_score,lateral_score,parameter_count,lateral_parameter_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg,parameter_updates_json
joint_0001_attached_cm_0,,attached_cm,train,33.47135583,28.69437853,4.776977299,0,0,0.8456170059,1.253905255,1.435392174,1.162621491,13.6090813,22.87838818,15.41575923,{}
joint_0002_attached_cm_0.5,,attached_cm,train,26.01353792,20.07196561,5.941572307,1,0,0.6295620324,1.391661781,1.085530083,0.7627417123,19.18896316,12.99924355,22.49838553,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076}"
joint_0003_attached_cm_0.75,,attached_cm,train,23.03246471,16.98307451,6.049390201,1,0,0.6742894502,1.455005018,0.9236299011,0.6116931127,18.0669768,9.215960422,23.58835771,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961}"
joint_0004_attached_cm_1,,attached_cm,train,20.44627236,13.77904615,6.667226209,1,0,0.6556752555,1.588399323,0.734711224,0.4815705737,21.89931652,6.551626971,23.62512405,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615}"
joint_0005_attached_cm_1.25,,attached_cm,train,18.70501005,11.18755795,7.517452099,1,0,0.4499949185,1.714354368,0.6386216223,0.3775270497,26.44471659,5.9045754,27.07288819,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269}"
joint_0006_attached_cm_1.5,,attached_cm,train,15.97024503,7.859080521,8.111164509,1,0,0.3105982048,1.559657376,0.3905188165,0.2879970545,33.7849492,6.894591559,32.9372423,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923}"
joint_0007_transition_cm_0,,transition_cm,train,15.97024503,7.859080521,8.111164509,1,0,0.3105982048,1.559657376,0.3905188165,0.2879970545,33.7849492,6.894591559,32.9372423,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923}"
joint_0008_transition_cm_0.5,,transition_cm,train,15.97149005,7.759557317,8.211932737,2,0,0.3030731815,1.547294345,0.3817294035,0.27917133,35.39205251,7.765217163,32.83493669,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0009_transition_cm_0.75,,transition_cm,train,16.01085942,7.731954794,8.278904621,2,0,0.2994366796,1.541633016,0.3773635356,0.2751940129,36.3260549,8.371962695,32.86588018,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0010_transition_cm_1,,transition_cm,train,16.02401949,7.704632153,8.319387333,2,0,0.2967473462,1.53640114,0.3726721937,0.2709781065,36.96762834,9.000916529,32.84148389,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
