selection_class,candidate_id,selection_reason,score,longitudinal_score,lateral_score,parameter_count,lateral_parameter_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg,parameter_updates_json
strict_best,joint_0270_post_stall_Cn_p_1.5,best score with strict longitudinal tolerance and non-worse lateral score,7.292771738,4.162574786,3.130196952,9,4,0.3708335836,0.5327974126,0.1445171091,0.1317766404,18.8763792,4.043871944,6.717079833,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_damping_coeff"": 4.0, ""post_stall_pitch_moment_coeff"": 0.07585874586245771, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_yaw_moment_p_hat_rbf_20_coeff"": -0.07119920085255141, ""side_force_beta_coeff"": -1.9802669025044202, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738, ""transition_side_force_r_hat_coeff"": -3.0, ""transition_yaw_moment_p_hat_coeff"": -0.1461483136170422}"
balanced_best,joint_0270_post_stall_Cn_p_1.5,best score with balanced longitudinal tolerance,7.292771738,4.162574786,3.130196952,9,4,0.3708335836,0.5327974126,0.1445171091,0.1317766404,18.8763792,4.043871944,6.717079833,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_damping_coeff"": 4.0, ""post_stall_pitch_moment_coeff"": 0.07585874586245771, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_yaw_moment_p_hat_rbf_20_coeff"": -0.07119920085255141, ""side_force_beta_coeff"": -1.9802669025044202, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738, ""transition_side_force_r_hat_coeff"": -3.0, ""transition_yaw_moment_p_hat_coeff"": -0.1461483136170422}"
diagnostic_best,joint_0270_post_stall_Cn_p_1.5,lowest lateral score; not claim-bearing if longitudinal replay degrades,7.292771738,4.162574786,3.130196952,9,4,0.3708335836,0.5327974126,0.1445171091,0.1317766404,18.8763792,4.043871944,6.717079833,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_damping_coeff"": 4.0, ""post_stall_pitch_moment_coeff"": 0.07585874586245771, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_yaw_moment_p_hat_rbf_20_coeff"": -0.07119920085255141, ""side_force_beta_coeff"": -1.9802669025044202, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738, ""transition_side_force_r_hat_coeff"": -3.0, ""transition_yaw_moment_p_hat_coeff"": -0.1461483136170422}"
