check_id,observed,passed,required
stage_order_r5_r7_r8_r10_r11,"[""R5"", ""R7"", ""R8"", ""R10"", ""R11""]",True,"[""R5"", ""R7"", ""R8"", ""R10"", ""R11""]"
r6_archived_only,"[""R6""]",True,"[""R6""]"
active_governor_path_mission_aligned_transition_viability,mission_aligned_transition_viability_governor_v1,True,mission_aligned_transition_viability_governor_v1
transition_state_classes_exact,"[""launch_gate"", ""post_launch_degraded"", ""inflight_stable"", ""boundary_near"", ""recoverable_degraded"", ""safe_terminal"", ""hard_failure""]",True,seven compact transition classes
transition_entry_exit_contract_exact,"{""boundary_near"": [""inflight_stable"", ""safe_terminal""], ""hard_failure"": [], ""inflight_stable"": [""inflight_stable"", ""boundary_near"", ""safe_terminal""], ""launch_gate"": [""post_launch_degraded"", ""inflight_stable""], ""post_launch_degraded"": [""inflight_stable"", ""boundary_near"", ""safe_terminal""], ""recoverable_degraded"": [""inflight_stable"", ""recoverable_degraded"", ""safe_terminal""], ""safe_terminal"": []}",True,"{""boundary_near"": [""inflight_stable"", ""safe_terminal""], ""hard_failure"": [], ""inflight_stable"": [""inflight_stable"", ""boundary_near"", ""safe_terminal""], ""launch_gate"": [""post_launch_degraded"", ""inflight_stable""], ""post_launch_degraded"": [""inflight_stable"", ""boundary_near"", ""safe_terminal""], ""recoverable_degraded"": [""inflight_stable"", ""recoverable_degraded"", ""safe_terminal""], ""safe_terminal"": []}"
transition_contract_row_boundary_near_route_state,"{""active_primitive_role_policy"": ""launch_is_entry_regime_not_primitive_family"", ""boundary_near_front_time_margin_s"": 0.45, ""boundary_near_is_route_state_not_failure"": true, ""boundary_near_required_exit_classes"": ""inflight_stable;safe_terminal"", ""boundary_near_side_time_margin_s"": 0.35, ""boundary_near_static_wall_margin_m"": 0.25, ""boundary_near_time_margin_uses_front_and_side_not_rear"": true, ""hard_failure_is_only_failure_class"": true, ""inflight_stable_required_exit_classes"": ""inflight_stable;boundary_near;safe_terminal"", ""launch_gate_required_exit_classes"": ""post_launch_degraded;inflight_stable"", ""recoverable_degraded_required_exit_classes"": ""inflight_stable;recoverable_degraded;safe_terminal"", ""recoverable_degraded_self_exit_requires_progress"": true, ""recovery_progress_max_boundary_time_loss_s"": 0.05, ""recovery_progress_max_floor_margin_loss_m"": 0.03, ""recovery_progress_min_risk_reduction"": 0.05, ""state_classes"": ""launch_gate;post_launch_degraded;inflight_stable;boundary_near;recoverable_degraded;safe_terminal;hard_failure"", ""transition_label_version"": ""transition_labels_v3_recovery_progress""}",True,boundary_near route state
launch_boundary_exit_cannot_pass_transition_gate,"{""entry_class"": ""launch_gate"", ""exit_class"": ""boundary_near"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""boundary_near"", ""next_allowed_entry_roles"": ""transition_object;terminal_or_recovery"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.0, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.0, ""recovery_progress_risk_delta"": 0.0, ""recovery_progress_status"": ""not_recoverable_degraded_self_transition"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": false, ""transition_failure_reason"": ""exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object"", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""launch_gate->boundary_near"", ""transition_success_probability"": 0.0, ""updraft_gain_proxy_m"": 0.0}",True,launch boundary_near exit rejected
launch_post_launch_exit_can_pass_transition_gate,"{""entry_class"": ""launch_gate"", ""exit_class"": ""post_launch_degraded"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""inflight_stable"", ""next_allowed_entry_roles"": ""transition_object;inflight_only"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.0, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.0, ""recovery_progress_risk_delta"": 0.0, ""recovery_progress_status"": ""not_recoverable_degraded_self_transition"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": true, ""transition_failure_reason"": """", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""launch_gate->post_launch_degraded"", ""transition_success_probability"": 1.0, ""updraft_gain_proxy_m"": 0.0}",True,launch post_launch_degraded/inflight exit accepted
inflight_recoverable_degraded_exit_cannot_pass_transition_gate,recoverable_degraded,True,not allowed for inflight_stable transition object
inflight_weak_without_chain_handoff_rejected,"{""entry_class"": ""inflight_stable"", ""exit_class"": ""recoverable_degraded"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""recoverable_degraded"", ""next_allowed_entry_roles"": ""transition_object;terminal_or_recovery"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.0, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.0, ""recovery_progress_risk_delta"": 0.0, ""recovery_progress_status"": ""not_recoverable_degraded_self_transition"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": false, ""transition_failure_reason"": ""exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object"", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""inflight_stable->recoverable_degraded"", ""transition_success_probability"": 0.0, ""updraft_gain_proxy_m"": 0.0}",True,weak local rollout is not sufficient
